	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3901	20052	johanssonsoundsymbolic-Gumuz	gumu1244		back	1291	BACK		boŋgo	b o ŋ g o
5017	21168	johanssonsoundsymbolic-Gumuz	gumu1244		bad	1292	BAD		nas	n a s
8856	25007	johanssonsoundsymbolic-Gumuz	gumu1244		bark	1204	BARK		ɓaɓa	ɓ a ɓ a
12998	29149	johanssonsoundsymbolic-Gumuz	gumu1244		bealive	1422	BE ALIVE		ʔii	ʔ iː
15754	31905	johanssonsoundsymbolic-Gumuz	gumu1244		beautiful	1427	BEAUTIFUL		dagona	d a g o n a
16321	32472	johanssonsoundsymbolic-Gumuz	gumu1244		because	1157	BECAUSE		nago	n a g o
20484	36635	johanssonsoundsymbolic-Gumuz	gumu1244		behind	1686	BEHIND		boŋgo	b o ŋ g o
22892	39043	johanssonsoundsymbolic-Gumuz	gumu1244		belly	1251	BELLY		iila	iː l a
25757	41908	johanssonsoundsymbolic-Gumuz	gumu1244		beside	1816	BESIDE		gonaχa	g o n a χ a
27933	44084	johanssonsoundsymbolic-Gumuz	gumu1244		big	1202	BIG		oobo	oː b o
30319	46470	johanssonsoundsymbolic-Gumuz	gumu1244		bird	937	BIRD		mata	m a t a
32668	48819	johanssonsoundsymbolic-Gumuz	gumu1244		bite	1403	BITE		kʼaŋ	kʼ a ŋ
35284	51435	johanssonsoundsymbolic-Gumuz	gumu1244		black	163	BLACK		ŋii	ŋ iː
38694	54845	johanssonsoundsymbolic-Gumuz	gumu1244		blood	946	BLOOD		maχa	m a χ a
40914	57065	johanssonsoundsymbolic-Gumuz	gumu1244		blowofwind	175	BLOW (OF WIND)		fwitʃʼ	f w i tʃʼ
44584	60735	johanssonsoundsymbolic-Gumuz	gumu1244		body	1480	BODY		ets	e ts
46924	63075	johanssonsoundsymbolic-Gumuz	gumu1244		bone	1394	BONE		ʒakwa	ʒ a k w a
51507	67658	johanssonsoundsymbolic-Gumuz	gumu1244		boy	1366	BOY		duugunza	d uː g u n z a
57010	73163	johanssonsoundsymbolic-Gumuz	gumu1244		breast	1402	BREAST		kua	k u a
58935	75088	johanssonsoundsymbolic-Gumuz	gumu1244		breathe	1407	BREATHE		ʃakw	ʃ a kʷ
64481	80634	johanssonsoundsymbolic-Gumuz	gumu1244		burn	2102	BURN		gis	g i s
67792	83945	johanssonsoundsymbolic-Gumuz	gumu1244		buttocks	834	BUTTOCKS		sanza	s a n z a
72981	89134	johanssonsoundsymbolic-Gumuz	gumu1244		carry	700	CARRY		ɓor	ɓ o r
87948	104101	johanssonsoundsymbolic-Gumuz	gumu1244		clean	704	CLEAN		χokwa	χ o k w a
95199	111352	johanssonsoundsymbolic-Gumuz	gumu1244		cold	1287	COLD		gidida	g i d i d a
98861	115014	johanssonsoundsymbolic-Gumuz	gumu1244		come	1446	COME		uee	u eː
105993	122146	johanssonsoundsymbolic-Gumuz	gumu1244		cough	879	COUGH		mɓoχ	m ɓ o χ
112038	128191	johanssonsoundsymbolic-Gumuz	gumu1244		crush	1520	CRUSH		gaʃ	g a ʃ
112970	129123	johanssonsoundsymbolic-Gumuz	gumu1244		cry	1839	CRY		ʔis	ʔ i s
118684	134837	johanssonsoundsymbolic-Gumuz	gumu1244		dark	706	DARK		hii	h iː
121807	137962	johanssonsoundsymbolic-Gumuz	gumu1244		daynotnight	1225	DAY (NOT NIGHT)		maaka	m aː k a
124244	140399	johanssonsoundsymbolic-Gumuz	gumu1244		deep	1593	DEEP		tila	t i l a
127082	143237	johanssonsoundsymbolic-Gumuz	gumu1244		die	1494	DIE		ʃ	ʃ
134194	150349	johanssonsoundsymbolic-Gumuz	gumu1244		do	813	DO		do	d o
135634	151789	johanssonsoundsymbolic-Gumuz	gumu1244		dog	2009	DOG		kʼoa	kʼ o a
142102	158257	johanssonsoundsymbolic-Gumuz	gumu1244		drink	1401	DRINK		f	f
145742	161897	johanssonsoundsymbolic-Gumuz	gumu1244		dry	1398	DRY		ceʔ	c e ʔ
151177	167332	johanssonsoundsymbolic-Gumuz	gumu1244		ear	1247	EAR		tsʼea	tsʼ e a
154099	170254	johanssonsoundsymbolic-Gumuz	gumu1244		earthsoil	1228	EARTH (SOIL)		nea	n e a
156700	172855	johanssonsoundsymbolic-Gumuz	gumu1244		eat	1336	EAT		sa	s a
159012	175170	johanssonsoundsymbolic-Gumuz	gumu1244		egg	744	EGG		iʃa	i ʃ a
160765	176923	johanssonsoundsymbolic-Gumuz	gumu1244		eight	1705	EIGHT		sanaakw	s a n aː kʷ
163715	179873	johanssonsoundsymbolic-Gumuz	gumu1244		eleven	1706	ELEVEN		tʃika_kʼoma_meta	tʃ i k a + kʼ o m a + m e t a
