	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8856	25007	johanssonsoundsymbolic-Gumuz	gumu1244		bark	1204	BARK		ɓaɓa	ɓ a ɓ a
22892	39043	johanssonsoundsymbolic-Gumuz	gumu1244		belly	1251	BELLY		iila	iː l a
27933	44084	johanssonsoundsymbolic-Gumuz	gumu1244		big	1202	BIG		oobo	oː b o
30319	46470	johanssonsoundsymbolic-Gumuz	gumu1244		bird	937	BIRD		mata	m a t a
32668	48819	johanssonsoundsymbolic-Gumuz	gumu1244		bite	1403	BITE		kʼaŋ	kʼ a ŋ
35284	51435	johanssonsoundsymbolic-Gumuz	gumu1244		black	163	BLACK		ŋii	ŋ iː
38694	54845	johanssonsoundsymbolic-Gumuz	gumu1244		blood	946	BLOOD		maχa	m a χ a
46924	63075	johanssonsoundsymbolic-Gumuz	gumu1244		bone	1394	BONE		ʒakwa	ʒ a k w a
57010	73163	johanssonsoundsymbolic-Gumuz	gumu1244		breast	1402	BREAST		kua	k u a
64481	80634	johanssonsoundsymbolic-Gumuz	gumu1244		burn	2102	BURN		gis	g i s
95199	111352	johanssonsoundsymbolic-Gumuz	gumu1244		cold	1287	COLD		gidida	g i d i d a
98861	115014	johanssonsoundsymbolic-Gumuz	gumu1244		come	1446	COME		uee	u eː
127082	143237	johanssonsoundsymbolic-Gumuz	gumu1244		die	1494	DIE		ʃ	ʃ
135634	151789	johanssonsoundsymbolic-Gumuz	gumu1244		dog	2009	DOG		kʼoa	kʼ o a
142102	158257	johanssonsoundsymbolic-Gumuz	gumu1244		drink	1401	DRINK		f	f
145742	161897	johanssonsoundsymbolic-Gumuz	gumu1244		dry	1398	DRY		ceʔ	c e ʔ
151177	167332	johanssonsoundsymbolic-Gumuz	gumu1244		ear	1247	EAR		tsʼea	tsʼ e a
154099	170254	johanssonsoundsymbolic-Gumuz	gumu1244		earthsoil	1228	EARTH (SOIL)		nea	n e a
156700	172855	johanssonsoundsymbolic-Gumuz	gumu1244		eat	1336	EAT		sa	s a
159012	175170	johanssonsoundsymbolic-Gumuz	gumu1244		egg	744	EGG		iʃa	i ʃ a
169582	185740	johanssonsoundsymbolic-Gumuz	gumu1244		eye	1248	EYE		ca	c a
182069	198229	johanssonsoundsymbolic-Gumuz	gumu1244		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		saagwa	s aː g w a
196180	228833	johanssonsoundsymbolic-Gumuz	gumu1244		foot	1301	FOOT		tʃagwa	tʃ a g w a
214610	247263	johanssonsoundsymbolic-Gumuz	gumu1244		give	1447	GIVE		ca	c a
220737	253393	johanssonsoundsymbolic-Gumuz	gumu1244		good	1035	GOOD		gaχ	g a χ
228534	261190	johanssonsoundsymbolic-Gumuz	gumu1244		green	1425	GREEN		anzii	a n z iː
234541	267197	johanssonsoundsymbolic-Gumuz	gumu1244		hair	1040	HAIR		bee	b eː
238380	271036	johanssonsoundsymbolic-Gumuz	gumu1244		hand	1277	HAND		ela	e l a
243935	276592	johanssonsoundsymbolic-Gumuz	gumu1244		head	1256	HEAD		lukʼu	l u kʼ u
246879	279536	johanssonsoundsymbolic-Gumuz	gumu1244		hear	1408	HEAR		aga	a g a
248464	281121	johanssonsoundsymbolic-Gumuz	gumu1244		heart	1223	HEART		kʼobiitsa	kʼ o b iː ts a
263347	296007	johanssonsoundsymbolic-Gumuz	gumu1244		hornanatomy	1393	HORN (ANATOMY)		ɟikʼwe	ɟ i kʼ w e
274688	307348	johanssonsoundsymbolic-Gumuz	gumu1244		i	1209	I		ara	a r a
287533	320193	johanssonsoundsymbolic-Gumuz	gumu1244		kill	1417	KILL		ʃa	ʃ a
302170	334830	johanssonsoundsymbolic-Gumuz	gumu1244		leaf	628	LEAF		tsʼinɟa	tsʼ i n ɟ a
316934	349594	johanssonsoundsymbolic-Gumuz	gumu1244		liver	1224	LIVER		saaŋka	s aː ŋ k a
319831	352491	johanssonsoundsymbolic-Gumuz	gumu1244		long	1203	LONG		zam	z a m
323477	356137	johanssonsoundsymbolic-Gumuz	gumu1244		louse	1392	LOUSE		sakuna	s a k u n a
330443	363104	johanssonsoundsymbolic-Gumuz	gumu1244		man	1554	MAN		gunza	g u n z a
332266	364927	johanssonsoundsymbolic-Gumuz	gumu1244		many	1198	MANY		caca	c a c a
344435	377096	johanssonsoundsymbolic-Gumuz	gumu1244		moon	1313	MOON		ɓiɟa	ɓ i ɟ a
350912	383576	johanssonsoundsymbolic-Gumuz	gumu1244		mountain	639	MOUNTAIN		bogocʼiriʒa	b o g o cʼ i r i ʒ a
353420	386084	johanssonsoundsymbolic-Gumuz	gumu1244		mouth	674	MOUTH		sa	s a
358439	391103	johanssonsoundsymbolic-Gumuz	gumu1244		name	1405	NAME		tsʼee	tsʼ eː
364727	397394	johanssonsoundsymbolic-Gumuz	gumu1244		neck	1333	NECK		ɓia	ɓ i a
368784	401451	johanssonsoundsymbolic-Gumuz	gumu1244		new	1231	NEW		cica	c i c a
371559	404226	johanssonsoundsymbolic-Gumuz	gumu1244		night	1233	NIGHT		magakwa	m a g a k w a
377379	410046	johanssonsoundsymbolic-Gumuz	gumu1244		nose	1221	NOSE		lita	l i t a
378974	411641	johanssonsoundsymbolic-Gumuz	gumu1244		not	1240	NOT		aŋgo	a ŋ g o
389674	422341	johanssonsoundsymbolic-Gumuz	gumu1244		one	1493	ONE		meetaa	m eː t aː
406209	438876	johanssonsoundsymbolic-Gumuz	gumu1244		person	683	PERSON		ɓaga	ɓ a g a
432467	465135	johanssonsoundsymbolic-Gumuz	gumu1244		red	156	RED		oe	o e
459336	492005	johanssonsoundsymbolic-Gumuz	gumu1244		say	1458	SAY		kal	k a l
465082	497752	johanssonsoundsymbolic-Gumuz	gumu1244		see	1409	SEE		iir	iː r
466652	499322	johanssonsoundsymbolic-Gumuz	gumu1244		seed	714	SEED		ac	a c
490526	523198	johanssonsoundsymbolic-Gumuz	gumu1244		sit	1416	SIT		behip	b e h i p
494636	527308	johanssonsoundsymbolic-Gumuz	gumu1244		skin	763	SKIN		koɗ	k o ɗ
499275	531947	johanssonsoundsymbolic-Gumuz	gumu1244		sleep	1585	SLEEP		ʒiɟ	ʒ i ɟ
502858	535532	johanssonsoundsymbolic-Gumuz	gumu1244		small	1246	SMALL		χa	χ a
530060	562736	johanssonsoundsymbolic-Gumuz	gumu1244		stand	1442	STAND		ʔiitʃagw	ʔ iː tʃ a gʷ
532318	564994	johanssonsoundsymbolic-Gumuz	gumu1244		star	1430	STAR		biiʒa	b iː ʒ a
538858	571535	johanssonsoundsymbolic-Gumuz	gumu1244		stone	857	STONE		giʃaa	g i ʃ aː
548244	580921	johanssonsoundsymbolic-Gumuz	gumu1244		sun	1343	SUN		ooka	oː k a
555280	587957	johanssonsoundsymbolic-Gumuz	gumu1244		swim	1439	SWIM		matsʼala	m a tsʼ a l a
557738	590415	johanssonsoundsymbolic-Gumuz	gumu1244		tail	1220	TAIL		tsia	ts i a
567124	599803	johanssonsoundsymbolic-Gumuz	gumu1244		that	78	THAT		lana	l a n a
578214	610893	johanssonsoundsymbolic-Gumuz	gumu1244		this	1214	THIS		la	l a
580402	613085	johanssonsoundsymbolic-Gumuz	gumu1244		thou	1215	THOU		ama	a m a
596299	628986	johanssonsoundsymbolic-Gumuz	gumu1244		tongue	1205	TONGUE		tʼatʼa	tʼ a tʼ a
598475	631162	johanssonsoundsymbolic-Gumuz	gumu1244		tooth	1380	TOOTH		kʼos	kʼ o s
602876	635563	johanssonsoundsymbolic-Gumuz	gumu1244		tree	906	TREE		ɟa	ɟ a
611382	644069	johanssonsoundsymbolic-Gumuz	gumu1244		two	1498	TWO		mbaand	m b aː n d
627233	679894	johanssonsoundsymbolic-Gumuz	gumu1244		white	1335	WHITE		pu	p u
629700	682453	johanssonsoundsymbolic-Gumuz	gumu1244		who	1235	WHO		oole	oː l e
640081	692836	johanssonsoundsymbolic-Gumuz	gumu1244		woman	962	WOMAN		ŋgafa	ŋ g a f a
