	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3958	20109	johanssonsoundsymbolic-Nunggubuyu	nung1290		back	1291	BACK		waraga	w a r a g a
5078	21229	johanssonsoundsymbolic-Nunggubuyu	nung1290		bad	1292	BAD		alaadi	a l aː d i
8912	25063	johanssonsoundsymbolic-Nunggubuyu	nung1290		bark	1204	BARK		aɭwur	a ɭ w u r
13054	29205	johanssonsoundsymbolic-Nunggubuyu	nung1290		bealive	1422	BE ALIVE		wiɻi	w i ɻ i
16360	32511	johanssonsoundsymbolic-Nunggubuyu	nung1290		because	1157	BECAUSE		jamba	j a m b a
22955	39106	johanssonsoundsymbolic-Nunggubuyu	nung1290		belly	1251	BELLY		t̪ulmuŋ	t̪ u l m u ŋ
27998	44149	johanssonsoundsymbolic-Nunggubuyu	nung1290		big	1202	BIG		ɻuŋgal	ɻ u ŋ g a l
32731	48882	johanssonsoundsymbolic-Nunggubuyu	nung1290		bite	1403	BITE		gaʈ	g a ʈ
35345	51496	johanssonsoundsymbolic-Nunggubuyu	nung1290		black	163	BLACK		duma	d u m a
38758	54909	johanssonsoundsymbolic-Nunggubuyu	nung1290		blood	946	BLOOD		ŋuluji	ŋ u l u j i
40969	57120	johanssonsoundsymbolic-Nunggubuyu	nung1290		blowofwind	175	BLOW (OF WIND)		barga	b a r g a
43146	59297	johanssonsoundsymbolic-Nunggubuyu	nung1290		blunt	379	BLUNT		t̪uluguɳuŋ	t̪ u l u g u ɳ u ŋ
46982	63133	johanssonsoundsymbolic-Nunggubuyu	nung1290		bone	1394	BONE		ŋagaɻa	ŋ a g a ɻ a
58986	75139	johanssonsoundsymbolic-Nunggubuyu	nung1290		breathe	1407	BREATHE		ŋaɲga	ŋ a ɲ g a
91676	107829	johanssonsoundsymbolic-Nunggubuyu	nung1290		cloud	1489	CLOUD		ŋubunuŋ	ŋ u b u n u ŋ
98923	115076	johanssonsoundsymbolic-Nunggubuyu	nung1290		come	1446	COME		wala	w a l a
104954	121107	johanssonsoundsymbolic-Nunggubuyu	nung1290		correctright	1725	CORRECT (RIGHT)		ijgubulu	i j g u b u l u
121864	138019	johanssonsoundsymbolic-Nunggubuyu	nung1290		daynotnight	1225	DAY (NOT NIGHT)		arara	a r a r a
127146	143301	johanssonsoundsymbolic-Nunggubuyu	nung1290		die	1494	DIE		ŋawi	ŋ a w i
