	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3904	20055	johanssonsoundsymbolic-Haidanorthern	nort2938		back	1291	BACK		tʼʃʼakʼii	tʃʼ a kʼ iː
5020	21171	johanssonsoundsymbolic-Haidanorthern	nort2938		bad	1292	BAD		t̪aʕkaŋaa	t̪ a ʕ k a ŋ aː
8859	25010	johanssonsoundsymbolic-Haidanorthern	nort2938		bark	1204	BARK		kiit̪h	k iː t̪ʰ
13001	29152	johanssonsoundsymbolic-Haidanorthern	nort2938		bealive	1422	BE ALIVE		ʕxiin̪aŋaa	ʕ x iː n̪ a ŋ aː
15756	31907	johanssonsoundsymbolic-Haidanorthern	nort2938		beautiful	1427	BEAUTIFUL		haan̪iis̪gwaa	h aː n̪ iː s̪ g w aː
16323	32474	johanssonsoundsymbolic-Haidanorthern	nort2938		because	1157	BECAUSE		ʕkat̪an̪aan̪	ʕ k a t̪ a n̪ aː n̪
19248	35399	johanssonsoundsymbolic-Haidanorthern	nort2938		before	1882	BEFORE		khʊn̪aas̪t̪	kʰ ʊ n̪ aː s̪ t̪
20486	36637	johanssonsoundsymbolic-Haidanorthern	nort2938		behind	1686	BEHIND		t̪ʼaaɬ̪ii	t̪ʼ aː ɬ̪ iː
22895	39046	johanssonsoundsymbolic-Haidanorthern	nort2938		belly	1251	BELLY		kʼiitʃ	kʼ iː tʃ
24541	40692	johanssonsoundsymbolic-Haidanorthern	nort2938		beloworunder	1485	BELOW OR UNDER		ʕxit̪s̪ii	ʕ x i ts̪ iː
25758	41909	johanssonsoundsymbolic-Haidanorthern	nort2938		beside	1816	BESIDE		kʊʊs̪t̪	k ʊː s̪ t̪
26477	42628	johanssonsoundsymbolic-Haidanorthern	nort2938		between	689	BETWEEN		ɢaad̪	ɢ aː d̪
27936	44087	johanssonsoundsymbolic-Haidanorthern	nort2938		big	1202	BIG		iʔwaan̪	i ʔ w aː n̪
30322	46473	johanssonsoundsymbolic-Haidanorthern	nort2938		bird	937	BIRD		ʕxit̪ʼiit̪h	ʕ x i t̪ʼ iː t̪ʰ
32671	48822	johanssonsoundsymbolic-Haidanorthern	nort2938		bite	1403	BITE		qʼʊs̪kat̪h	qʼ ʊ s̪ k a t̪ʰ
33814	49965	johanssonsoundsymbolic-Haidanorthern	nort2938		bitter	887	BITTER		ʕxawkʊt̪ʼaa	ʕ x a w k ʊ t̪ʼ aː
35287	51438	johanssonsoundsymbolic-Haidanorthern	nort2938		black	163	BLACK		ɬ̪ʕkaɬ̪	ɬ̪ ʕ k a ɬ̪
38697	54848	johanssonsoundsymbolic-Haidanorthern	nort2938		blood	946	BLOOD		ʕkaj	ʕ k a j
40917	57068	johanssonsoundsymbolic-Haidanorthern	nort2938		blowofwind	175	BLOW (OF WIND)		xʊs̪kat̪h	x ʊ s̪ k a t̪ʰ
42081	58232	johanssonsoundsymbolic-Haidanorthern	nort2938		blue	837	BLUE		ʕkʊɬ̪aɬ̪	ʕ k ʊ ɬ̪ a ɬ̪
43104	59255	johanssonsoundsymbolic-Haidanorthern	nort2938		blunt	379	BLUNT		wʊn̪aa	w ʊ n̪ aː
44587	60738	johanssonsoundsymbolic-Haidanorthern	nort2938		body	1480	BODY		ɬ̪ʊʊ	ɬ̪ ʊː
46927	63078	johanssonsoundsymbolic-Haidanorthern	nort2938		bone	1394	BONE		s̪khʊtʃ	s̪ kʰ ʊ tʃ
51510	67661	johanssonsoundsymbolic-Haidanorthern	nort2938		boy	1366	BOY		iiɬ̪aantʼsʼd̪aaj	iː ɬ̪ aː n tsʼ d̪ aː j
52908	69059	johanssonsoundsymbolic-Haidanorthern	nort2938		brain	1583	BRAIN		qhatʃan̪_tʼʃʼaŋ	qʰ a tʃ a n̪ + tʃʼ a ŋ
57013	73166	johanssonsoundsymbolic-Haidanorthern	nort2938		breast	1402	BREAST		t̪ʼɬ̪ʼan̪ʊʊ	t̪ʼ ɬ̪ʼ a n̪ ʊː
58938	75091	johanssonsoundsymbolic-Haidanorthern	nort2938		breathe	1407	BREATHE		ʕkakan̪tʃaaw	ʕ k a k a n̪ tʃ aː w
64484	80637	johanssonsoundsymbolic-Haidanorthern	nort2938		burn	2102	BURN		ʕkʊt̪aa	ʕ k ʊ t̪ aː
67795	83948	johanssonsoundsymbolic-Haidanorthern	nort2938		buttocks	834	BUTTOCKS		ʕkʊt̪h	ʕ k ʊ t̪ʰ
72984	89137	johanssonsoundsymbolic-Haidanorthern	nort2938		carry	700	CARRY		kaŋ	k a ŋ
87951	104104	johanssonsoundsymbolic-Haidanorthern	nort2938		clean	704	CLEAN		s̪kʊn̪a	s̪ k ʊ n̪ a
91624	107777	johanssonsoundsymbolic-Haidanorthern	nort2938		cloud	1489	CLOUD		jaan̪	j aː n̪
95202	111355	johanssonsoundsymbolic-Haidanorthern	nort2938		cold	1287	COLD		t̪hat̪aa	t̪ʰ a t̪ aː
98864	115017	johanssonsoundsymbolic-Haidanorthern	nort2938		come	1446	COME		hawiit̪h	h a w iː t̪ʰ
104914	121067	johanssonsoundsymbolic-Haidanorthern	nort2938		correctright	1725	CORRECT (RIGHT)		jahkʼijaa	j a h kʼ i j aː
105995	122148	johanssonsoundsymbolic-Haidanorthern	nort2938		cough	879	COUGH		qʼʊs̪aaŋ	qʼ ʊ s̪ aː ŋ
112040	128193	johanssonsoundsymbolic-Haidanorthern	nort2938		crush	1520	CRUSH		t̪ɬ̪aʔuŋ	t̪ ɬ̪ a ʔ u ŋ
112973	129126	johanssonsoundsymbolic-Haidanorthern	nort2938		cry	1839	CRY		s̪ʕkajɬ̪aa	s̪ ʕ k a j ɬ̪ aː
118687	134840	johanssonsoundsymbolic-Haidanorthern	nort2938		dark	706	DARK		ɢaal̪gaajs̪ii	ɢ aː l̪ g aː j s̪ iː
121809	137964	johanssonsoundsymbolic-Haidanorthern	nort2938		daynotnight	1225	DAY (NOT NIGHT)		ʕkat̪hkaa	ʕ k a t̪ʰ k aː
124246	140401	johanssonsoundsymbolic-Haidanorthern	nort2938		deep	1593	DEEP		ɬd̪iiŋaa	ɬ d̪ iː ŋ aː
127085	143240	johanssonsoundsymbolic-Haidanorthern	nort2938		die	1494	DIE		kʼʊt̪ʼaal̪	kʼ ʊ t̪ʼ aː l̪
131734	147889	johanssonsoundsymbolic-Haidanorthern	nort2938		dirty	1230	DIRTY		s̪qʼiil̪aa	s̪ qʼ iː l̪ aː
134197	150352	johanssonsoundsymbolic-Haidanorthern	nort2938		do	813	DO		is̪t̪aa	i s̪ t̪ aː
135637	151792	johanssonsoundsymbolic-Haidanorthern	nort2938		dog	2009	DOG		ʕxa	ʕ x a
142105	158260	johanssonsoundsymbolic-Haidanorthern	nort2938		drink	1401	DRINK		n̪iiɬ̪	n̪ iː ɬ̪
145745	161900	johanssonsoundsymbolic-Haidanorthern	nort2938		dry	1398	DRY		xil̪aa	x i l̪ aː
148727	164882	johanssonsoundsymbolic-Haidanorthern	nort2938		dust	2	DUST		s̪qʼil̪	s̪ qʼ i l̪
151180	167335	johanssonsoundsymbolic-Haidanorthern	nort2938		ear	1247	EAR		kjʊʊ	k j ʊː
154101	170256	johanssonsoundsymbolic-Haidanorthern	nort2938		earthsoil	1228	EARTH (SOIL)		qʼwii	qʼ w iː
156703	172858	johanssonsoundsymbolic-Haidanorthern	nort2938		eat	1336	EAT		t̪aa	t̪ aː
159015	175173	johanssonsoundsymbolic-Haidanorthern	nort2938		egg	744	EGG		qhaw	qʰ a w
160768	176926	johanssonsoundsymbolic-Haidanorthern	nort2938		eight	1705	EIGHT		s̪t̪aan̪s̪aaŋaa	s̪ t̪ aː n̪ s̪ aː ŋ aː
163718	179876	johanssonsoundsymbolic-Haidanorthern	nort2938		eleven	1706	ELEVEN		t̪ɬ̪aaɬ̪_ʔwaag_s̪ɢwaan̪s̪aŋ	t̪ ɬ̪ aː ɬ̪ + ʔ w aː g + s̪ ɢ w aː n̪ s̪ a ŋ
164904	181062	johanssonsoundsymbolic-Haidanorthern	nort2938		empty	1624	EMPTY		qʼaal̪aa	qʼ aː l̪ aː
169585	185743	johanssonsoundsymbolic-Haidanorthern	nort2938		eye	1248	EYE		ʕxaŋʔii	ʕ x a ŋ ʔ iː
173588	189747	johanssonsoundsymbolic-Haidanorthern	nort2938		fall	1280	FALL		ʔwii	ʔʷ iː
175859	192018	johanssonsoundsymbolic-Haidanorthern	nort2938		far	1406	FAR		dʒiiŋeeɬ̪	dʒ iː ŋ eː ɬ̪
177005	193164	johanssonsoundsymbolic-Haidanorthern	nort2938		fart	1159	FART		kʊs̪ad̪	k ʊ s̪ a d̪
