	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3865	20016	johanssonsoundsymbolic-Amarakaeri	amar1274		back	1291	BACK		wataʔpi	w a t a ʔ p i
4974	21125	johanssonsoundsymbolic-Amarakaeri	amar1274		bad	1292	BAD		ndakweaʔ	n d a k w e a ʔ
8817	24968	johanssonsoundsymbolic-Amarakaeri	amar1274		bark	1204	BARK		tawĩɾẽʔ	t a w ĩ ɾ ẽ ʔ
12956	29107	johanssonsoundsymbolic-Amarakaeri	amar1274		bealive	1422	BE ALIVE		eʔnoeʔ	e ʔ n o e ʔ
15722	31873	johanssonsoundsymbolic-Amarakaeri	amar1274		beautiful	1427	BEAUTIFUL		indpieʔnda	i n d p i e ʔ n d a
16294	32445	johanssonsoundsymbolic-Amarakaeri	amar1274		because	1157	BECAUSE		kõniŋgẽpo	k õ n i ŋ g ẽ p o
19212	35363	johanssonsoundsymbolic-Amarakaeri	amar1274		before	1882	BEFORE		ikken	i kː e n
20447	36598	johanssonsoundsymbolic-Amarakaeri	amar1274		behind	1686	BEHIND		taʔnojjenʔ	t a ʔ n o jː e n ʔ
22848	38999	johanssonsoundsymbolic-Amarakaeri	amar1274		belly	1251	BELLY		wandapo	w a n d a p o
24505	40656	johanssonsoundsymbolic-Amarakaeri	amar1274		beloworunder	1485	BELOW OR UNDER		watopen	w a t o p e n
27888	44039	johanssonsoundsymbolic-Amarakaeri	amar1274		big	1202	BIG		mboɾoʔ	m b o ɾ o ʔ
30281	46432	johanssonsoundsymbolic-Amarakaeri	amar1274		bird	937	BIRD		mbakoj	m b a k o j
32630	48781	johanssonsoundsymbolic-Amarakaeri	amar1274		bite	1403	BITE		embok	e m b o k
33776	49927	johanssonsoundsymbolic-Amarakaeri	amar1274		bitter	887	BITTER		paiʔnda	p a i ʔ n d a
35239	51390	johanssonsoundsymbolic-Amarakaeri	amar1274		black	163	BLACK		wasik	w a s i k
38652	54803	johanssonsoundsymbolic-Amarakaeri	amar1274		blood	946	BLOOD		mimi	m i m i
40877	57028	johanssonsoundsymbolic-Amarakaeri	amar1274		blowofwind	175	BLOW (OF WIND)		eʔtipoj	e ʔ t i p o j
44543	60694	johanssonsoundsymbolic-Amarakaeri	amar1274		body	1480	BODY		wãsõʔ	w ã s õ ʔ
