	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8817	24968	johanssonsoundsymbolic-Amarakaeri	amar1274		bark	1204	BARK		tawĩɾẽʔ	t a w ĩ ɾ ẽ ʔ
22848	38999	johanssonsoundsymbolic-Amarakaeri	amar1274		belly	1251	BELLY		wandapo	w a n d a p o
27888	44039	johanssonsoundsymbolic-Amarakaeri	amar1274		big	1202	BIG		mboɾoʔ	m b o ɾ o ʔ
30281	46432	johanssonsoundsymbolic-Amarakaeri	amar1274		bird	937	BIRD		mbakoj	m b a k o j
32630	48781	johanssonsoundsymbolic-Amarakaeri	amar1274		bite	1403	BITE		embok	e m b o k
35239	51390	johanssonsoundsymbolic-Amarakaeri	amar1274		black	163	BLACK		wasik	w a s i k
38652	54803	johanssonsoundsymbolic-Amarakaeri	amar1274		blood	946	BLOOD		mimi	m i m i
46880	63031	johanssonsoundsymbolic-Amarakaeri	amar1274		bone	1394	BONE		waaiʔ	w aː i ʔ
56967	73120	johanssonsoundsymbolic-Amarakaeri	amar1274		breast	1402	BREAST		wakãŋgka	w a k ã ŋ g k a
64445	80598	johanssonsoundsymbolic-Amarakaeri	amar1274		burn	2102	BURN		ekpak	e k p a k
91582	107735	johanssonsoundsymbolic-Amarakaeri	amar1274		cloud	1489	CLOUD		ẽsĩwĩʔ	ẽ s ĩ w ĩ ʔ
95156	111309	johanssonsoundsymbolic-Amarakaeri	amar1274		cold	1287	COLD		uuʔ	uː ʔ
98820	114973	johanssonsoundsymbolic-Amarakaeri	amar1274		come	1446	COME		eʔtiak	e ʔ t i a k
127040	143195	johanssonsoundsymbolic-Amarakaeri	amar1274		die	1494	DIE		eʔmbueiʔ	e ʔ m b u e i ʔ
135590	151745	johanssonsoundsymbolic-Amarakaeri	amar1274		dog	2009	DOG		kuwa	k u w a
142059	158214	johanssonsoundsymbolic-Amarakaeri	amar1274		drink	1401	DRINK		eʔmaiʔ	e ʔ m a i ʔ
145705	161860	johanssonsoundsymbolic-Amarakaeri	amar1274		dry	1398	DRY		aj	a j
151133	167288	johanssonsoundsymbolic-Amarakaeri	amar1274		ear	1247	EAR		wapesond	w a p e s o n d
154056	170211	johanssonsoundsymbolic-Amarakaeri	amar1274		earthsoil	1228	EARTH (SOIL)		mbaɾak	m b a ɾ a k
156657	172812	johanssonsoundsymbolic-Amarakaeri	amar1274		eat	1336	EAT		epeʔ	e p e ʔ
158969	175127	johanssonsoundsymbolic-Amarakaeri	amar1274		egg	744	EGG		waknda	w a k n d a
169537	185695	johanssonsoundsymbolic-Amarakaeri	amar1274		eye	1248	EYE		wakpo	w a k p o
182035	198195	johanssonsoundsymbolic-Amarakaeri	amar1274		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		wasiwaj	w a s i w a j
184870	201030	johanssonsoundsymbolic-Amarakaeri	amar1274		feather	1201	FEATHER		wawij	w a w i j
196139	228792	johanssonsoundsymbolic-Amarakaeri	amar1274		foot	1301	FOOT		waʔi	w a ʔ i
209250	241903	johanssonsoundsymbolic-Amarakaeri	amar1274		full	1429	FULL		wendãʔ	w e n d ã ʔ
214567	247220	johanssonsoundsymbolic-Amarakaeri	amar1274		give	1447	GIVE		eʔjok	e ʔ j o k
220694	253350	johanssonsoundsymbolic-Amarakaeri	amar1274		good	1035	GOOD		ndaknda	n d a k n d a
228497	261153	johanssonsoundsymbolic-Amarakaeri	amar1274		green	1425	GREEN		wambuɾa	w a m b u ɾ a
234497	267153	johanssonsoundsymbolic-Amarakaeri	amar1274		hair	1040	HAIR		wakuwij	w a k u w i j
238337	270993	johanssonsoundsymbolic-Amarakaeri	amar1274		hand	1277	HAND		wambaʔ	w a m b a ʔ
243892	276549	johanssonsoundsymbolic-Amarakaeri	amar1274		head	1256	HEAD		waku	w a k u
246840	279497	johanssonsoundsymbolic-Amarakaeri	amar1274		hear	1408	HEAR		eʔpẽẽʔ	e ʔ p ẽː ʔ
248422	281079	johanssonsoundsymbolic-Amarakaeri	amar1274		heart	1223	HEART		wanoɾẽ	w a n o ɾ ẽ
263314	295974	johanssonsoundsymbolic-Amarakaeri	amar1274		hornanatomy	1393	HORN (ANATOMY)		wakupi	w a k u p i
274644	307304	johanssonsoundsymbolic-Amarakaeri	amar1274		i	1209	I		ndo	n d o
287489	320149	johanssonsoundsymbolic-Amarakaeri	amar1274		kill	1417	KILL		eʔaɾak	e ʔ a ɾ a k
290171	322831	johanssonsoundsymbolic-Amarakaeri	amar1274		knee	1371	KNEE		waikunda	w a i k u n d a
302127	334787	johanssonsoundsymbolic-Amarakaeri	amar1274		leaf	628	LEAF		mbakuta	m b a k u t a
316895	349555	johanssonsoundsymbolic-Amarakaeri	amar1274		liver	1224	LIVER		wameʔ	w a m e ʔ
319793	352453	johanssonsoundsymbolic-Amarakaeri	amar1274		long	1203	LONG		mbindnda	m b i n d n d a
323442	356102	johanssonsoundsymbolic-Amarakaeri	amar1274		louse	1392	LOUSE		wapuŋg	w a p u ŋ g
330400	363061	johanssonsoundsymbolic-Amarakaeri	amar1274		man	1554	MAN		mbokeɾek	m b o k e ɾ e k
332223	364884	johanssonsoundsymbolic-Amarakaeri	amar1274		many	1198	MANY		ndiŋgãʔ	n d i ŋ g ã ʔ
344393	377054	johanssonsoundsymbolic-Amarakaeri	amar1274		moon	1313	MOON		puuŋg	p uː ŋ g
350870	383534	johanssonsoundsymbolic-Amarakaeri	amar1274		mountain	639	MOUNTAIN		ndumba	n d u m b a
353378	386042	johanssonsoundsymbolic-Amarakaeri	amar1274		mouth	674	MOUTH		wakittaʔ	w a k i tː a ʔ
358397	391061	johanssonsoundsymbolic-Amarakaeri	amar1274		name	1405	NAME		wandik	w a n d i k
364685	397352	johanssonsoundsymbolic-Amarakaeri	amar1274		neck	1333	NECK		wawẽɾenpaj	w a w ẽ ɾ e n p a j
368746	401413	johanssonsoundsymbolic-Amarakaeri	amar1274		new	1231	NEW		wambonda	w a m b o n d a
371517	404184	johanssonsoundsymbolic-Amarakaeri	amar1274		night	1233	NIGHT		sikjo	s i k j o
377334	410001	johanssonsoundsymbolic-Amarakaeri	amar1274		nose	1221	NOSE		wãʔoj	w ã ʔ o j
