	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8861	25012	johanssonsoundsymbolic-Hatam	hata1243		bark	1204	BARK		hɔŋ	h ɔ ŋ
22897	39048	johanssonsoundsymbolic-Hatam	hata1243		belly	1251	BELLY		ŋhɔp	ŋ̊ ɔ p
27938	44089	johanssonsoundsymbolic-Hatam	hata1243		big	1202	BIG		ndig	n d i g
30324	46475	johanssonsoundsymbolic-Hatam	hata1243		bird	937	BIRD		ha	h a
32673	48824	johanssonsoundsymbolic-Hatam	hata1243		bite	1403	BITE		ham	h a m
35289	51440	johanssonsoundsymbolic-Hatam	hata1243		black	163	BLACK		ɾɔm	ɾ ɔ m
38699	54850	johanssonsoundsymbolic-Hatam	hata1243		blood	946	BLOOD		ŋgɾɔm	ŋ g ɾ ɔ m
46929	63080	johanssonsoundsymbolic-Hatam	hata1243		bone	1394	BONE		nɟum	n ɟ u m
57015	73168	johanssonsoundsymbolic-Hatam	hata1243		breast	1402	BREAST		ŋgɛ	ŋ g ɛ
64486	80639	johanssonsoundsymbolic-Hatam	hata1243		burn	2102	BURN		ndig	n d i g
95204	111357	johanssonsoundsymbolic-Hatam	hata1243		cold	1287	COLD		hɛm	h ɛ m
98866	115019	johanssonsoundsymbolic-Hatam	hata1243		come	1446	COME		kwɛi	k w ɛ i
127087	143242	johanssonsoundsymbolic-Hatam	hata1243		die	1494	DIE		mai	m a i
135639	151794	johanssonsoundsymbolic-Hatam	hata1243		dog	2009	DOG		minsiɛn	m i n s i ɛ n
142107	158262	johanssonsoundsymbolic-Hatam	hata1243		drink	1401	DRINK		dut	d u t
145747	161902	johanssonsoundsymbolic-Hatam	hata1243		dry	1398	DRY		mui	m u i
151182	167337	johanssonsoundsymbolic-Hatam	hata1243		ear	1247	EAR		tiŋɔu	t i ŋ ɔ u
154103	170258	johanssonsoundsymbolic-Hatam	hata1243		earthsoil	1228	EARTH (SOIL)		dihjɛi	d i h j ɛ i
156705	172860	johanssonsoundsymbolic-Hatam	hata1243		eat	1336	EAT		jɛm	j ɛ m
169587	185745	johanssonsoundsymbolic-Hatam	hata1243		eye	1248	EYE		jai	j a i
192868	225521	johanssonsoundsymbolic-Hatam	hata1243		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		mba	m b a
196185	228838	johanssonsoundsymbolic-Hatam	hata1243		foot	1301	FOOT		mig	m i g
214615	247268	johanssonsoundsymbolic-Hatam	hata1243		give	1447	GIVE		dɛiɟ	d ɛ i ɟ
220742	253398	johanssonsoundsymbolic-Hatam	hata1243		good	1035	GOOD		kɛi	k ɛ i
234546	267202	johanssonsoundsymbolic-Hatam	hata1243		hair	1040	HAIR		ntab	n t a b
238385	271041	johanssonsoundsymbolic-Hatam	hata1243		hand	1277	HAND		ndab	n d a b
243940	276597	johanssonsoundsymbolic-Hatam	hata1243		head	1256	HEAD		bɔu	b ɔ u
246884	279541	johanssonsoundsymbolic-Hatam	hata1243		hear	1408	HEAR		miap	m i a p
248469	281126	johanssonsoundsymbolic-Hatam	hata1243		heart	1223	HEART		ŋɔn	ŋ ɔ n
274693	307353	johanssonsoundsymbolic-Hatam	hata1243		i	1209	I		da	d a
290215	322875	johanssonsoundsymbolic-Hatam	hata1243		knee	1371	KNEE		biau	b i a u
302175	334835	johanssonsoundsymbolic-Hatam	hata1243		leaf	628	LEAF		mmɛŋ	mː ɛ ŋ
319836	352496	johanssonsoundsymbolic-Hatam	hata1243		long	1203	LONG		ɟɛi	ɟ ɛ i
330448	363109	johanssonsoundsymbolic-Hatam	hata1243		man	1554	MAN		pinai	p i n a i
332271	364932	johanssonsoundsymbolic-Hatam	hata1243		many	1198	MANY		maŋ	m a ŋ
344440	377101	johanssonsoundsymbolic-Hatam	hata1243		moon	1313	MOON		bɛd	b ɛ d
350917	383581	johanssonsoundsymbolic-Hatam	hata1243		mountain	639	MOUNTAIN		nuŋugwa	n u ŋ u g w a
353425	386089	johanssonsoundsymbolic-Hatam	hata1243		mouth	674	MOUTH		ŋgup	ŋ g u p
358444	391108	johanssonsoundsymbolic-Hatam	hata1243		name	1405	NAME		ɲɛŋ	ɲ ɛ ŋ
368789	401456	johanssonsoundsymbolic-Hatam	hata1243		new	1231	NEW		ɟɛp	ɟ ɛ p
371564	404231	johanssonsoundsymbolic-Hatam	hata1243		night	1233	NIGHT		mmun	mː u n
377384	410051	johanssonsoundsymbolic-Hatam	hata1243		nose	1221	NOSE		hwab	hʷ a b
378979	411646	johanssonsoundsymbolic-Hatam	hata1243		not	1240	NOT		big	b i g
389679	422346	johanssonsoundsymbolic-Hatam	hata1243		one	1493	ONE		gɔm	g ɔ m
406214	438881	johanssonsoundsymbolic-Hatam	hata1243		person	683	PERSON		tuŋwatu	t u ŋʷ a t u
432472	465140	johanssonsoundsymbolic-Hatam	hata1243		red	156	RED		ŋwɔi	ŋʷ ɔ i
444421	477090	johanssonsoundsymbolic-Hatam	hata1243		root	670	ROOT		gaw	g a w
