	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3943	20094	johanssonsoundsymbolic-Moro	moro1285		back	1291	BACK		lɘɽwa	l ɘ ɽ w a
5061	21212	johanssonsoundsymbolic-Moro	moro1285		bad	1292	BAD		tʃit̪u	tʃ i t̪ u
8896	25047	johanssonsoundsymbolic-Moro	moro1285		bark	1204	BARK		imwad̪əlwa	i m w a d̪ ə l w a
13037	29188	johanssonsoundsymbolic-Moro	moro1285		bealive	1422	BE ALIVE		mət̪o	m ə t̪ o
16350	32501	johanssonsoundsymbolic-Moro	moro1285		because	1157	BECAUSE		ŋenŋant̪a	ŋ e n ŋ a n t̪ a
22937	39088	johanssonsoundsymbolic-Moro	moro1285		belly	1251	BELLY		ara	a r a
27980	44131	johanssonsoundsymbolic-Moro	moro1285		big	1202	BIG		gamaŋəno	g a m a ŋ ə n o
30362	46513	johanssonsoundsymbolic-Moro	moro1285		bird	937	BIRD		uɽəfia	u ɽ ə f i a
32713	48864	johanssonsoundsymbolic-Moro	moro1285		bite	1403	BITE		andud̪u	a n d u d̪ u
35327	51478	johanssonsoundsymbolic-Moro	moro1285		black	163	BLACK		gamənwa	g a m ə n w a
38740	54891	johanssonsoundsymbolic-Moro	moro1285		blood	946	BLOOD		ŋəfəni	ŋ ə f ə n i
40953	57104	johanssonsoundsymbolic-Moro	moro1285		blowofwind	175	BLOW (OF WIND)		ud̪u	u d̪ u
43131	59282	johanssonsoundsymbolic-Moro	moro1285		blunt	379	BLUNT		gero_ɲəfən	g e r o + ɲ ə f ə n
46967	63118	johanssonsoundsymbolic-Moro	moro1285		bone	1394	BONE		lod̪ia	l o d̪ i a
58972	75125	johanssonsoundsymbolic-Moro	moro1285		breathe	1407	BREATHE		aut̪_ufud̪a	a u t̪ + u f u d̪ a
91660	107813	johanssonsoundsymbolic-Moro	moro1285		cloud	1489	CLOUD		d̪aba	d̪ a b a
98906	115059	johanssonsoundsymbolic-Moro	moro1285		come	1446	COME		ela	e l a
121847	138002	johanssonsoundsymbolic-Moro	moro1285		daynotnight	1225	DAY (NOT NIGHT)		ad̪əɲin	a d̪ ə ɲ i n
127129	143284	johanssonsoundsymbolic-Moro	moro1285		die	1494	DIE		aijo	a i j o
