	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
690	16841	wold-WhiteHmong	hmon1333		at	1461	AT		ntawm	ⁿt aɯ ²¹³
691	16842	wold-WhiteHmong	hmon1333		at	1461	AT		tom	t o ²¹³
4317	20468	wold-WhiteHmong	hmon1333		back	1291	BACK		nrob_qaum	ⁿr o ⁵⁵ + q au ²¹³
4318	20469	wold-WhiteHmong	hmon1333		back	1291	BACK		duav	d w a ³⁴
4779	20930	chenhmongmien-Bana	pana1310		bad	1292	BAD		va⁵³	v a ⁵³
4780	20931	chenhmongmien-BiaoMin	biao1254		bad	1292	BAD		tsʰa³³	tsʰ a ³³
4781	20932	chenhmongmien-CentralGuizhouChuanqiandian	nort2749		bad	1292	BAD		qə⁰²lɯ⁵⁵	q ə ² + l ɯ ⁵⁵
4782	20933	chenhmongmien-Chuanqiandian	chua1248		bad	1292	BAD		tʂi⁵⁵	ʈʂ i ⁵⁵
4783	20934	chenhmongmien-Chuanqiandian	chua1248		bad	1292	BAD		huai²⁴	h w ai ²⁴
4784	20935	chenhmongmien-Dongnu	dong1287		bad	1292	BAD		lə¹³	l ə ¹³
4785	20936	chenhmongmien-EasternLuobuohe	luop1235		bad	1292	BAD		tə⁰²tsa⁵⁵	t ə ² + ts a ⁵⁵
4786	20937	chenhmongmien-EasternQiandong	east2370		bad	1292	BAD		he⁴⁴	h e ⁴⁴
4787	20938	chenhmongmien-EasternXiangxi	east2371		bad	1292	BAD		la³³	l a ³³
4788	20939	chenhmongmien-Jiongnai	jion1236		bad	1292	BAD		wei³¹	w ei ³¹
4789	20940	chenhmongmien-KimMun	kimm1245		bad	1292	BAD		hu⁵¹	h u ⁵¹
4790	20941	chenhmongmien-KimMun	kimm1245		bad	1292	BAD		ʔpai⁴²	ˀp ai ⁴²
4791	20942	chenhmongmien-Mien	iumi1238		bad	1292	BAD		waːi²¹	w aːi ²¹
4792	20943	chenhmongmien-NortheastYunnanChuanqiandian	larg1235		bad	1292	BAD		tʂʅ⁵⁵	ʈʂ ʅ ⁵⁵
4793	20944	chenhmongmien-NorthernQiandong	nort2747		bad	1292	BAD		ʑaŋ³¹	ʑ a ŋ ³¹
4794	20945	chenhmongmien-NorthernQiandong	nort2747		bad	1292	BAD		qa³³ɬja⁵⁵	q a ³³ + ɬʲ a ⁵⁵
4795	20946	chenhmongmien-Numao	numa1251		bad	1292	BAD		pou⁵³	p ɔ ⁵³
4796	20947	chenhmongmien-Nunu	nunu1247		bad	1292	BAD		sie³⁵	s j e ³⁵
4797	20948	chenhmongmien-She	shee1238		bad	1292	BAD		ʔe⁵⁵	ʔ e ⁵⁵
4798	20949	chenhmongmien-SouthernGuizhouChuanqiandian	cent1394		bad	1292	BAD		pə¹¹	p ə ¹¹
4799	20950	chenhmongmien-SouthernQiandong	sout2754		bad	1292	BAD		po²⁴¹	p o ²⁴¹
4800	20951	chenhmongmien-WesternBaheng	pahn1237		bad	1292	BAD		pei¹¹	p ei ¹¹
4801	20952	chenhmongmien-WesternXiangxi	west2430		bad	1292	BAD		tɕɑ⁴⁴	tɕ ɑ ⁴⁴
4802	20953	chenhmongmien-Younuo	youn1235		bad	1292	BAD		va²¹	v a ²¹
4803	20954	chenhmongmien-ZaoMin	dzao1238		bad	1292	BAD		vai²²	v ai ²²
5697	21848	wold-WhiteHmong	hmon1333		bad	1292	BAD		phem	pʰ e ²¹³
9512	25663	wold-WhiteHmong	hmon1333		bark	1204	BARK		tawv	t aɯ ³⁴
12772	28923	chenhmongmien-Bana	pana1310		bealive	1422	BE ALIVE		ho³⁵	h o ³⁵
12773	28924	chenhmongmien-BiaoMin	biao1254		bealive	1422	BE ALIVE		xuə²¹	x w ə ²¹
12774	28925	chenhmongmien-CentralGuizhouChuanqiandian	nort2749		bealive	1422	BE ALIVE		tɕẽ⁵⁵	tɕ ẽ ⁵⁵
12775	28926	chenhmongmien-CentralGuizhouChuanqiandian	nort2749		bealive	1422	BE ALIVE		ka⁵⁵	k a ⁵⁵
12776	28927	chenhmongmien-Chuanqiandian	chua1248		bealive	1422	BE ALIVE		tɕa³¹	tɕ a ³¹
12777	28928	chenhmongmien-Dongnu	dong1287		bealive	1422	BE ALIVE		tiŋ¹³nɔ¹³	t i ŋ ¹³ + n ɔ ¹³
12778	28929	chenhmongmien-EasternLuobuohe	luop1235		bealive	1422	BE ALIVE		tə⁰²ʑe³¹	t ə ² + ʑ e ³¹
12779	28930	chenhmongmien-EasternQiandong	east2370		bealive	1422	BE ALIVE		ho³⁵	h o ³⁵
12780	28931	chenhmongmien-EasternXiangxi	east2371		bealive	1422	BE ALIVE		ȵuŋ⁵⁵	ȵ u ŋ ⁵⁵
12781	28932	chenhmongmien-Jiongnai	jion1236		bealive	1422	BE ALIVE		he⁵³	h e ⁵³
12782	28933	chenhmongmien-KimMun	kimm1245		bealive	1422	BE ALIVE		ʃaŋ⁵⁵	ʃ a ŋ ⁵⁵
12783	28934	chenhmongmien-Mien	iumi1238		bealive	1422	BE ALIVE		naŋ³¹	n a ŋ ³¹
12784	28935	chenhmongmien-NortheastYunnanChuanqiandian	larg1235		bealive	1422	BE ALIVE		dʑɦie³⁵	dʑʱ j e ³⁵
12785	28936	chenhmongmien-NorthernQiandong	nort2747		bealive	1422	BE ALIVE		ɣə¹³	ɣ ə ¹³
12786	28937	chenhmongmien-Numao	numa1251		bealive	1422	BE ALIVE		kjan¹³	k j a n ¹³
12787	28938	chenhmongmien-Nunu	nunu1247		bealive	1422	BE ALIVE		ȵu³⁵	ȵ u ³⁵
12788	28939	chenhmongmien-She	shee1238		bealive	1422	BE ALIVE		jɔ⁵³	j ɔ ⁵³
12789	28940	chenhmongmien-SouthernGuizhouChuanqiandian	cent1394		bealive	1422	BE ALIVE		tɕen⁵³	tɕ e n ⁵³
12790	28941	chenhmongmien-SouthernQiandong	sout2754		bealive	1422	BE ALIVE		ɣeu²²	ɣ eu ²²
12791	28942	chenhmongmien-WesternBaheng	pahn1237		bealive	1422	BE ALIVE		ha³⁵nje³³	h a ³⁵ + nʲ e ³³
12792	28943	chenhmongmien-WesternXiangxi	west2430		bealive	1422	BE ALIVE		ȵu²²	ȵ u ²²
12793	28944	chenhmongmien-Younuo	youn1235		bealive	1422	BE ALIVE		ha³²	h a ³²
12794	28945	chenhmongmien-ZaoMin	dzao1238		bealive	1422	BE ALIVE		saŋ²²	s a ŋ ²²
13549	29700	wold-WhiteHmong	hmon1333		bealive	1422	BE ALIVE		ciaj-sia	tɕ j a ⁵³ + ʂ j ə ³³
16527	32678	wold-WhiteHmong	hmon1333		because	1157	BECAUSE		vim	v i ²¹³
22542	38693	chenhmongmien-Bana	pana1310		belly	1251	BELLY		la⁰⁴tɕʰo¹³	l a ⁴ + tɕʰ o ¹³
22543	38694	chenhmongmien-BiaoMin	biao1254		belly	1251	BELLY		kai³⁵təu³⁵	k ai ³⁵ + t əu ³⁵
22544	38695	chenhmongmien-CentralGuizhouChuanqiandian	nort2749		belly	1251	BELLY		qə⁰²ȵ̥õ²⁴mlə̃³¹	q ə ² + ȵ̥ õ ²⁴ + m l ə̃ ³¹
22545	38696	chenhmongmien-Chuanqiandian	chua1248		belly	1251	BELLY		plaŋ⁴³	p l a ŋ ⁴³
22546	38697	chenhmongmien-Dongnu	dong1287		belly	1251	BELLY		ʔa⁰²pau⁴²	ʔ a ² + p au ⁴²
22547	38698	chenhmongmien-EasternLuobuohe	luop1235		belly	1251	BELLY		ʔa⁰²tɕʰu³¹	ʔ a ² + tɕʰ u ³¹
22548	38699	chenhmongmien-EasternQiandong	east2370		belly	1251	BELLY		qa³³tɕʰo²⁴mi⁵³	q a ³³ + tɕʰ o ²⁴ + m i ⁵³
22549	38700	chenhmongmien-EasternXiangxi	east2371		belly	1251	BELLY		ki⁰³tʰi⁵³	k i ³ + tʰ i ⁵³
22550	38701	chenhmongmien-Jiongnai	jion1236		belly	1251	BELLY		tʰe⁴⁴ka⁵³	tʰ e ⁴⁴ + k a ⁵³
22551	38702	chenhmongmien-KimMun	kimm1245		belly	1251	BELLY		ȵau⁵¹	ȵ au ⁵¹
22552	38703	chenhmongmien-Mien	iumi1238		belly	1251	BELLY		kə³¹sje³³	k ə ³¹ + s j e ³³
22553	38704	chenhmongmien-NortheastYunnanChuanqiandian	larg1235		belly	1251	BELLY		ʔa⁵⁵tɕʰau⁵⁵	ʔ a ⁵⁵ + tɕʰ au ⁵⁵
22554	38705	chenhmongmien-NorthernQiandong	nort2747		belly	1251	BELLY		qa³³tɕʰu³³	q a ³³ + tɕʰ u ³³
22555	38706	chenhmongmien-Numao	numa1251		belly	1251	BELLY		ȵ̥uŋ¹³	ȵ̊ u ŋ ¹³
22556	38707	chenhmongmien-Nunu	nunu1247		belly	1251	BELLY		ȵoŋ³⁵	ȵ o ŋ ³⁵
22557	38708	chenhmongmien-She	shee1238		belly	1251	BELLY		jɔ⁵⁵ka⁵⁵	j ɔ ⁵⁵ + k a ⁵⁵
22558	38709	chenhmongmien-SouthernGuizhouChuanqiandian	cent1394		belly	1251	BELLY		tɕɔ²²	tɕ ɔ ²²
22559	38710	chenhmongmien-SouthernQiandong	sout2754		belly	1251	BELLY		teu²⁴¹	t eu ²⁴¹
22560	38711	chenhmongmien-WesternBaheng	pahn1237		belly	1251	BELLY		ʔa⁰³ŋ̥ŋ³¹	ʔ a ³ + ŋ̊ ə ŋ ³¹
22561	38712	chenhmongmien-WesternXiangxi	west2430		belly	1251	BELLY		qo³⁵tɕʰi³⁵	q o ³⁵ + tɕʰ i ³⁵
22562	38713	chenhmongmien-Younuo	youn1235		belly	1251	BELLY		ta²¹tu⁴⁴	t a ²¹ + t u ⁴⁴
22563	38714	chenhmongmien-ZaoMin	dzao1238		belly	1251	BELLY		ŋ̥ŋ²⁴	ŋ̊ ə ŋ ²⁴
23895	40046	wold-WhiteHmong	hmon1333		belly	1251	BELLY		plab	p l a ⁵⁵
27594	43745	chenhmongmien-Bana	pana1310		big	1202	BIG		ljeu¹³	l j eu ¹³
27595	43746	chenhmongmien-BiaoMin	biao1254		big	1202	BIG		ɬu³³	ɬ u ³³
27596	43747	chenhmongmien-CentralGuizhouChuanqiandian	nort2749		big	1202	BIG		ɬə²⁴	ɬ ə ²⁴
27597	43748	chenhmongmien-Chuanqiandian	chua1248		big	1202	BIG		ɬo⁴³	ɬ o ⁴³
27598	43749	chenhmongmien-Dongnu	dong1287		big	1202	BIG		lau²¹	l au ²¹
27599	43750	chenhmongmien-EasternLuobuohe	luop1235		big	1202	BIG		tə⁰²ɬəu³¹	t ə ² + ɬ əu ³¹
27600	43751	chenhmongmien-EasternQiandong	east2370		big	1202	BIG		ljou²⁴	l j ɔ ²⁴
27601	43752	chenhmongmien-EasternXiangxi	east2371		big	1202	BIG		ɬjəɯ⁵³	ɬ j əɯ ⁵³
27602	43753	chenhmongmien-Jiongnai	jion1236		big	1202	BIG		ɬjəu⁴⁴	ɬ j əu ⁴⁴
27603	43754	chenhmongmien-KimMun	kimm1245		big	1202	BIG		lo¹¹	l o ¹¹
27604	43755	chenhmongmien-Mien	iumi1238		big	1202	BIG		ɬu³³	ɬ u ³³
27605	43756	chenhmongmien-NortheastYunnanChuanqiandian	larg1235		big	1202	BIG		ɬo⁵⁵	ɬ o ⁵⁵
27606	43757	chenhmongmien-NorthernQiandong	nort2747		big	1202	BIG		ɬʰjə³³	ɬʰ j ə ³³
27607	43758	chenhmongmien-Numao	numa1251		big	1202	BIG		lo⁵³	l o ⁵³
27608	43759	chenhmongmien-Nunu	nunu1247		big	1202	BIG		laŋ²²	l a ŋ ²²
27609	43760	chenhmongmien-She	shee1238		big	1202	BIG		vɔŋ³¹	v ɔ ŋ ³¹
27610	43761	chenhmongmien-SouthernGuizhouChuanqiandian	cent1394		big	1202	BIG		ɭo²²	ɭ o ²²
27611	43762	chenhmongmien-SouthernQiandong	sout2754		big	1202	BIG		ljeu³¹	l j eu ³¹
27612	43763	chenhmongmien-WesternBaheng	pahn1237		big	1202	BIG		ɬjo³⁵	ɬ j o ³⁵
27613	43764	chenhmongmien-WesternXiangxi	west2430		big	1202	BIG		ljo³¹	l j o ³¹
27614	43765	chenhmongmien-Younuo	youn1235		big	1202	BIG		ljeu⁴⁴	l j eu ⁴⁴
