	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
22846	38997	johanssonsoundsymbolic-Allentiac	alle1238		belly	1251	BELLY		taru	t a r u
35237	51388	johanssonsoundsymbolic-Allentiac	alle1238		black	163	BLACK		homhomniaŋ	h o m̥ o m n i a ŋ
38650	54801	johanssonsoundsymbolic-Allentiac	alle1238		blood	946	BLOOD		hoho	h o h o
46878	63029	johanssonsoundsymbolic-Allentiac	alle1238		bone	1394	BONE		jewe	j e w e
56965	73118	johanssonsoundsymbolic-Allentiac	alle1238		breast	1402	BREAST		kojkoj	k o j k o j
127038	143193	johanssonsoundsymbolic-Allentiac	alle1238		die	1494	DIE		lepuçapnen	l e p u ç a p n e n
135588	151743	johanssonsoundsymbolic-Allentiac	alle1238		dog	2009	DOG		wasa	w a s a
142057	158212	johanssonsoundsymbolic-Allentiac	alle1238		drink	1401	DRINK		maɲanen	m a ɲ a n e n
151131	167286	johanssonsoundsymbolic-Allentiac	alle1238		ear	1247	EAR		çlaka	ç l a k a
154054	170209	johanssonsoundsymbolic-Allentiac	alle1238		earthsoil	1228	EARTH (SOIL)		teta	t e t a
156655	172810	johanssonsoundsymbolic-Allentiac	alle1238		eat	1336	EAT		nentamanen	n e n t a m a n e n
209248	241901	johanssonsoundsymbolic-Allentiac	alle1238		full	1429	FULL		topatenen	t o p a t e n e n
214565	247218	johanssonsoundsymbolic-Allentiac	alle1238		give	1447	GIVE		khejmen	kʰ e j m e n
220692	253348	johanssonsoundsymbolic-Allentiac	alle1238		good	1035	GOOD		khotoalteunen	kʰ o t o a l t e u n e n
228495	261151	johanssonsoundsymbolic-Allentiac	alle1238		green	1425	GREEN		lturlturniaŋ	l t u r l t u r n i a ŋ
238335	270991	johanssonsoundsymbolic-Allentiac	alle1238		hand	1277	HAND		lpuu	l p uː
243890	276547	johanssonsoundsymbolic-Allentiac	alle1238		head	1256	HEAD		joto	j o t o
246838	279495	johanssonsoundsymbolic-Allentiac	alle1238		hear	1408	HEAR		sakatkanen	s a k a t k a n e n
274642	307302	johanssonsoundsymbolic-Allentiac	alle1238		i	1209	I		ku	k u
330398	363059	johanssonsoundsymbolic-Allentiac	alle1238		man	1554	MAN		khe	kʰ e
332221	364882	johanssonsoundsymbolic-Allentiac	alle1238		many	1198	MANY		lepe	l e p e
344391	377052	johanssonsoundsymbolic-Allentiac	alle1238		moon	1313	MOON		kher	kʰ e r
350868	383532	johanssonsoundsymbolic-Allentiac	alle1238		mountain	639	MOUNTAIN		tumta	t u m t a
353376	386040	johanssonsoundsymbolic-Allentiac	alle1238		mouth	674	MOUTH		howe	h o w e
358395	391059	johanssonsoundsymbolic-Allentiac	alle1238		name	1405	NAME		hene	h e n e
364683	397350	johanssonsoundsymbolic-Allentiac	alle1238		neck	1333	NECK		kapta	k a p t a
371515	404182	johanssonsoundsymbolic-Allentiac	alle1238		night	1233	NIGHT		motta	m o tː a
377332	409999	johanssonsoundsymbolic-Allentiac	alle1238		nose	1221	NOSE		ltermes	l t e r m e s
378935	411602	johanssonsoundsymbolic-Allentiac	alle1238		not	1240	NOT		naha	n a h a
389627	422294	johanssonsoundsymbolic-Allentiac	alle1238		one	1493	ONE		lkaa	l k aː
406172	438839	johanssonsoundsymbolic-Allentiac	alle1238		person	683	PERSON		khe	kʰ e
444383	477052	johanssonsoundsymbolic-Allentiac	alle1238		root	670	ROOT		sam	s a m
448777	481446	johanssonsoundsymbolic-Allentiac	alle1238		round	1395	ROUND		lkerkerniaŋ	l k e r k e r n i a ŋ
459290	491959	johanssonsoundsymbolic-Allentiac	alle1238		say	1458	SAY		manen	m a n e n
465036	497706	johanssonsoundsymbolic-Allentiac	alle1238		see	1409	SEE		putuanen	p u t u a n e n
466616	499286	johanssonsoundsymbolic-Allentiac	alle1238		seed	714	SEED		kolum	k o l u m
499230	531902	johanssonsoundsymbolic-Allentiac	alle1238		sleep	1585	SLEEP		tiamanen	t i a m a n e n
530019	562695	johanssonsoundsymbolic-Allentiac	alle1238		stand	1442	STAND		eçeltejnen	e ç e l t e j n e n
532272	564948	johanssonsoundsymbolic-Allentiac	alle1238		star	1430	STAR		kot	k o t
538812	571489	johanssonsoundsymbolic-Allentiac	alle1238		stone	857	STONE		toko	t o k o
548199	580876	johanssonsoundsymbolic-Allentiac	alle1238		sun	1343	SUN		tekta	t e k t a
555240	587917	johanssonsoundsymbolic-Allentiac	alle1238		swim	1439	SWIM		wajanen	w a j a n e n
567083	599762	johanssonsoundsymbolic-Allentiac	alle1238		that	78	THAT		ekhaŋ	e kʰ a ŋ
578171	610850	johanssonsoundsymbolic-Allentiac	alle1238		this	1214	THIS		ekhaŋ	e kʰ a ŋ
580356	613039	johanssonsoundsymbolic-Allentiac	alle1238		thou	1215	THOU		ka	k a
611335	644022	johanssonsoundsymbolic-Allentiac	alle1238		two	1498	TWO		jemen	j e m e n
627189	679850	johanssonsoundsymbolic-Allentiac	alle1238		white	1335	WHITE		karkaniaŋ	k a r k a n i a ŋ
629655	682408	johanssonsoundsymbolic-Allentiac	alle1238		who	1235	WHO		paa	p aː
640036	692791	johanssonsoundsymbolic-Allentiac	alle1238		woman	962	WOMAN		açejaŋ	a ç e j a ŋ
