	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8863	25014	johanssonsoundsymbolic-Huave	sanm1287		bark	1204	BARK		mipaŋg_ʃiɯl̪	m i p a ŋ g + ʃ i ɯ l̪
22899	39050	johanssonsoundsymbolic-Huave	sanm1287		belly	1251	BELLY		o̞t̪ɯe̞ŋgue̞ɾ̪an̪	o̞ t̪ ɯ e̞ ŋ g u e̞ ɾ a n̪
27940	44091	johanssonsoundsymbolic-Huave	sanm1287		big	1202	BIG		n̪ad̪am	n̪ a d̪ a m
30326	46477	johanssonsoundsymbolic-Huave	sanm1287		bird	937	BIRD		kie̞k	k i e̞ k
32675	48826	johanssonsoundsymbolic-Huave	sanm1287		bite	1403	BITE		at̪s̪amb	a ts̪ a m b
35291	51442	johanssonsoundsymbolic-Huave	sanm1287		black	163	BLACK		an̪mbe̞o̞ɾ̪	a n̪ m b e̞ o̞ ɾ
38701	54852	johanssonsoundsymbolic-Huave	sanm1287		blood	946	BLOOD		kie̞j	k i e̞ j
46931	63082	johanssonsoundsymbolic-Huave	sanm1287		bone	1394	BONE		o̞l̪aat̪s̪	o̞ l̪ aː ts̪
57017	73170	johanssonsoundsymbolic-Huave	sanm1287		breast	1402	BREAST		mal̪_miiɯn̪d̪aɾ̪an̪	m a l̪ + m iː ɯ n̪ d̪ a ɾ a n̪
64488	80641	johanssonsoundsymbolic-Huave	sanm1287		burn	2102	BURN		an̪d̪aab	a n̪ d̪ aː b
91627	107780	johanssonsoundsymbolic-Huave	sanm1287		cloud	1489	CLOUD		o̞ik	o̞ i k
95206	111359	johanssonsoundsymbolic-Huave	sanm1287		cold	1287	COLD		akin̪d̪	a k i n̪ d̪
98868	115021	johanssonsoundsymbolic-Huave	sanm1287		come	1446	COME		iɯn̪	i ɯ n̪
127089	143244	johanssonsoundsymbolic-Huave	sanm1287		die	1494	DIE		an̪d̪e̞o̞w	a n̪ d̪ e̞ o̞ w
135641	151796	johanssonsoundsymbolic-Huave	sanm1287		dog	2009	DOG		pe̞t̪	p e̞ t̪
142109	158264	johanssonsoundsymbolic-Huave	sanm1287		drink	1401	DRINK		aŋge̞n̪e̞o̞w	a ŋ g e̞ n̪ e̞ o̞ w
145749	161904	johanssonsoundsymbolic-Huave	sanm1287		dry	1398	DRY		n̪awaaɣ	n̪ a w aː ɣ
151184	167339	johanssonsoundsymbolic-Huave	sanm1287		ear	1247	EAR		o̞l̪aaɣaɾ̪an̪	o̞ l̪ aː ɣ a ɾ a n̪
154105	170260	johanssonsoundsymbolic-Huave	sanm1287		earthsoil	1228	EARTH (SOIL)		iɯt̪	i ɯ t̪
156707	172862	johanssonsoundsymbolic-Huave	sanm1287		eat	1336	EAT		ɯe̞t̪	ɯ e̞ t̪
159018	175176	johanssonsoundsymbolic-Huave	sanm1287		egg	744	EGG		o̞mb_kit̪	o̞ m b + k i t̪
169589	185747	johanssonsoundsymbolic-Huave	sanm1287		eye	1248	EYE		o̞n̪iiɯɣue̞ɾ̪an̪	o̞ n̪ iː ɯ ɣ u e̞ ɾ a n̪
182074	198234	johanssonsoundsymbolic-Huave	sanm1287		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ao̞w	a o̞ w
184914	201074	johanssonsoundsymbolic-Huave	sanm1287		feather	1201	FEATHER		e̞e̞d̪	e̞ː d̪
192870	225523	johanssonsoundsymbolic-Huave	sanm1287		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		me̞m	m e̞ m
196187	228840	johanssonsoundsymbolic-Huave	sanm1287		foot	1301	FOOT		o̞l̪e̞ajaɾ̪an̪	o̞ l̪ e̞ a j a ɾ a n̪
209287	241940	johanssonsoundsymbolic-Huave	sanm1287		full	1429	FULL		tʃipiɯn̪	tʃ i p i ɯ n̪
214617	247270	johanssonsoundsymbolic-Huave	sanm1287		give	1447	GIVE		ɯɯtʃ	ɯː tʃ
220744	253400	johanssonsoundsymbolic-Huave	sanm1287		good	1035	GOOD		n̪ajn̪e̞aj	n̪ a j n̪ e̞ a j
228540	261196	johanssonsoundsymbolic-Huave	sanm1287		green	1425	GREEN		n̪at̪e̞aik	n̪ a t̪ e̞ a i k
234548	267204	johanssonsoundsymbolic-Huave	sanm1287		hair	1040	HAIR		mio̞n̪d̪e̞at̪s̪_o̞mal̪aɾ̪an̪	m i o̞ n̪ d̪ e̞ a ts̪ + o̞ m a l̪ a ɾ a n̪
238387	271043	johanssonsoundsymbolic-Huave	sanm1287		hand	1277	HAND		ao̞p_o̞wiʃe̞ɾ̪an̪	a o̞ p + o̞ w i ʃ e̞ ɾ a n̪
243942	276599	johanssonsoundsymbolic-Huave	sanm1287		head	1256	HEAD		o̞mal̪aɾ̪an̪	o̞ m a l̪ a ɾ a n̪
246886	279543	johanssonsoundsymbolic-Huave	sanm1287		hear	1408	HEAR		aŋguiaj	a ŋ g u i a j
248471	281128	johanssonsoundsymbolic-Huave	sanm1287		heart	1223	HEART		o̞me̞aat̪s̪aɾ̪an̪	o̞ m e̞ aː ts̪ a ɾ a n̪
263353	296013	johanssonsoundsymbolic-Huave	sanm1287		hornanatomy	1393	HORN (ANATOMY)		t̪aaɣ	t̪ aː ɣ
274695	307355	johanssonsoundsymbolic-Huave	sanm1287		i	1209	I		ʃike̞	ʃ i k e̞
287539	320199	johanssonsoundsymbolic-Huave	sanm1287		kill	1417	KILL		ambij	a m b i j
290217	322877	johanssonsoundsymbolic-Huave	sanm1287		knee	1371	KNEE		miko̞s̪aɾ̪an̪	m i k o̞ s̪ a ɾ a n̪
302177	334837	johanssonsoundsymbolic-Huave	sanm1287		leaf	628	LEAF		o̞p	o̞ p
316940	349600	johanssonsoundsymbolic-Huave	sanm1287		liver	1224	LIVER		miike̞ɾ̪an̪	m iː k e̞ ɾ a n̪
319838	352498	johanssonsoundsymbolic-Huave	sanm1287		long	1203	LONG		n̪ajal̪	n̪ a j a l̪
323483	356143	johanssonsoundsymbolic-Huave	sanm1287		louse	1392	LOUSE		mbat̪	m b a t̪
330450	363111	johanssonsoundsymbolic-Huave	sanm1287		man	1554	MAN		n̪aʃe̞j	n̪ a ʃ e̞ j
332273	364934	johanssonsoundsymbolic-Huave	sanm1287		many	1198	MANY		ʃe̞je̞j	ʃ e̞ j e̞ j
344442	377103	johanssonsoundsymbolic-Huave	sanm1287		moon	1313	MOON		mɯm_kaaw	m ɯ m + k aː w
350919	383583	johanssonsoundsymbolic-Huave	sanm1287		mountain	639	MOUNTAIN		ʃiɯl̪	ʃ i ɯ l̪
353427	386091	johanssonsoundsymbolic-Huave	sanm1287		mouth	674	MOUTH		o̞mbe̞ajaɾ̪an̪	o̞ m b e̞ a j a ɾ a n̪
358446	391110	johanssonsoundsymbolic-Huave	sanm1287		name	1405	NAME		min̪ɯt̪e̞ɾ̪an̪	m i n̪ ɯ t̪ e̞ ɾ a n̪
364733	397400	johanssonsoundsymbolic-Huave	sanm1287		neck	1333	NECK		o̞n̪ike̞ɾ̪an̪	o̞ n̪ i k e̞ ɾ a n̪
368791	401458	johanssonsoundsymbolic-Huave	sanm1287		new	1231	NEW		jajat̪s̪	j a j a ts̪
371566	404233	johanssonsoundsymbolic-Huave	sanm1287		night	1233	NIGHT		o̞ŋgwiiɯt̪s̪	o̞ ŋ g w iː ɯ ts̪
377386	410053	johanssonsoundsymbolic-Huave	sanm1287		nose	1221	NOSE		o̞ʃiŋgue̞ɾ̪an̪	o̞ ʃ i ŋ g u e̞ ɾ a n̪
378981	411648	johanssonsoundsymbolic-Huave	sanm1287		not	1240	NOT		ŋgqɯj	ŋ g q ɯ j
389681	422348	johanssonsoundsymbolic-Huave	sanm1287		one	1493	ONE		n̪o̞p	n̪ o̞ p
406216	438883	johanssonsoundsymbolic-Huave	sanm1287		person	683	PERSON		n̪ipil̪an̪	n̪ i p i l̪ a n̪
432474	465142	johanssonsoundsymbolic-Huave	sanm1287		red	156	RED		n̪akan̪t̪s̪	n̪ a k a n̪ ts̪
444423	477092	johanssonsoundsymbolic-Huave	sanm1287		root	670	ROOT		o̞ʃiitʃ	o̞ ʃ iː tʃ
448819	481488	johanssonsoundsymbolic-Huave	sanm1287		round	1395	ROUND		n̪e̞wal̪aŋg	n̪ e̞ w a l̪ a ŋ g
456375	489044	johanssonsoundsymbolic-Huave	sanm1287		sand	671	SAND		wiiɯd̪	w iː ɯ d̪
459343	492012	johanssonsoundsymbolic-Huave	sanm1287		say	1458	SAY		apiɯŋg	a p i ɯ ŋ g
465089	497759	johanssonsoundsymbolic-Huave	sanm1287		see	1409	SEE		ajaw	a j a w
466658	499328	johanssonsoundsymbolic-Huave	sanm1287		seed	714	SEED		o̞s̪aab	o̞ s̪ aː b
490532	523204	johanssonsoundsymbolic-Huave	sanm1287		sit	1416	SIT		t̪s̪o̞t̪o̞m	ts̪ o̞ t̪ o̞ m
494643	527315	johanssonsoundsymbolic-Huave	sanm1287		skin	763	SKIN		t̪aaɣ	t̪ aː ɣ
499282	531954	johanssonsoundsymbolic-Huave	sanm1287		sleep	1585	SLEEP		ame̞aj	a m e̞ a j
502865	535539	johanssonsoundsymbolic-Huave	sanm1287		small	1246	SMALL		n̪in̪e̞	n̪ i n̪ e̞
507190	539866	johanssonsoundsymbolic-Huave	sanm1287		smokeexhaust	778	SMOKE (EXHAUST)		n̪as̪o̞p	n̪ a s̪ o̞ p
530067	562743	johanssonsoundsymbolic-Huave	sanm1287		stand	1442	STAND		aʃaiŋg	a ʃ a i ŋ g
532324	565000	johanssonsoundsymbolic-Huave	sanm1287		star	1430	STAR		o̞kas̪	o̞ k a s̪
538865	571542	johanssonsoundsymbolic-Huave	sanm1287		stone	857	STONE		pie̞d̪ɾ̪e̞	p i e̞ d̪ ɾ e̞
548251	580928	johanssonsoundsymbolic-Huave	sanm1287		sun	1343	SUN		t̪e̞at̪_n̪ɯt̪	t̪ e̞ a t̪ + n̪ ɯ t̪
555286	587963	johanssonsoundsymbolic-Huave	sanm1287		swim	1439	SWIM		ajr̪o̞k	a j r̪ o̞ k
557743	590420	johanssonsoundsymbolic-Huave	sanm1287		tail	1220	TAIL		wiɯl̪	w i ɯ l̪
567131	599810	johanssonsoundsymbolic-Huave	sanm1287		that	78	THAT		aaɣ_ajaj	aː ɣ + a j a j
578220	610899	johanssonsoundsymbolic-Huave	sanm1287		this	1214	THIS		n̪o̞n̪ɯt̪	n̪ o̞ n̪ ɯ t̪
580409	613092	johanssonsoundsymbolic-Huave	sanm1287		thou	1215	THOU		ike̞	i k e̞
596306	628993	johanssonsoundsymbolic-Huave	sanm1287		tongue	1205	TONGUE		o̞n̪iwe̞ɾ̪an̪	o̞ n̪ i w e̞ ɾ a n̪
598482	631169	johanssonsoundsymbolic-Huave	sanm1287		tooth	1380	TOOTH		o̞l̪ɯike̞ɾ̪an̪	o̞ l̪ ɯ i k e̞ ɾ a n̪
602883	635570	johanssonsoundsymbolic-Huave	sanm1287		tree	906	TREE		ʃiɯl̪	ʃ i ɯ l̪
611389	644076	johanssonsoundsymbolic-Huave	sanm1287		two	1498	TWO		ijkiaw	i j k i a w
627240	679901	johanssonsoundsymbolic-Huave	sanm1287		white	1335	WHITE		ɾ̪aan̪	ɾ aː n̪
629707	682460	johanssonsoundsymbolic-Huave	sanm1287		who	1235	WHO		jan̪e̞	j a n̪ e̞
640088	692843	johanssonsoundsymbolic-Huave	sanm1287		woman	962	WOMAN		n̪ajt̪aj	n̪ a j t̪ a j
