	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8777	24928	hubercolumbian-Ocaina	ocai1244		bark	1204	BARK		dʲakã́	dʲ a k ã
8778	24929	hubercolumbian-Ocaina	ocai1244		bark	1204	BARK		xonɯ́ɯ́ʔka	x o n ɯ ɯ ʔ k a
8804	24955	hubercolumbian-WitotoMinica	mini1256		bark	1204	BARK		igóraɯ	i g o r a ɯ
8805	24956	hubercolumbian-WitotoMurui	muru1274		bark	1204	BARK		igoraɯ	i g o r a ɯ
8806	24957	hubercolumbian-WitotoNipode	nupo1240		bark	1204	BARK		igóraɯ	i g o r a ɯ
22773	38924	hubercolumbian-Ocaina	ocai1244		belly	1251	BELLY		gáɸotʲo	g a ɸ o tʲ o
22774	38925	hubercolumbian-Ocaina	ocai1244		belly	1251	BELLY		gááho	g a a h o
22818	38969	hubercolumbian-WitotoMinica	mini1256		belly	1251	BELLY		hébe	h e b e
22819	38970	hubercolumbian-WitotoMinica	mini1256		belly	1251	BELLY		hébekɯ	h e b e k ɯ
22820	38971	hubercolumbian-WitotoMinica	mini1256		belly	1251	BELLY		moi idu	m o i + i d u
22821	38972	hubercolumbian-WitotoMinica	mini1256		belly	1251	BELLY		hébe	h e b e
22822	38973	hubercolumbian-WitotoMinica	mini1256		belly	1251	BELLY		hébekɯ	h e b e k ɯ
22823	38974	hubercolumbian-WitotoMurui	muru1274		belly	1251	BELLY		hébe	h e b e
22824	38975	hubercolumbian-WitotoMurui	muru1274		belly	1251	BELLY		ɸenaɯ hiʤakɯ	ɸ e n a ɯ + h i dʒ a k ɯ
22825	38976	hubercolumbian-WitotoMurui	muru1274		belly	1251	BELLY		hebe	h e b e
22826	38977	hubercolumbian-WitotoMurui	muru1274		belly	1251	BELLY		ɸenaɯ	ɸ e n a ɯ
22827	38978	hubercolumbian-WitotoNipode	nupo1240		belly	1251	BELLY		hébe	h e b e
22828	38979	hubercolumbian-WitotoNipode	nupo1240		belly	1251	BELLY		nemúigɯ	n e m u i g ɯ
22829	38980	hubercolumbian-WitotoNipode	nupo1240		belly	1251	BELLY		hébe	h e b e
