	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
2398	18549	polyglottaafricana-Izon	izon1238		axe	677	AXE		kúmbu	k u m b u
2399	18550	polyglottaafricana-Izon	izon1238		axe	677	AXE		ọ̄́go·	o˞ː g o
3985	20136	johanssonsoundsymbolic-Southeastijo	sout2774		back	1291	BACK		ɔbʊtoŋu	ɔ b ʊ t o ŋ u
5104	21255	johanssonsoundsymbolic-Southeastijo	sout2774		bad	1292	BAD		sei	s e i
5432	21583	polyglottaafricana-Izon	izon1238		bad	1292	BAD		ībī́ṛẹ	iː b iː ɽ e˞
8935	25086	johanssonsoundsymbolic-Southeastijo	sout2774		bark	1204	BARK		ɔpɪnɪ	ɔ p ɪ n ɪ
10698	26849	polyglottaafricana-Izon	izon1238		bat	1793	BAT		ṓsu·	oː s u
10699	26850	polyglottaafricana-Izon	izon1238		bat	1793	BAT		kẹ̄́pẹ	k e˞ː p e˞
13077	29228	johanssonsoundsymbolic-Southeastijo	sout2774		bealive	1422	BE ALIVE		numo	n u m o
13937	30088	polyglottaafricana-Izon	izon1238		bean	832	BEAN		ẹ́kīdi	e˞ ɠ̥ iː d i
15813	31964	johanssonsoundsymbolic-Southeastijo	sout2774		beautiful	1427	BEAUTIFUL		tɔrʊekɪmɔ	t ɔ r ʊ e k ɪ m ɔ
16375	32526	johanssonsoundsymbolic-Southeastijo	sout2774		because	1157	BECAUSE		ɛrɛsɪnɛ	ɛ r ɛ s ɪ n ɛ
17414	33565	polyglottaafricana-Izon	izon1238		bed	1663	BED		bilọ́gōno	b i l o˞ g oː n o
18708	34859	polyglottaafricana-Izon	izon1238		bee	665	BEE		bū́ọ	b uː o˞
18709	34860	polyglottaafricana-Izon	izon1238		bee	665	BEE		bẹ̄́ọu·	b e˞ː o˞ u
19315	35466	johanssonsoundsymbolic-Southeastijo	sout2774		before	1882	BEFORE		anɪtɛrɛ	a n ɪ t ɛ r ɛ
19832	35983	polyglottaafricana-Izon	izon1238		beg	3534	BEG		ā dā́sūsu	aː + d aː s uː s u
20554	36705	johanssonsoundsymbolic-Southeastijo	sout2774		behind	1686	BEHIND		ɔbʊ	ɔ b ʊ
22982	39133	johanssonsoundsymbolic-Southeastijo	sout2774		belly	1251	BELLY		ɔpʊ	ɔ p ʊ
23299	39450	polyglottaafricana-Izon	izon1238		belly	1251	BELLY		fúro	f u r o
23300	39451	polyglottaafricana-Izon	izon1238		belly	1251	BELLY		bíri	b i r i
24611	40762	johanssonsoundsymbolic-Southeastijo	sout2774		beloworunder	1485	BELOW OR UNDER		bɛdɛgɛɛmɔ	b ɛ d ɛ g ɛː m ɔ
28026	44177	johanssonsoundsymbolic-Southeastijo	sout2774		big	1202	BIG		igirigi	i g i r i g i
28456	44607	polyglottaafricana-Izon	izon1238		big	1202	BIG		dóba	d o b a
28457	44608	polyglottaafricana-Izon	izon1238		big	1202	BIG		dṓba	d oː b a
30402	46553	johanssonsoundsymbolic-Southeastijo	sout2774		bird	937	BIRD		ofoni	o f o n i
30787	46938	polyglottaafricana-Izon	izon1238		bird	937	BIRD		fíni	f i n i
32758	48909	johanssonsoundsymbolic-Southeastijo	sout2774		bite	1403	BITE		onwoin	o n w o i n
33886	50037	johanssonsoundsymbolic-Southeastijo	sout2774		bitter	887	BITTER		akʊ	a k ʊ
35373	51524	johanssonsoundsymbolic-Southeastijo	sout2774		black	163	BLACK		gʊlʊgʊlʊ	g ʊ l ʊ g ʊ l ʊ
35743	51894	polyglottaafricana-Izon	izon1238		black	163	BLACK		kúrukūrú	k u r u k uː r u
35744	51895	polyglottaafricana-Izon	izon1238		black	163	BLACK		ó nọ	o + n o˞
36371	52522	polyglottaafricana-Izon	izon1238		blackman	2806	BLACK MAN		kúrukúrubọ́	k u r u k u r u b o˞
38786	54937	johanssonsoundsymbolic-Southeastijo	sout2774		blood	946	BLOOD		pulo	p u l o
39161	55312	polyglottaafricana-Izon	izon1238		blood	946	BLOOD		púlo	p u l o
40993	57144	johanssonsoundsymbolic-Southeastijo	sout2774		blowofwind	175	BLOW (OF WIND)		ofuro	o f u r o
42142	58293	johanssonsoundsymbolic-Southeastijo	sout2774		blue	837	BLUE		buluubuluu	b u l uː b u l uː
43167	59318	johanssonsoundsymbolic-Southeastijo	sout2774		blunt	379	BLUNT		gbugburuu	g b u g b u r uː
44663	60814	johanssonsoundsymbolic-Southeastijo	sout2774		body	1480	BODY		oduimeni	o d u i m e n i
47008	63159	johanssonsoundsymbolic-Southeastijo	sout2774		bone	1394	BONE		imgba	i m g b a
47379	63530	polyglottaafricana-Izon	izon1238		bone	1394	BONE		ń·gbe	ŋ gb e
47380	63531	polyglottaafricana-Izon	izon1238		bone	1394	BONE		ún·gbo	u n gb o
48397	64548	polyglottaafricana-Izon	izon1238		book	963	BOOK		dī́ri	d iː r i
50434	66585	polyglottaafricana-Izon	izon1238		bow	994	BOW		ẹ́bẹ̄lẹ	e˞ b e˞ː l e˞
50435	66586	polyglottaafricana-Izon	izon1238		bow	994	BOW		dónīẹ	d o n iː e˞
51585	67736	johanssonsoundsymbolic-Southeastijo	sout2774		boy	1366	BOY		tɔgʊ	t ɔ g ʊ
51930	68081	polyglottaafricana-Izon	izon1238		boy	1366	BOY		ṓū-bọ́tūbọ	oː uː + b o˞ t uː b o˞
51931	68082	polyglottaafricana-Izon	izon1238		boy	1366	BOY		tọ̄́bọ	t o˞ː b o˞
52972	69123	johanssonsoundsymbolic-Southeastijo	sout2774		brain	1583	BRAIN		ɔkpɔtɔ	ɔ k p ɔ t ɔ
57092	73245	johanssonsoundsymbolic-Southeastijo	sout2774		breast	1402	BREAST		indo	i n d o
57441	73594	polyglottaafricana-Izon	izon1238		breast	1402	BREAST		ńdo	ŋ d o
57442	73595	polyglottaafricana-Izon	izon1238		breast	1402	BREAST		índō	i n d oː
59007	75160	johanssonsoundsymbolic-Southeastijo	sout2774		breathe	1407	BREATHE		ɪnjɔ_sara	ɪ n j ɔ + s a r a
59271	75424	polyglottaafricana-Izon	izon1238		breathe	1407	BREATHE		ā nyṓsara	aː + n j oː s a r a
59272	75425	polyglottaafricana-Izon	izon1238		breathe	1407	BREATHE		ọn·góāle	o˞ n g o aː l e
64562	80715	johanssonsoundsymbolic-Southeastijo	sout2774		burn	2102	BURN		dɔgɪ	d ɔ g ɪ
67332	83485	polyglottaafricana-Izon	izon1238		butterfly	1791	BUTTERFLY		ápērápa	a p eː r a p a
67863	84016	johanssonsoundsymbolic-Southeastijo	sout2774		buttocks	834	BUTTOCKS		otumopagara	o t u m o p a g a r a
69062	85215	polyglottaafricana-Izon	izon1238		buy	1869	BUY		ā fẹ̄́te	aː + f e˞ː t e
69778	85931	polyglottaafricana-Izon	izon1238		calabash	3918	CALABASH		bā́pa	b aː p a
69779	85932	polyglottaafricana-Izon	izon1238		calabash	3918	CALABASH		īgbégbe	iː gb e gb e
71959	88112	polyglottaafricana-Izon	izon1238		canoe	1970	CANOE		ā́ro	aː r o
71960	88113	polyglottaafricana-Izon	izon1238		canoe	1970	CANOE		ā́ro	aː r o
73072	89225	johanssonsoundsymbolic-Southeastijo	sout2774		carry	700	CARRY		pʊra	p ʊ r a
