	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
22984	39135	johanssonsoundsymbolic-Suabo	suab1238		belly	1251	BELLY		miro	m i r o
28029	44180	johanssonsoundsymbolic-Suabo	suab1238		big	1202	BIG		mawago	m a w a g o
30405	46556	johanssonsoundsymbolic-Suabo	suab1238		bird	937	BIRD		durewo	d u r e w o
32761	48912	johanssonsoundsymbolic-Suabo	suab1238		bite	1403	BITE		ʔaʔa	ʔ a ʔ a
35376	51527	johanssonsoundsymbolic-Suabo	suab1238		black	163	BLACK		tarido	t a r i d o
38789	54940	johanssonsoundsymbolic-Suabo	suab1238		blood	946	BLOOD		ʔaruʔo	ʔ a r u ʔ o
47011	63162	johanssonsoundsymbolic-Suabo	suab1238		bone	1394	BONE		toʔo	t o ʔ o
57095	73248	johanssonsoundsymbolic-Suabo	suab1238		breast	1402	BREAST		dido	d i d o
64565	80718	johanssonsoundsymbolic-Suabo	suab1238		burn	2102	BURN		tara	t a r a
91702	107855	johanssonsoundsymbolic-Suabo	suab1238		cloud	1489	CLOUD		sarido	s a r i d o
95289	111442	johanssonsoundsymbolic-Suabo	suab1238		cold	1287	COLD		orobeʔo	o r o b e ʔ o
98953	115106	johanssonsoundsymbolic-Suabo	suab1238		come	1446	COME		usabi	u s a b i
127176	143331	johanssonsoundsymbolic-Suabo	suab1238		die	1494	DIE		nu	n u
135725	151880	johanssonsoundsymbolic-Suabo	suab1238		dog	2009	DOG		mewoʔo	m e w o ʔ o
142194	158349	johanssonsoundsymbolic-Suabo	suab1238		drink	1401	DRINK		ri	r i
151270	167425	johanssonsoundsymbolic-Suabo	suab1238		ear	1247	EAR		ʔer	ʔ e r
156794	172949	johanssonsoundsymbolic-Suabo	suab1238		eat	1336	EAT		ri	r i
159097	175255	johanssonsoundsymbolic-Suabo	suab1238		egg	744	EGG		guʔo	g u ʔ o
169674	185832	johanssonsoundsymbolic-Suabo	suab1238		eye	1248	EYE		irabuʔo	i r a b u ʔ o
182145	198305	johanssonsoundsymbolic-Suabo	suab1238		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ʔerasoe	ʔ e r a s o e
196272	228925	johanssonsoundsymbolic-Suabo	suab1238		foot	1301	FOOT		ʔepo	ʔ e p o
214702	247355	johanssonsoundsymbolic-Suabo	suab1238		give	1447	GIVE		me	m e
220832	253488	johanssonsoundsymbolic-Suabo	suab1238		good	1035	GOOD		sowato	s o w a t o
228613	261269	johanssonsoundsymbolic-Suabo	suab1238		green	1425	GREEN		sururubo	s u r u r u b o
234631	267287	johanssonsoundsymbolic-Suabo	suab1238		hair	1040	HAIR		areri	a r e r i
238474	271130	johanssonsoundsymbolic-Suabo	suab1238		hand	1277	HAND		ewo	e w o
244030	276687	johanssonsoundsymbolic-Suabo	suab1238		head	1256	HEAD		aso	a s o
248554	281211	johanssonsoundsymbolic-Suabo	suab1238		heart	1223	HEART		bidarare	b i d a r a r e
274780	307440	johanssonsoundsymbolic-Suabo	suab1238		i	1209	I		naiti	n a i t i
287621	320281	johanssonsoundsymbolic-Suabo	suab1238		kill	1417	KILL		wutaube	w u t a u b e
302255	334915	johanssonsoundsymbolic-Suabo	suab1238		leaf	628	LEAF		dado	d a d o
317021	349681	johanssonsoundsymbolic-Suabo	suab1238		liver	1224	LIVER		gobo	g o b o
319917	352577	johanssonsoundsymbolic-Suabo	suab1238		long	1203	LONG		gire	g i r e
323559	356219	johanssonsoundsymbolic-Suabo	suab1238		louse	1392	LOUSE		ʔoto	ʔ o t o
330535	363196	johanssonsoundsymbolic-Suabo	suab1238		man	1554	MAN		ʔowewi	ʔ o w e w i
332355	365016	johanssonsoundsymbolic-Suabo	suab1238		many	1198	MANY		useʔe	u s e ʔ e
344528	377189	johanssonsoundsymbolic-Suabo	suab1238		moon	1313	MOON		moʔo	m o ʔ o
350993	383657	johanssonsoundsymbolic-Suabo	suab1238		mountain	639	MOUNTAIN		tirido	t i r i d o
353511	386175	johanssonsoundsymbolic-Suabo	suab1238		mouth	674	MOUTH		ebe	e b e
358529	391193	johanssonsoundsymbolic-Suabo	suab1238		name	1405	NAME		neri	n e r i
364814	397481	johanssonsoundsymbolic-Suabo	suab1238		neck	1333	NECK		aburate	a b u r a t e
368867	401534	johanssonsoundsymbolic-Suabo	suab1238		new	1231	NEW		ʔiʔo	ʔ i ʔ o
371653	404320	johanssonsoundsymbolic-Suabo	suab1238		night	1233	NIGHT		niro	n i r o
377471	410138	johanssonsoundsymbolic-Suabo	suab1238		nose	1221	NOSE		mitobi	m i t o b i
379057	411724	johanssonsoundsymbolic-Suabo	suab1238		not	1240	NOT		nawo	n a w o
389770	422437	johanssonsoundsymbolic-Suabo	suab1238		one	1493	ONE		naguare	n a g u a r e
406278	438945	johanssonsoundsymbolic-Suabo	suab1238		person	683	PERSON		mesida	m e s i d a
432554	465222	johanssonsoundsymbolic-Suabo	suab1238		red	156	RED		naʔaro	n a ʔ a r o
456453	489122	johanssonsoundsymbolic-Suabo	suab1238		sand	671	SAND		mido	m i d o
459420	492089	johanssonsoundsymbolic-Suabo	suab1238		say	1458	SAY		ʔe	ʔ e
465172	497842	johanssonsoundsymbolic-Suabo	suab1238		see	1409	SEE		ura	u r a
466720	499390	johanssonsoundsymbolic-Suabo	suab1238		seed	714	SEED		suro	s u r o
494722	527394	johanssonsoundsymbolic-Suabo	suab1238		skin	763	SKIN		giro	g i r o
499367	532039	johanssonsoundsymbolic-Suabo	suab1238		sleep	1585	SLEEP		ne	n e
502951	535625	johanssonsoundsymbolic-Suabo	suab1238		small	1246	SMALL		nesiroro	n e s i r o r o
507270	539946	johanssonsoundsymbolic-Suabo	suab1238		smokeexhaust	778	SMOKE (EXHAUST)		gero	g e r o
530148	562824	johanssonsoundsymbolic-Suabo	suab1238		stand	1442	STAND		edi	e d i
532406	565082	johanssonsoundsymbolic-Suabo	suab1238		star	1430	STAR		arowi	a r o w i
538952	571629	johanssonsoundsymbolic-Suabo	suab1238		stone	857	STONE		beto	b e t o
548336	581013	johanssonsoundsymbolic-Suabo	suab1238		sun	1343	SUN		tegi	t e g i
555362	588039	johanssonsoundsymbolic-Suabo	suab1238		swim	1439	SWIM		ʔeʔu	ʔ e ʔ u
557821	590498	johanssonsoundsymbolic-Suabo	suab1238		tail	1220	TAIL		guso	g u s o
567208	599887	johanssonsoundsymbolic-Suabo	suab1238		that	78	THAT		owoi	o w o i
578295	610975	johanssonsoundsymbolic-Suabo	suab1238		this	1214	THIS		mai	m a i
580492	613175	johanssonsoundsymbolic-Suabo	suab1238		thou	1215	THOU		aiti	a i t i
596387	629074	johanssonsoundsymbolic-Suabo	suab1238		tongue	1205	TONGUE		midero	m i d e r o
598565	631252	johanssonsoundsymbolic-Suabo	suab1238		tooth	1380	TOOTH		epo	e p o
602966	635653	johanssonsoundsymbolic-Suabo	suab1238		tree	906	TREE		ao	a o
611476	644163	johanssonsoundsymbolic-Suabo	suab1238		two	1498	TWO		eriwo	e r i w o
627325	679986	johanssonsoundsymbolic-Suabo	suab1238		white	1335	WHITE		putih	p u t i h
629789	682542	johanssonsoundsymbolic-Suabo	suab1238		who	1235	WHO		awetiara	a w e t i a r a
640174	692929	johanssonsoundsymbolic-Suabo	suab1238		woman	962	WOMAN		orewo	o r e w o
