	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3959	20110	johanssonsoundsymbolic-Oneida	onei1249		back	1291	BACK		olũhkweenaʔ	o l ũ h k w eː n a ʔ
5080	21231	johanssonsoundsymbolic-Oneida	onei1249		bad	1292	BAD		aksʌ̃	a k s ʌ̃
8913	25064	johanssonsoundsymbolic-Oneida	onei1249		bark	1204	BARK		oʔwaatsisteʔ	o ʔ w aː ts i s t e ʔ
13056	29207	johanssonsoundsymbolic-Oneida	onei1249		bealive	1422	BE ALIVE		ũnhe	ũ n̥ e
19299	35450	johanssonsoundsymbolic-Oneida	onei1249		before	1882	BEFORE		kalo	k a l o
22957	39108	johanssonsoundsymbolic-Oneida	onei1249		belly	1251	BELLY		onikwʌ̃ʌ̃taʔ	o n i k w ʌ̃ t a ʔ
24592	40743	johanssonsoundsymbolic-Oneida	onei1249		beloworunder	1485	BELOW OR UNDER		ehtaake	e h t aː k e
28000	44151	johanssonsoundsymbolic-Oneida	onei1249		big	1202	BIG		owanʌ̃	o w a n ʌ̃
30377	46528	johanssonsoundsymbolic-Oneida	onei1249		bird	937	BIRD		otsiʔtʌ̃haʔ	o ts i ʔ t ʌ̃ h a ʔ
32733	48884	johanssonsoundsymbolic-Oneida	onei1249		bite	1403	BITE		kalj	k a l j
33864	50015	johanssonsoundsymbolic-Oneida	onei1249		bitter	887	BITTER		skalat	s k a l a t
35347	51498	johanssonsoundsymbolic-Oneida	onei1249		black	163	BLACK		aʔswʌ̃ʔt	a ʔ s w ʌ̃ ʔ t
38760	54911	johanssonsoundsymbolic-Oneida	onei1249		blood	946	BLOOD		onikwʌ̃hsaʔ	o n i k w ʌ̃ h s a ʔ
40970	57121	johanssonsoundsymbolic-Oneida	onei1249		blowofwind	175	BLOW (OF WIND)		nhũstalũʔtat	n̥ ũ s t a l ũ ʔ t a t
42123	58274	johanssonsoundsymbolic-Oneida	onei1249		blue	837	BLUE		olũũjaʔ	o l ũ j a ʔ
43147	59298	johanssonsoundsymbolic-Oneida	onei1249		blunt	379	BLUNT		athjoʔktũ	a tʰ j o ʔ k t ũ
44641	60792	johanssonsoundsymbolic-Oneida	onei1249		body	1480	BODY		ojaataʔ	o j aː t a ʔ
46983	63134	johanssonsoundsymbolic-Oneida	onei1249		bone	1394	BONE		ostjʌ̃ʔ	o s t j ʌ̃ ʔ
51565	67716	johanssonsoundsymbolic-Oneida	onei1249		boy	1366	BOY		ksa	k s a
52956	69107	johanssonsoundsymbolic-Oneida	onei1249		brain	1583	BRAIN		onũũalat	o n ũ a l a t
57070	73223	johanssonsoundsymbolic-Oneida	onei1249		breast	1402	BREAST		onũũtaʔ	o n ũ t a ʔ
58987	75140	johanssonsoundsymbolic-Oneida	onei1249		breathe	1407	BREATHE		atũlj	a t ũ l j
64540	80693	johanssonsoundsymbolic-Oneida	onei1249		burn	2102	BURN		atek	a t e k
67841	83994	johanssonsoundsymbolic-Oneida	onei1249		buttocks	834	BUTTOCKS		ohnaatsaʔ	o h n aː ts a ʔ
73046	89199	johanssonsoundsymbolic-Oneida	onei1249		carry	700	CARRY		kalenj	k a l e n j
87989	104142	johanssonsoundsymbolic-Oneida	onei1249		clean	704	CLEAN		atohtalhak	a t o h t a l̥ a k
91677	107830	johanssonsoundsymbolic-Oneida	onei1249		cloud	1489	CLOUD		ahtsiʔkl	a h ts i ʔ k l
95261	111414	johanssonsoundsymbolic-Oneida	onei1249		cold	1287	COLD		wisto	w i s t o
104956	121109	johanssonsoundsymbolic-Oneida	onei1249		correctright	1725	CORRECT (RIGHT)		jeli	j e l i
106050	122203	johanssonsoundsymbolic-Oneida	onei1249		cough	879	COUGH		ahsaʔk	a h s a ʔ k
110515	126668	johanssonsoundsymbolic-Oneida	onei1249		crooked	297	CROOKED		atkwatũ	a t k w a t ũ
113030	129183	johanssonsoundsymbolic-Oneida	onei1249		cry	1839	CRY		ashʌ̃tho	a sʰ ʌ̃ tʰ o
118741	134894	johanssonsoundsymbolic-Oneida	onei1249		dark	706	DARK		aʔkalaʔ	a ʔ k a l a ʔ
121866	138021	johanssonsoundsymbolic-Oneida	onei1249		daynotnight	1225	DAY (NOT NIGHT)		wehnislaʔ	w e h n i s l a ʔ
124292	140447	johanssonsoundsymbolic-Oneida	onei1249		deep	1593	DEEP		shũwes	sʰ ũ w e s
127148	143303	johanssonsoundsymbolic-Oneida	onei1249		die	1494	DIE		ʌ̃hej	ʌ̃ h e j
131783	147938	johanssonsoundsymbolic-Oneida	onei1249		dirty	1230	DIRTY		nitstakwalal	n i ts t a k w a l a l
134258	150413	johanssonsoundsymbolic-Oneida	onei1249		do	813	DO		atjelanjũ	a t j e l a n j ũ
135697	151852	johanssonsoundsymbolic-Oneida	onei1249		dog	2009	DOG		eelhal	eː l̥ a l
142166	158321	johanssonsoundsymbolic-Oneida	onei1249		drink	1401	DRINK		hnekihl	h n e k i h l
145801	161956	johanssonsoundsymbolic-Oneida	onei1249		dry	1398	DRY		astathʌ̃ʔ	a s t a tʰ ʌ̃ ʔ
