	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3959	20110	johanssonsoundsymbolic-Oneida	onei1249		back	1291	BACK		olũhkweenaʔ	o l ũ h k w eː n a ʔ
5080	21231	johanssonsoundsymbolic-Oneida	onei1249		bad	1292	BAD		aksʌ̃	a k s ʌ̃
8913	25064	johanssonsoundsymbolic-Oneida	onei1249		bark	1204	BARK		oʔwaatsisteʔ	o ʔ w aː ts i s t e ʔ
13056	29207	johanssonsoundsymbolic-Oneida	onei1249		bealive	1422	BE ALIVE		ũnhe	ũ n̥ e
22957	39108	johanssonsoundsymbolic-Oneida	onei1249		belly	1251	BELLY		onikwʌ̃ʌ̃taʔ	o n i k w ʌ̃ t a ʔ
28000	44151	johanssonsoundsymbolic-Oneida	onei1249		big	1202	BIG		owanʌ̃	o w a n ʌ̃
30377	46528	johanssonsoundsymbolic-Oneida	onei1249		bird	937	BIRD		otsiʔtʌ̃haʔ	o ts i ʔ t ʌ̃ h a ʔ
32733	48884	johanssonsoundsymbolic-Oneida	onei1249		bite	1403	BITE		kalj	k a l j
35347	51498	johanssonsoundsymbolic-Oneida	onei1249		black	163	BLACK		aʔswʌ̃ʔt	a ʔ s w ʌ̃ ʔ t
38760	54911	johanssonsoundsymbolic-Oneida	onei1249		blood	946	BLOOD		onikwʌ̃hsaʔ	o n i k w ʌ̃ h s a ʔ
40970	57121	johanssonsoundsymbolic-Oneida	onei1249		blowofwind	175	BLOW (OF WIND)		nhũstalũʔtat	n̥ ũ s t a l ũ ʔ t a t
43147	59298	johanssonsoundsymbolic-Oneida	onei1249		blunt	379	BLUNT		athjoʔktũ	a tʰ j o ʔ k t ũ
46983	63134	johanssonsoundsymbolic-Oneida	onei1249		bone	1394	BONE		ostjʌ̃ʔ	o s t j ʌ̃ ʔ
58987	75140	johanssonsoundsymbolic-Oneida	onei1249		breathe	1407	BREATHE		atũlj	a t ũ l j
91677	107830	johanssonsoundsymbolic-Oneida	onei1249		cloud	1489	CLOUD		ahtsiʔkl	a h ts i ʔ k l
104956	121109	johanssonsoundsymbolic-Oneida	onei1249		correctright	1725	CORRECT (RIGHT)		jeli	j e l i
121866	138021	johanssonsoundsymbolic-Oneida	onei1249		daynotnight	1225	DAY (NOT NIGHT)		wehnislaʔ	w e h n i s l a ʔ
127148	143303	johanssonsoundsymbolic-Oneida	onei1249		die	1494	DIE		ʌ̃hej	ʌ̃ h e j
131783	147938	johanssonsoundsymbolic-Oneida	onei1249		dirty	1230	DIRTY		nitstakwalal	n i ts t a k w a l a l
135697	151852	johanssonsoundsymbolic-Oneida	onei1249		dog	2009	DOG		eelhal	eː l̥ a l
142166	158321	johanssonsoundsymbolic-Oneida	onei1249		drink	1401	DRINK		hnekihl	h n e k i h l
145801	161956	johanssonsoundsymbolic-Oneida	onei1249		dry	1398	DRY		astathʌ̃ʔ	a s t a tʰ ʌ̃ ʔ
148778	164933	johanssonsoundsymbolic-Oneida	onei1249		dust	2	DUST		oʔkʌ̃ʌ̃laʔ	o ʔ k ʌ̃ l a ʔ
151242	167397	johanssonsoundsymbolic-Oneida	onei1249		ear	1247	EAR		ohũhtaʔ	o h ũ h t a ʔ
154162	170317	johanssonsoundsymbolic-Oneida	onei1249		earthsoil	1228	EARTH (SOIL)		ohũtsjaʔ	o h ũ ts j a ʔ
156765	172920	johanssonsoundsymbolic-Oneida	onei1249		eat	1336	EAT		k	k
159073	175231	johanssonsoundsymbolic-Oneida	onei1249		egg	744	EGG		oʔnhũhsaʔ	o ʔ n̥ ũ h s a ʔ
169645	185803	johanssonsoundsymbolic-Oneida	onei1249		eye	1248	EYE		okaalaʔ	o k aː l a ʔ
173650	189809	johanssonsoundsymbolic-Oneida	onei1249		fall	1280	FALL		atjaʔtʌ̃ʔ	a t j a ʔ t ʌ̃ ʔ
175920	192079	johanssonsoundsymbolic-Oneida	onei1249		far	1406	FAR		aʔe	a ʔ e
182121	198281	johanssonsoundsymbolic-Oneida	onei1249		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		kʌ̃ʌ̃je	k ʌ̃ j e
184968	201128	johanssonsoundsymbolic-Oneida	onei1249		feather	1201	FEATHER		ostoosliʔ	o s t oː s l i ʔ
189999	222652	johanssonsoundsymbolic-Oneida	onei1249		flower	239	FLOWER		otsiitsjaʔ	o ts iː ts j a ʔ
192918	225571	johanssonsoundsymbolic-Oneida	onei1249		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		tsiiks	ts iː k s
196244	228897	johanssonsoundsymbolic-Oneida	onei1249		foot	1301	FOOT		ohsiitaʔ	o h s iː t a ʔ
202575	235228	johanssonsoundsymbolic-Oneida	onei1249		four	1500	FOUR		kaje	k a j e
214673	247326	johanssonsoundsymbolic-Oneida	onei1249		give	1447	GIVE		awi	a w i
220804	253460	johanssonsoundsymbolic-Oneida	onei1249		good	1035	GOOD		ijo	i j o
226240	258896	johanssonsoundsymbolic-Oneida	onei1249		grass	606	GRASS		onekliʔ	o n e k l i ʔ
