	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3936	20087	johanssonsoundsymbolic-Maung	maun1240		back	1291	BACK		kiɽwaɹa	k i ɽ w a ɹ a
5054	21205	johanssonsoundsymbolic-Maung	maun1240		bad	1292	BAD		numuɽunti	n u m u ɽ u n t i
8889	25040	johanssonsoundsymbolic-Maung	maun1240		bark	1204	BARK		maŋiɹi	m a ŋ i ɹ i
13031	29182	johanssonsoundsymbolic-Maung	maun1240		bealive	1422	BE ALIVE		niɲaɳaŋkat	n i ɲ a ɳ a ŋ k a t
16345	32496	johanssonsoundsymbolic-Maung	maun1240		because	1157	BECAUSE		la	l a
22930	39081	johanssonsoundsymbolic-Maung	maun1240		belly	1251	BELLY		kuɹak	k u ɹ a k
27973	44124	johanssonsoundsymbolic-Maung	maun1240		big	1202	BIG		kaɽkpin	k a ɽ k p i n
35320	51471	johanssonsoundsymbolic-Maung	maun1240		black	163	BLACK		maŋunci	m a ŋ u n c i
38733	54884	johanssonsoundsymbolic-Maung	maun1240		blood	946	BLOOD		maniŋul	m a n i ŋ u l
40947	57098	johanssonsoundsymbolic-Maung	maun1240		blowofwind	175	BLOW (OF WIND)		wu	w u
43126	59277	johanssonsoundsymbolic-Maung	maun1240		blunt	379	BLUNT		pul	p u l
58965	75118	johanssonsoundsymbolic-Maung	maun1240		breathe	1407	BREATHE		wiɹɳɣak	w i ɹ ɳ ɣ a k
91654	107807	johanssonsoundsymbolic-Maung	maun1240		cloud	1489	CLOUD		kujinu	k u j i n u
98899	115052	johanssonsoundsymbolic-Maung	maun1240		come	1446	COME		ŋawu	ŋ a w u
121840	137995	johanssonsoundsymbolic-Maung	maun1240		daynotnight	1225	DAY (NOT NIGHT)		ŋuɽic	ŋ u ɽ i c
127122	143277	johanssonsoundsymbolic-Maung	maun1240		die	1494	DIE		kimacu	k i m a c u
131760	147915	johanssonsoundsymbolic-Maung	maun1240		dirty	1230	DIRTY		kiŋuncaɲmin	k i ŋ u n c a ɲ m i n
135673	151828	johanssonsoundsymbolic-Maung	maun1240		dog	2009	DOG		luluc	l u l u c
142139	158294	johanssonsoundsymbolic-Maung	maun1240		drink	1401	DRINK		kanila	k a n i l a
145776	161931	johanssonsoundsymbolic-Maung	maun1240		dry	1398	DRY		iwɛɽ	i w ɛ ɽ
148755	164910	johanssonsoundsymbolic-Maung	maun1240		dust	2	DUST		julŋpuc	j u l ŋ p u c
151217	167372	johanssonsoundsymbolic-Maung	maun1240		ear	1247	EAR		laɳŋalk	l a ɳ ŋ a l k
154137	170292	johanssonsoundsymbolic-Maung	maun1240		earthsoil	1228	EARTH (SOIL)		kunak	k u n a k
156740	172895	johanssonsoundsymbolic-Maung	maun1240		eat	1336	EAT		kinila	k i n i l a
159048	175206	johanssonsoundsymbolic-Maung	maun1240		egg	744	EGG		kuɭacuk	k u ɭ a c u k
169620	185778	johanssonsoundsymbolic-Maung	maun1240		eye	1248	EYE		wun	w u n
173623	189782	johanssonsoundsymbolic-Maung	maun1240		fall	1280	FALL		cuɽ	c u ɽ
175893	192052	johanssonsoundsymbolic-Maung	maun1240		far	1406	FAR		waaɹak	w aː ɹ a k
184943	201103	johanssonsoundsymbolic-Maung	maun1240		feather	1201	FEATHER		imicik	i m i c i k
189975	222628	johanssonsoundsymbolic-Maung	maun1240		flower	239	FLOWER		waɽɣa	w a ɽ ɣ a
196217	228870	johanssonsoundsymbolic-Maung	maun1240		foot	1301	FOOT		juɳu	j u ɳ u
202550	235203	johanssonsoundsymbolic-Maung	maun1240		four	1500	FOUR		ŋaɽkaɽk_la_ŋaɽkaɽk	ŋ a ɽ k a ɽ k + l a + ŋ a ɽ k a ɽ k
214648	247301	johanssonsoundsymbolic-Maung	maun1240		give	1447	GIVE		inɲuŋ	i n ɲ u ŋ
220777	253433	johanssonsoundsymbolic-Maung	maun1240		good	1035	GOOD		namalal	n a m a l a l
226215	258871	johanssonsoundsymbolic-Maung	maun1240		grass	606	GRASS		miɭak	m i ɭ a k
234578	267234	johanssonsoundsymbolic-Maung	maun1240		hair	1040	HAIR		niɲpija	n i ɲ p i j a
238420	271076	johanssonsoundsymbolic-Maung	maun1240		hand	1277	HAND		juɳu	j u ɳ u
243974	276631	johanssonsoundsymbolic-Maung	maun1240		head	1256	HEAD		wanci	w a n c i
246913	279570	johanssonsoundsymbolic-Maung	maun1240		hear	1408	HEAR		kɛljutpa	k ɛ l j u t p a
248502	281159	johanssonsoundsymbolic-Maung	maun1240		heart	1223	HEART		maɹuʈuʈ	m a ɹ u ʈ u ʈ
250672	283329	johanssonsoundsymbolic-Maung	maun1240		heavy	1210	HEAVY		malakpi	m a l a k p i
254500	287159	johanssonsoundsymbolic-Maung	maun1240		here	136	HERE		kani	k a n i
