	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
459	16610	hattorijaponic-Miyako	miya1259		at	1461	AT		n	n
460	16611	hattorijaponic-Oki	okin1246		at	1461	AT		d.e	d e
539	16690	leejaponic-Hachijyo	hach1239		at	1461	AT		de	d e
540	16691	leejaponic-Hachijyo	hach1239		at	1461	AT		ni	n i
541	16692	leejaponic-Irafu	irab1238		at	1461	AT		ɴ	ɴ
542	16693	leejaponic-Irafu	irab1238		at	1461	AT		ɴ	ɴ
543	16694	leejaponic-Kagoshima	nort2935		at	1461	AT		de	d e
544	16695	leejaponic-Kagoshima	nort2935		at	1461	AT		ke	k e
545	16696	leejaponic-OldJapanese	oldj1239		at	1461	AT		te	t e
546	16697	leejaponic-OldJapanese	oldj1239		at	1461	AT		ni	n i
665	16816	wold-Japanese	nucl1643		at	1461	AT		de	d e
666	16817	wold-Japanese	nucl1643		at	1461	AT		ni	n i
924	17075	wold-Japanese	nucl1643		attack	722	ATTACK		kōgeki	k oː g e k i
1590	17741	wold-Japanese	nucl1643		aunt	1272	AUNT		oba	o b a
1832	17983	wold-Japanese	nucl1643		autumn	1276	AUTUMN		aki	a k i
2007	18158	wold-Japanese	nucl1643		awl	278	AWL		kiri	k i r i
2551	18702	wold-Japanese	nucl1643		axe	677	AXE		ono	o n o
2663	18814	wold-Japanese	nucl1643		axle	1769	AXLE		jiku	ʑ i k ɯ
3007	19158	wold-Japanese	nucl1643		baby	1289	BABY		aka-chan	a k a + tɕ a n
3788	19939	hattorijaponic-Oki	okin1246		back	1291	BACK		s.e.n.a	s e n a
4029	20180	leejaponic-Hachijyo	hach1239		back	1291	BACK		hedaka	h e d a k a
4030	20181	leejaponic-Irafu	irab1238		back	1291	BACK		kuːɴni	k uː ɴ n i
4031	20182	leejaponic-Kagoshima	nort2935		back	1291	BACK		senaka	s e n a k a
4032	20183	leejaponic-OldJapanese	oldj1239		back	1291	BACK		se	s e
4033	20184	leejaponic-Yonaguni	yona1241		back	1291	BACK		kutʃ?ibuni	k u tʃ ʔ i b u n i
4290	20441	wold-Japanese	nucl1643		back	1291	BACK		se	s e
4291	20442	wold-Japanese	nucl1643		back	1291	BACK		senaka	s e n a k a
4886	21037	hattorijaponic-Miyako	miya1259		bad	1292	BAD		f.u.s.a.r.i.t.a.m	f u s a r i t a m
4887	21038	hattorijaponic-Oki	okin1246		bad	1292	BAD		k.u.s.a.tː.a	k u s a tː a
5148	21299	leejaponic-Hachijyo	hach1239		bad	1292	BAD		warukja	w a r u k j a
5149	21300	leejaponic-Irafu	irab1238		bad	1292	BAD		balkal	b a l k a l
5150	21301	leejaponic-Kagoshima	nort2935		bad	1292	BAD		wari	w a r i
5151	21302	leejaponic-OldJapanese	oldj1239		bad	1292	BAD		aʃi	a ʃ i
5152	21303	leejaponic-Yonaguni	yona1241		bad	1292	BAD		barasaɴ	b a r a s a ɴ
5661	21812	wold-Japanese	nucl1643		bad	1292	BAD		warui	w a r u i
5907	22058	wold-Japanese	nucl1643		badluck	56	BAD LUCK		fukō	ɸ u k oː
5908	22059	wold-Japanese	nucl1643		badluck	56	BAD LUCK		kyō	k j oː
5909	22060	wold-Japanese	nucl1643		badluck	56	BAD LUCK		akuun	a k ɯ ɯ n
6825	22976	wold-Japanese	nucl1643		bait	2013	BAIT		esa	e s a
6971	23122	wold-Japanese	nucl1643		bake	183	BAKE		yaku	j a k ɯ
7023	23174	wold-Japanese	nucl1643		bald	1125	BALD		hageru	h a g e r ɯ
7024	23175	wold-Japanese	nucl1643		bald	1125	BALD		tokutō	t o k u t oː
7142	23293	wold-Japanese	nucl1643		ball	1845	BALL		tama	t a m a
7143	23294	wold-Japanese	nucl1643		ball	1845	BALL		kyū	k j ɯː
7144	23295	wold-Japanese	nucl1643		ball	1845	BALL		bōru	b oː r ɯ
7577	23728	wold-Japanese	nucl1643		bamboo	1927	BAMBOO		take	t a k e
8269	24420	wold-Japanese	nucl1643		banana	868	BANANA		banana	b a n a n a
8519	24670	wold-Japanese	nucl1643		bank	1284	BANK		ginkō	g i n k oː
8551	24702	wold-Japanese	nucl1643		banyan	346	BANYAN		gajumaru	g a ʑ u m a r ɯ
8740	24891	hattorijaponic-Miyako	miya1259		bark	1204	BARK		k.aː	k aː
8741	24892	hattorijaponic-Oki	okin1246		bark	1204	BARK		k.a.w.a	k a w a
9482	25633	wold-Japanese	nucl1643		bark	1204	BARK		juhi	ʑ u h i
9869	26020	wold-Japanese	nucl1643		barley	932	BARLEY		mugi	m u g i
9870	26021	wold-Japanese	nucl1643		barley	932	BARLEY		ōmugi	oː m u g i
10257	26408	wold-Japanese	nucl1643		basket	1539	BASKET		kago	k a g o
10855	27006	wold-Japanese	nucl1643		bat	1793	BAT		kōmori	k oː m o r i
11223	27374	wold-Japanese	nucl1643		bathe	138	BATHE		nyūyoku	n j ɯː j o k ɯ
11224	27375	wold-Japanese	nucl1643		bathe	138	BATHE		furo_ni_hairu	ɸ u r o + n i + h a i r ɯ
11316	27467	wold-Japanese	nucl1643		battery	662	BATTERY		denchi	d e n tɕ i
11360	27511	wold-Japanese	nucl1643		battle	579	BATTLE		sensō	s e n s oː
11361	27512	wold-Japanese	nucl1643		battle	579	BATTLE		ikusa	i k u s a
11362	27513	wold-Japanese	nucl1643		battle	579	BATTLE		sentō	s e n t oː
11404	27555	wold-Japanese	nucl1643		battleaxe	386	BATTLE-AXE		senpu	s e n p ɯ
11532	27683	wold-Japanese	nucl1643		bay	663	BAY		irie	i r i e
11533	27684	wold-Japanese	nucl1643		bay	663	BAY		wan	w a n
11799	27950	wold-Japanese	nucl1643		be	1579	BE		da	d a
12110	28261	wold-Japanese	nucl1643		bead	1860	BEAD		juzudama	ʑ u z u d a m a
12111	28262	wold-Japanese	nucl1643		bead	1860	BEAD		biizu	b iː z ɯ
12158	28309	wold-Japanese	nucl1643		beak	73	BEAK		kuchibashi	k u tɕ i b a ɕ i
