	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
459	16610	hattorijaponic-Miyako	miya1259		at	1461	AT		n	n
460	16611	hattorijaponic-Oki	okin1246		at	1461	AT		d.e	d e
539	16690	leejaponic-Hachijyo	hach1239		at	1461	AT		de	d e
540	16691	leejaponic-Hachijyo	hach1239		at	1461	AT		ni	n i
541	16692	leejaponic-Irafu	irab1238		at	1461	AT		ɴ	ɴ
542	16693	leejaponic-Irafu	irab1238		at	1461	AT		ɴ	ɴ
543	16694	leejaponic-Kagoshima	nort2935		at	1461	AT		de	d e
544	16695	leejaponic-Kagoshima	nort2935		at	1461	AT		ke	k e
545	16696	leejaponic-OldJapanese	oldj1239		at	1461	AT		te	t e
546	16697	leejaponic-OldJapanese	oldj1239		at	1461	AT		ni	n i
665	16816	wold-Japanese	nucl1643		at	1461	AT		de	d e
666	16817	wold-Japanese	nucl1643		at	1461	AT		ni	n i
3788	19939	hattorijaponic-Oki	okin1246		back	1291	BACK		s.e.n.a	s e n a
4029	20180	leejaponic-Hachijyo	hach1239		back	1291	BACK		hedaka	h e d a k a
4030	20181	leejaponic-Irafu	irab1238		back	1291	BACK		kuːɴni	k uː ɴ n i
4031	20182	leejaponic-Kagoshima	nort2935		back	1291	BACK		senaka	s e n a k a
4032	20183	leejaponic-OldJapanese	oldj1239		back	1291	BACK		se	s e
4033	20184	leejaponic-Yonaguni	yona1241		back	1291	BACK		kutʃ?ibuni	k u tʃ ʔ i b u n i
4290	20441	wold-Japanese	nucl1643		back	1291	BACK		se	s e
4291	20442	wold-Japanese	nucl1643		back	1291	BACK		senaka	s e n a k a
4886	21037	hattorijaponic-Miyako	miya1259		bad	1292	BAD		f.u.s.a.r.i.t.a.m	f u s a r i t a m
4887	21038	hattorijaponic-Oki	okin1246		bad	1292	BAD		k.u.s.a.tː.a	k u s a tː a
5148	21299	leejaponic-Hachijyo	hach1239		bad	1292	BAD		warukja	w a r u k j a
5149	21300	leejaponic-Irafu	irab1238		bad	1292	BAD		balkal	b a l k a l
5150	21301	leejaponic-Kagoshima	nort2935		bad	1292	BAD		wari	w a r i
5151	21302	leejaponic-OldJapanese	oldj1239		bad	1292	BAD		aʃi	a ʃ i
5152	21303	leejaponic-Yonaguni	yona1241		bad	1292	BAD		barasaɴ	b a r a s a ɴ
5661	21812	wold-Japanese	nucl1643		bad	1292	BAD		warui	w a r u i
8740	24891	hattorijaponic-Miyako	miya1259		bark	1204	BARK		k.aː	k aː
8741	24892	hattorijaponic-Oki	okin1246		bark	1204	BARK		k.a.w.a	k a w a
9482	25633	wold-Japanese	nucl1643		bark	1204	BARK		juhi	ʑ u h i
12876	29027	hattorijaponic-Miyako	miya1259		bealive	1422	BE ALIVE		nː.u.ʦ.ɨ.d.ua.ɭ	nː u ts ɨ d u a ɭ
12877	29028	hattorijaponic-Oki	okin1246		bealive	1422	BE ALIVE		e.k.e.ʨ.o.r.u	e k e tɕ o r u
13117	29268	leejaponic-Hachijyo	hach1239		bealive	1422	BE ALIVE		ikiru	i k i r u
13118	29269	leejaponic-Irafu	irab1238		bealive	1422	BE ALIVE		ɴnutsïmutsï	ɴ n u ts ɨ m u ts ɨ
13119	29270	leejaponic-Kagoshima	nort2935		bealive	1422	BE ALIVE		igiQ	i g i ʔ
13120	29271	leejaponic-OldJapanese	oldj1239		bealive	1422	BE ALIVE		iku	i k u
13121	29272	leejaponic-Yonaguni	yona1241		bealive	1422	BE ALIVE		ʔiguɴ	ʔ i g u ɴ
13518	29669	wold-Japanese	nucl1643		bealive	1422	BE ALIVE		ikiru	i k i r ɯ
16494	32645	wold-Japanese	nucl1643		because	1157	BECAUSE		kara	k a r a
22695	38846	hattorijaponic-Miyako	miya1259		belly	1251	BELLY		b.a.t.a	b a t a
22696	38847	hattorijaponic-Oki	okin1246		belly	1251	BELLY		ɸ.a.r.a	ɸ a r a
23035	39186	leejaponic-Hachijyo	hach1239		belly	1251	BELLY		hara	h a r a
23036	39187	leejaponic-Irafu	irab1238		belly	1251	BELLY		bata	b a t a
23037	39188	leejaponic-Kagoshima	nort2935		belly	1251	BELLY		hara	h a r a
23038	39189	leejaponic-OldJapanese	oldj1239		belly	1251	BELLY		wata	w a t a
23039	39190	leejaponic-Yonaguni	yona1241		belly	1251	BELLY		bata	b a t a
23865	40016	wold-Japanese	nucl1643		belly	1251	BELLY		hara	h a r a
27800	43951	hattorijaponic-Miyako	miya1259		big	1202	BIG		u.k.u	u k u
27801	43952	hattorijaponic-Oki	okin1246		big	1202	BIG		ɸ.u.t.eː	ɸ u t eː
28143	44294	leejaponic-Hachijyo	hach1239		big	1202	BIG		boːkja	b oː k j a
28144	44295	leejaponic-Irafu	irab1238		big	1202	BIG		ukukal	u k u k a l
28145	44296	leejaponic-Kagoshima	nort2935		big	1202	BIG		Fute	β u t e
28146	44297	leejaponic-OldJapanese	oldj1239		big	1202	BIG		öFö-	ö β ö
28147	44298	leejaponic-Yonaguni	yona1241		big	1202	BIG		maisa	m a i s a
29083	45234	wold-Japanese	nucl1643		big	1202	BIG		ōkii	oː k iː
30197	46348	hattorijaponic-Miyako	miya1259		bird	937	BIRD		t.ui	t ui
30198	46349	hattorijaponic-Oki	okin1246		bird	937	BIRD		t.o.r.i	t o r i
30517	46668	leejaponic-Hachijyo	hach1239		bird	937	BIRD		torime	t o r i m e
30518	46669	leejaponic-Irafu	irab1238		bird	937	BIRD		tul	t u l
30519	46670	leejaponic-Kagoshima	nort2935		bird	937	BIRD		toi	t o i
30520	46671	leejaponic-OldJapanese	oldj1239		bird	937	BIRD		töri	t ö r i
30521	46672	leejaponic-Yonaguni	yona1241		bird	937	BIRD		hatu	h a t u
31440	47591	wold-Japanese	nucl1643		bird	937	BIRD		tori	t o r i
32554	48705	hattorijaponic-Miyako	miya1259		bite	1403	BITE		f.uː	f uː
32555	48706	hattorijaponic-Oki	okin1246		bite	1403	BITE		k.a.m.u	k a m u
32873	49024	leejaponic-Irafu	irab1238		bite	1403	BITE		Fuː	β uː
