	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
5037	21188	johanssonsoundsymbolic-Kitja	kitj1240		bad	1292	BAD		jakawaɭa	j a k a w a ɭ a
22913	39064	johanssonsoundsymbolic-Kitja	kitj1240		belly	1251	BELLY		dʒɑm	dʒ ɑ m
27955	44106	johanssonsoundsymbolic-Kitja	kitj1240		big	1202	BIG		nawara	n a w a r a
32690	48841	johanssonsoundsymbolic-Kitja	kitj1240		bite	1403	BITE		wəʈ	w ə ʈ
38716	54867	johanssonsoundsymbolic-Kitja	kitj1240		blood	946	BLOOD		kuŋulum	k u ŋ u l u m
98883	115036	johanssonsoundsymbolic-Kitja	kitj1240		come	1446	COME		pijanj_wuɾadʒ	p i j a n j + w u ɾ a dʒ
127104	143259	johanssonsoundsymbolic-Kitja	kitj1240		die	1494	DIE		kəɳkak	k ə ɳ k a k
135656	151811	johanssonsoundsymbolic-Kitja	kitj1240		dog	2009	DOG		dʒula	dʒ u l a
142123	158278	johanssonsoundsymbolic-Kitja	kitj1240		drink	1401	DRINK		ŋuɭukpu	ŋ u ɭ u k p u
145761	161916	johanssonsoundsymbolic-Kitja	kitj1240		dry	1398	DRY		pərdʒikə	p ə r dʒ i k ə
151199	167354	johanssonsoundsymbolic-Kitja	kitj1240		ear	1247	EAR		jaʈəm	j a ʈ ə m
154119	170274	johanssonsoundsymbolic-Kitja	kitj1240		earthsoil	1228	EARTH (SOIL)		dʒHam	dʒʰ a m
156722	172877	johanssonsoundsymbolic-Kitja	kitj1240		eat	1336	EAT		dʒaŋ	dʒ a ŋ
159033	175191	johanssonsoundsymbolic-Kitja	kitj1240		egg	744	EGG		kəɾəwul	k ə ɾ ə w u l
169603	185761	johanssonsoundsymbolic-Kitja	kitj1240		eye	1248	EYE		muɭum	m u ɭ u m
173606	189765	johanssonsoundsymbolic-Kitja	kitj1240		fall	1280	FALL		pataɭ	p a t a ɭ
175878	192037	johanssonsoundsymbolic-Kitja	kitj1240		far	1406	FAR		ŋiripawuru	ŋ i r i p a w u r u
192882	225535	johanssonsoundsymbolic-Kitja	kitj1240		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		pumul	p u m u l
214631	247284	johanssonsoundsymbolic-Kitja	kitj1240		give	1447	GIVE		wadʒ	w a dʒ
220759	253415	johanssonsoundsymbolic-Kitja	kitj1240		good	1035	GOOD		mənkawugood	m ə n k a w u g oː d
226202	258858	johanssonsoundsymbolic-Kitja	kitj1240		grass	606	GRASS		ɾuram	ɾ u r a m
234563	267219	johanssonsoundsymbolic-Kitja	kitj1240		hair	1040	HAIR		tumum	t u m u m
238402	271058	johanssonsoundsymbolic-Kitja	kitj1240		hand	1277	HAND		maɭam	m a ɭ a m
