	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
5118	21269	johanssonsoundsymbolic-Tol	toll1241		bad	1292	BAD		mal̪al̪a	m a l̪ a l̪ a
16385	32536	johanssonsoundsymbolic-Tol	toll1241		because	1157	BECAUSE		mpe̞s	m p e̞ s
20568	36719	johanssonsoundsymbolic-Tol	toll1241		behind	1686	BEHIND		khɹiphaʔa	kʰ ɹ i pʰ a ʔ a
22996	39147	johanssonsoundsymbolic-Tol	toll1241		belly	1251	BELLY		ko̞l̪	k o̞ l̪
28042	44193	johanssonsoundsymbolic-Tol	toll1241		big	1202	BIG		pɨn̪e̞	p ɨ n̪ e̞
38802	54953	johanssonsoundsymbolic-Tol	toll1241		blood	946	BLOOD		n̪aʔas	n̪ a ʔ a s
47021	63172	johanssonsoundsymbolic-Tol	toll1241		bone	1394	BONE		ŋkhe̞l̪e̞	ŋ kʰ e̞ l̪ e̞
51595	67746	johanssonsoundsymbolic-Tol	toll1241		boy	1366	BOY		chikh	tʃ i kʰ
52983	69134	johanssonsoundsymbolic-Tol	toll1241		brain	1583	BRAIN		n̪ciβe̞	n̪ c i β e̞
57108	73261	johanssonsoundsymbolic-Tol	toll1241		breast	1402	BREAST		n̪co̞cʔ	n̪ c o̞ c ʔ
59017	75170	johanssonsoundsymbolic-Tol	toll1241		breathe	1407	BREATHE		khe̞ska	kʰ e̞ s k a
64576	80729	johanssonsoundsymbolic-Tol	toll1241		burn	2102	BURN		ʔjɨm	ʔ j ɨ m
67874	84027	johanssonsoundsymbolic-Tol	toll1241		buttocks	834	BUTTOCKS		pi	p i
73087	89240	johanssonsoundsymbolic-Tol	toll1241		carry	700	CARRY		j	j
88014	104167	johanssonsoundsymbolic-Tol	toll1241		clean	704	CLEAN		ʔe̞l̪	ʔ e̞ l̪
91711	107864	johanssonsoundsymbolic-Tol	toll1241		cloud	1489	CLOUD		mo̞l̪	m o̞ l̪
95300	111453	johanssonsoundsymbolic-Tol	toll1241		cold	1287	COLD		cho̞ho̞se̞	tʃ o̞ h o̞ s e̞
98966	115119	johanssonsoundsymbolic-Tol	toll1241		come	1446	COME		hak	h a k
106082	122235	johanssonsoundsymbolic-Tol	toll1241		cough	879	COUGH		cʔjuskha	c ʔ j u s kʰ a
121905	138060	johanssonsoundsymbolic-Tol	toll1241		daynotnight	1225	DAY (NOT NIGHT)		cʔakʔ	c ʔ a k ʔ
127189	143344	johanssonsoundsymbolic-Tol	toll1241		die	1494	DIE		pe̞ʔe̞	p e̞ ʔ e̞
134298	150453	johanssonsoundsymbolic-Tol	toll1241		do	813	DO		l̪ahaj	l̪ a h a j
135738	151893	johanssonsoundsymbolic-Tol	toll1241		dog	2009	DOG		chijo̞	tʃ i j o̞
142206	158361	johanssonsoundsymbolic-Tol	toll1241		drink	1401	DRINK		mɨʔɨs	m ɨ ʔ ɨ s
145839	161994	johanssonsoundsymbolic-Tol	toll1241		dry	1398	DRY		kʔa	k ʔ a
151282	167437	johanssonsoundsymbolic-Tol	toll1241		ear	1247	EAR		pho̞cʔ	pʰ o̞ c ʔ
154201	170356	johanssonsoundsymbolic-Tol	toll1241		earthsoil	1228	EARTH (SOIL)		ʔama	ʔ a m a
156807	172962	johanssonsoundsymbolic-Tol	toll1241		eat	1336	EAT		l̪ja	l̪ j a
159106	175264	johanssonsoundsymbolic-Tol	toll1241		egg	744	EGG		pe̞he̞j	p e̞ h e̞ j
160850	177008	johanssonsoundsymbolic-Tol	toll1241		eight	1705	EIGHT		kamajarts	k a m a j a r ts
164977	181135	johanssonsoundsymbolic-Tol	toll1241		empty	1624	EMPTY		pha	pʰ a
