	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
5118	21269	johanssonsoundsymbolic-Tol	toll1241		bad	1292	BAD		mal̪al̪a	m a l̪ a l̪ a
16385	32536	johanssonsoundsymbolic-Tol	toll1241		because	1157	BECAUSE		mpe̞s	m p e̞ s
22996	39147	johanssonsoundsymbolic-Tol	toll1241		belly	1251	BELLY		ko̞l̪	k o̞ l̪
28042	44193	johanssonsoundsymbolic-Tol	toll1241		big	1202	BIG		pɨn̪e̞	p ɨ n̪ e̞
38802	54953	johanssonsoundsymbolic-Tol	toll1241		blood	946	BLOOD		n̪aʔas	n̪ a ʔ a s
47021	63172	johanssonsoundsymbolic-Tol	toll1241		bone	1394	BONE		ŋkhe̞l̪e̞	ŋ kʰ e̞ l̪ e̞
59017	75170	johanssonsoundsymbolic-Tol	toll1241		breathe	1407	BREATHE		khe̞ska	kʰ e̞ s k a
91711	107864	johanssonsoundsymbolic-Tol	toll1241		cloud	1489	CLOUD		mo̞l̪	m o̞ l̪
98966	115119	johanssonsoundsymbolic-Tol	toll1241		come	1446	COME		hak	h a k
121905	138060	johanssonsoundsymbolic-Tol	toll1241		daynotnight	1225	DAY (NOT NIGHT)		cʔakʔ	c ʔ a k ʔ
127189	143344	johanssonsoundsymbolic-Tol	toll1241		die	1494	DIE		pe̞ʔe̞	p e̞ ʔ e̞
135738	151893	johanssonsoundsymbolic-Tol	toll1241		dog	2009	DOG		chijo̞	tʃ i j o̞
142206	158361	johanssonsoundsymbolic-Tol	toll1241		drink	1401	DRINK		mɨʔɨs	m ɨ ʔ ɨ s
145839	161994	johanssonsoundsymbolic-Tol	toll1241		dry	1398	DRY		kʔa	k ʔ a
151282	167437	johanssonsoundsymbolic-Tol	toll1241		ear	1247	EAR		pho̞cʔ	pʰ o̞ c ʔ
154201	170356	johanssonsoundsymbolic-Tol	toll1241		earthsoil	1228	EARTH (SOIL)		ʔama	ʔ a m a
156807	172962	johanssonsoundsymbolic-Tol	toll1241		eat	1336	EAT		l̪ja	l̪ j a
159106	175264	johanssonsoundsymbolic-Tol	toll1241		egg	744	EGG		pe̞he̞j	p e̞ h e̞ j
169687	185845	johanssonsoundsymbolic-Tol	toll1241		eye	1248	EYE		n̪	n̪
173691	189850	johanssonsoundsymbolic-Tol	toll1241		fall	1280	FALL		pal̪a_jak	p a l̪ a + j a k
182156	198316	johanssonsoundsymbolic-Tol	toll1241		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		t̪ʔɨn̪t̪ʔɨn̪	t̪ ʔ ɨ n̪ t̪ ʔ ɨ n̪
202614	235267	johanssonsoundsymbolic-Tol	toll1241		four	1500	FOUR		jul̪uphan̪a	j u l̪ u pʰ a n̪ a
220844	253500	johanssonsoundsymbolic-Tol	toll1241		good	1035	GOOD		ʔɨsɨs	ʔ ɨ s ɨ s
228622	261278	johanssonsoundsymbolic-Tol	toll1241		green	1425	GREEN		chu	tʃ u
234644	267300	johanssonsoundsymbolic-Tol	toll1241		hair	1040	HAIR		n̪cʔil̪	n̪ c ʔ i l̪
238487	271143	johanssonsoundsymbolic-Tol	toll1241		hand	1277	HAND		mas	m a s
248567	281224	johanssonsoundsymbolic-Tol	toll1241		heart	1223	HEART		has	h a s
258819	291479	johanssonsoundsymbolic-Tol	toll1241		hit	1433	HIT		sjɨp	s j ɨ p
268941	301601	johanssonsoundsymbolic-Tol	toll1241		how	1239	HOW		ʔo̞jn̪	ʔ o̞ j n̪
274793	307453	johanssonsoundsymbolic-Tol	toll1241		i	1209	I		n̪a	n̪ a
