	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3860	20011	johanssonsoundsymbolic-Aguaruna	agua1253		back	1291	BACK		tuntup	t u n t u p
4968	21119	johanssonsoundsymbolic-Aguaruna	agua1253		bad	1292	BAD		katsɨk	k a ts ɨ k
8812	24963	johanssonsoundsymbolic-Aguaruna	agua1253		bark	1204	BARK		saɨpɨ	s a ɨ p ɨ
12950	29101	johanssonsoundsymbolic-Aguaruna	agua1253		bealive	1422	BE ALIVE		puhut	p u h u t
15718	31869	johanssonsoundsymbolic-Aguaruna	agua1253		beautiful	1427	BEAUTIFUL		ʃiiham	ʃ iː h a m
16289	32440	johanssonsoundsymbolic-Aguaruna	agua1253		because	1157	BECAUSE		wagkapa	w a g k a p a
19207	35358	johanssonsoundsymbolic-Aguaruna	agua1253		before	1882	BEFORE		ɨɨm	ɨː m
20442	36593	johanssonsoundsymbolic-Aguaruna	agua1253		behind	1686	BEHIND		ukunum	u k u n u m
22842	38993	johanssonsoundsymbolic-Aguaruna	agua1253		belly	1251	BELLY		tantan	t a n t a n
24500	40651	johanssonsoundsymbolic-Aguaruna	agua1253		beloworunder	1485	BELOW OR UNDER		nugkan	n u g k a n
25730	41881	johanssonsoundsymbolic-Aguaruna	agua1253		beside	1816	BESIDE		jantamɨn	j a n t a m ɨ n
27883	44034	johanssonsoundsymbolic-Aguaruna	agua1253		big	1202	BIG		muun	m uː n
30276	46427	johanssonsoundsymbolic-Aguaruna	agua1253		bird	937	BIRD		piʃak	p i ʃ a k
32625	48776	johanssonsoundsymbolic-Aguaruna	agua1253		bite	1403	BITE		ɨsat	ɨ s a t
33771	49922	johanssonsoundsymbolic-Aguaruna	agua1253		bitter	887	BITTER		japau	j a p a u
35233	51384	johanssonsoundsymbolic-Aguaruna	agua1253		black	163	BLACK		bukusɨa	b u k u s ɨ a
38646	54797	johanssonsoundsymbolic-Aguaruna	agua1253		blood	946	BLOOD		numpa	n u m p a
40872	57023	johanssonsoundsymbolic-Aguaruna	agua1253		blowofwind	175	BLOW (OF WIND)		umpuut	u m p uː t
42043	58194	johanssonsoundsymbolic-Aguaruna	agua1253		blue	837	BLUE		wigka	w i g k a
43074	59225	johanssonsoundsymbolic-Aguaruna	agua1253		blunt	379	BLUNT		sujuhu	s u j u h u
44538	60689	johanssonsoundsymbolic-Aguaruna	agua1253		body	1480	BODY		ijaʃ	i j a ʃ
46874	63025	johanssonsoundsymbolic-Aguaruna	agua1253		bone	1394	BONE		ukuntʃ	u k u n tʃ
51461	67612	johanssonsoundsymbolic-Aguaruna	agua1253		boy	1366	BOY		tsakat	ts a k a t
52867	69018	johanssonsoundsymbolic-Aguaruna	agua1253		brain	1583	BRAIN		butsuk	b u ts u k
56961	73114	johanssonsoundsymbolic-Aguaruna	agua1253		breast	1402	BREAST		muntsu	m u n ts u
58903	75056	johanssonsoundsymbolic-Aguaruna	agua1253		breathe	1407	BREATHE		majatut	m a j a t u t
64440	80593	johanssonsoundsymbolic-Aguaruna	agua1253		burn	2102	BURN		apɨt	a p ɨ t
67754	83907	johanssonsoundsymbolic-Aguaruna	agua1253		buttocks	834	BUTTOCKS		puhutai	p u h u t a i
72933	89086	johanssonsoundsymbolic-Aguaruna	agua1253		carry	700	CARRY		ɨmat	ɨ m a t
87916	104069	johanssonsoundsymbolic-Aguaruna	agua1253		clean	704	CLEAN		tsuwattʃau	ts u w a tː ʃ a u
91578	107731	johanssonsoundsymbolic-Aguaruna	agua1253		cloud	1489	CLOUD		juhagkim	j u h a g k i m
95151	111304	johanssonsoundsymbolic-Aguaruna	agua1253		cold	1287	COLD		tsɨtsɨk	ts ɨ ts ɨ k
98815	114968	johanssonsoundsymbolic-Aguaruna	agua1253		come	1446	COME		minit	m i n i t
104889	121042	johanssonsoundsymbolic-Aguaruna	agua1253		correctright	1725	CORRECT (RIGHT)		bɨtɨk	b ɨ t ɨ k
105950	122103	johanssonsoundsymbolic-Aguaruna	agua1253		cough	879	COUGH		uhutut	u h u t u t
110432	126585	johanssonsoundsymbolic-Aguaruna	agua1253		crooked	297	CROOKED		tunihu	t u n i h u
111998	128151	johanssonsoundsymbolic-Aguaruna	agua1253		crush	1520	CRUSH		tʃanuut	tʃ a n uː t
112920	129073	johanssonsoundsymbolic-Aguaruna	agua1253		cry	1839	CRY		buutut	b uː t u t
118642	134795	johanssonsoundsymbolic-Aguaruna	agua1253		dark	706	DARK		bukusɨa	b u k u s ɨ a
121760	137915	johanssonsoundsymbolic-Aguaruna	agua1253		daynotnight	1225	DAY (NOT NIGHT)		tsawan	ts a w a n
124211	140366	johanssonsoundsymbolic-Aguaruna	agua1253		deep	1593	DEEP		kuna	k u n a
127034	143189	johanssonsoundsymbolic-Aguaruna	agua1253		die	1494	DIE		hakau	h a k a u
131693	147848	johanssonsoundsymbolic-Aguaruna	agua1253		dirty	1230	DIRTY		tsuwat	ts u w a t
134149	150304	johanssonsoundsymbolic-Aguaruna	agua1253		do	813	DO		naut	n a u t
135584	151739	johanssonsoundsymbolic-Aguaruna	agua1253		dog	2009	DOG		jawa	j a w a
142053	158208	johanssonsoundsymbolic-Aguaruna	agua1253		drink	1401	DRINK		umut	u m u t
145700	161855	johanssonsoundsymbolic-Aguaruna	agua1253		dry	1398	DRY		buku	b u k u
148686	164841	johanssonsoundsymbolic-Aguaruna	agua1253		dust	2	DUST		jukuukuntu	j u k uː k u n t u
151127	167282	johanssonsoundsymbolic-Aguaruna	agua1253		ear	1247	EAR		kuwiʃ	k u w i ʃ
154050	170205	johanssonsoundsymbolic-Aguaruna	agua1253		earthsoil	1228	EARTH (SOIL)		nugka	n u g k a
156651	172806	johanssonsoundsymbolic-Aguaruna	agua1253		eat	1336	EAT		juwamu	j u w a m u
158964	175122	johanssonsoundsymbolic-Aguaruna	agua1253		egg	744	EGG		nuhin	n u h i n
160725	176883	johanssonsoundsymbolic-Aguaruna	agua1253		eight	1705	EIGHT		huinia_uwɨha_kampatum_ihuk	h u i n i a + u w ɨ h a + k a m p a t u m + i h u k
163678	179836	johanssonsoundsymbolic-Aguaruna	agua1253		eleven	1706	ELEVEN		huinia_dawɨn_makitʃik_ihuk	h u i n i a + d a w ɨ n + m a k i tʃ i k + i h u k
164869	181027	johanssonsoundsymbolic-Aguaruna	agua1253		empty	1624	EMPTY		pahattʃau	p a h a tː ʃ a u
169532	185690	johanssonsoundsymbolic-Aguaruna	agua1253		eye	1248	EYE		hii	h iː
173537	189696	johanssonsoundsymbolic-Aguaruna	agua1253		fall	1280	FALL		ijaut	i j a u t
175807	191966	johanssonsoundsymbolic-Aguaruna	agua1253		far	1406	FAR		atuʃat	a t u ʃ a t
176980	193139	johanssonsoundsymbolic-Aguaruna	agua1253		fart	1159	FART		watsahu	w a ts a h u
177399	193558	johanssonsoundsymbolic-Aguaruna	agua1253		fast	1631	FAST		waamak	w aː m a k
182030	198190	johanssonsoundsymbolic-Aguaruna	agua1253		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		wija	w i j a
184865	201025	johanssonsoundsymbolic-Aguaruna	agua1253		feather	1201	FEATHER		uhɨ	u h ɨ
