	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8812	24963	johanssonsoundsymbolic-Aguaruna	agua1253		bark	1204	BARK		saɨpɨ	s a ɨ p ɨ
22842	38993	johanssonsoundsymbolic-Aguaruna	agua1253		belly	1251	BELLY		tantan	t a n t a n
27883	44034	johanssonsoundsymbolic-Aguaruna	agua1253		big	1202	BIG		muun	m uː n
30276	46427	johanssonsoundsymbolic-Aguaruna	agua1253		bird	937	BIRD		piʃak	p i ʃ a k
32625	48776	johanssonsoundsymbolic-Aguaruna	agua1253		bite	1403	BITE		ɨsat	ɨ s a t
35233	51384	johanssonsoundsymbolic-Aguaruna	agua1253		black	163	BLACK		bukusɨa	b u k u s ɨ a
38646	54797	johanssonsoundsymbolic-Aguaruna	agua1253		blood	946	BLOOD		numpa	n u m p a
46874	63025	johanssonsoundsymbolic-Aguaruna	agua1253		bone	1394	BONE		ukuntʃ	u k u n tʃ
56961	73114	johanssonsoundsymbolic-Aguaruna	agua1253		breast	1402	BREAST		muntsu	m u n ts u
64440	80593	johanssonsoundsymbolic-Aguaruna	agua1253		burn	2102	BURN		apɨt	a p ɨ t
91578	107731	johanssonsoundsymbolic-Aguaruna	agua1253		cloud	1489	CLOUD		juhagkim	j u h a g k i m
95151	111304	johanssonsoundsymbolic-Aguaruna	agua1253		cold	1287	COLD		tsɨtsɨk	ts ɨ ts ɨ k
98815	114968	johanssonsoundsymbolic-Aguaruna	agua1253		come	1446	COME		minit	m i n i t
127034	143189	johanssonsoundsymbolic-Aguaruna	agua1253		die	1494	DIE		hakau	h a k a u
135584	151739	johanssonsoundsymbolic-Aguaruna	agua1253		dog	2009	DOG		jawa	j a w a
142053	158208	johanssonsoundsymbolic-Aguaruna	agua1253		drink	1401	DRINK		umut	u m u t
145700	161855	johanssonsoundsymbolic-Aguaruna	agua1253		dry	1398	DRY		buku	b u k u
151127	167282	johanssonsoundsymbolic-Aguaruna	agua1253		ear	1247	EAR		kuwiʃ	k u w i ʃ
154050	170205	johanssonsoundsymbolic-Aguaruna	agua1253		earthsoil	1228	EARTH (SOIL)		nugka	n u g k a
156651	172806	johanssonsoundsymbolic-Aguaruna	agua1253		eat	1336	EAT		juwamu	j u w a m u
158964	175122	johanssonsoundsymbolic-Aguaruna	agua1253		egg	744	EGG		nuhin	n u h i n
169532	185690	johanssonsoundsymbolic-Aguaruna	agua1253		eye	1248	EYE		hii	h iː
182030	198190	johanssonsoundsymbolic-Aguaruna	agua1253		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		wija	w i j a
184865	201025	johanssonsoundsymbolic-Aguaruna	agua1253		feather	1201	FEATHER		uhɨ	u h ɨ
192825	225478	johanssonsoundsymbolic-Aguaruna	agua1253		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		kaap	k aː p
196134	228787	johanssonsoundsymbolic-Aguaruna	agua1253		foot	1301	FOOT		dawɨ	d a w ɨ
209244	241897	johanssonsoundsymbolic-Aguaruna	agua1253		full	1429	FULL		bɨtɨ	b ɨ t ɨ
214562	247215	johanssonsoundsymbolic-Aguaruna	agua1253		give	1447	GIVE		suwamu	s u w a m u
220688	253344	johanssonsoundsymbolic-Aguaruna	agua1253		good	1035	GOOD		pɨgkɨg	p ɨ g k ɨ g
228491	261147	johanssonsoundsymbolic-Aguaruna	agua1253		green	1425	GREEN		samɨkbau	s a m ɨ k b a u
234492	267148	johanssonsoundsymbolic-Aguaruna	agua1253		hair	1040	HAIR		intaʃ	i n t a ʃ
238331	270987	johanssonsoundsymbolic-Aguaruna	agua1253		hand	1277	HAND		uwɨh	u w ɨ h
243886	276543	johanssonsoundsymbolic-Aguaruna	agua1253		head	1256	HEAD		buuk	b uː k
246834	279491	johanssonsoundsymbolic-Aguaruna	agua1253		hear	1408	HEAR		antut	a n t u t
