	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8874	25025	johanssonsoundsymbolic-Katcha	katc1249		bark	1204	BARK		ndofu	n d o f u
22910	39061	johanssonsoundsymbolic-Katcha	katc1249		belly	1251	BELLY		aid̪i	a i d̪ i
27952	44103	johanssonsoundsymbolic-Katcha	katc1249		big	1202	BIG		adagbo	a d a g b o
30338	46489	johanssonsoundsymbolic-Katcha	katc1249		bird	937	BIRD		ndwe	n d w e
32687	48838	johanssonsoundsymbolic-Katcha	katc1249		bite	1403	BITE		kidi	k i d i
35302	51453	johanssonsoundsymbolic-Katcha	katc1249		black	163	BLACK		uɗuɗu	u ɗ u ɗ u
38713	54864	johanssonsoundsymbolic-Katcha	katc1249		blood	946	BLOOD		orid̪o	o r i d̪ o
46943	63094	johanssonsoundsymbolic-Katcha	katc1249		bone	1394	BONE		kuɓa	k u ɓ a
57029	73182	johanssonsoundsymbolic-Katcha	katc1249		breast	1402	BREAST		t̪onogo	t̪ o n o g o
64496	80649	johanssonsoundsymbolic-Katcha	katc1249		burn	2102	BURN		ifinɛ	i f i n ɛ
91635	107788	johanssonsoundsymbolic-Katcha	katc1249		cloud	1489	CLOUD		t̪ilipi	t̪ i l i p i
95217	111370	johanssonsoundsymbolic-Katcha	katc1249		cold	1287	COLD		eɟɔlɔ	e ɟ ɔ l ɔ
98880	115033	johanssonsoundsymbolic-Katcha	katc1249		come	1446	COME		t̪ido	t̪ i d o
127101	143256	johanssonsoundsymbolic-Katcha	katc1249		die	1494	DIE		eji	e j i
135653	151808	johanssonsoundsymbolic-Katcha	katc1249		dog	2009	DOG		t̪era	t̪ e r a
142120	158275	johanssonsoundsymbolic-Katcha	katc1249		drink	1401	DRINK		ɔɛ	ɔ ɛ
145758	161913	johanssonsoundsymbolic-Katcha	katc1249		dry	1398	DRY		arumɛ	a r u m ɛ
151196	167351	johanssonsoundsymbolic-Katcha	katc1249		ear	1247	EAR		nɛzɔ	n ɛ z ɔ
154117	170272	johanssonsoundsymbolic-Katcha	katc1249		earthsoil	1228	EARTH (SOIL)		butulu	b u t u l u
156719	172874	johanssonsoundsymbolic-Katcha	katc1249		eat	1336	EAT		agwu	a g w u
159030	175188	johanssonsoundsymbolic-Katcha	katc1249		egg	744	EGG		tunzulɛ	t u n z u l ɛ
169600	185758	johanssonsoundsymbolic-Katcha	katc1249		eye	1248	EYE		ɔe	ɔ e
182085	198245	johanssonsoundsymbolic-Katcha	katc1249		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ɔba	ɔ b a
184925	201085	johanssonsoundsymbolic-Katcha	katc1249		feather	1201	FEATHER		ndando	n d a n d o
192879	225532	johanssonsoundsymbolic-Katcha	katc1249		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		nd̪anasa	n d̪ a n a s a
196198	228851	johanssonsoundsymbolic-Katcha	katc1249		foot	1301	FOOT		ɔwa	ɔ w a
209297	241950	johanssonsoundsymbolic-Katcha	katc1249		full	1429	FULL		ad̪iginɛ	a d̪ i g i n ɛ
214629	247282	johanssonsoundsymbolic-Katcha	katc1249		give	1447	GIVE		naŋa	n a ŋ a
220756	253412	johanssonsoundsymbolic-Katcha	katc1249		good	1035	GOOD		adela	a d e l a
228551	261207	johanssonsoundsymbolic-Katcha	katc1249		green	1425	GREEN		ageri	a g e r i
234560	267216	johanssonsoundsymbolic-Katcha	katc1249		hair	1040	HAIR		au	a u
238399	271055	johanssonsoundsymbolic-Katcha	katc1249		hand	1277	HAND		nizo	n i z o
243954	276611	johanssonsoundsymbolic-Katcha	katc1249		head	1256	HEAD		od̪u	o d̪ u
246896	279553	johanssonsoundsymbolic-Katcha	katc1249		hear	1408	HEAR		funjɔ	f u n j ɔ
248482	281139	johanssonsoundsymbolic-Katcha	katc1249		heart	1223	HEART		t̪onogo	t̪ o n o g o
263362	296022	johanssonsoundsymbolic-Katcha	katc1249		hornanatomy	1393	HORN (ANATOMY)		t̪inid̪o	t̪ i n i d̪ o
274706	307366	johanssonsoundsymbolic-Katcha	katc1249		i	1209	I		aa	aː
287550	320210	johanssonsoundsymbolic-Katcha	katc1249		kill	1417	KILL		id̪a	i d̪ a
290228	322888	johanssonsoundsymbolic-Katcha	katc1249		knee	1371	KNEE		kugɛ	k u g ɛ
302187	334847	johanssonsoundsymbolic-Katcha	katc1249		leaf	628	LEAF		ndarɔ	n d a r ɔ
316951	349611	johanssonsoundsymbolic-Katcha	katc1249		liver	1224	LIVER		t̪onoŋɛ	t̪ o n o ŋ ɛ
319848	352508	johanssonsoundsymbolic-Katcha	katc1249		long	1203	LONG		atɔŋgɔrɔ	a t ɔ ŋ g ɔ r ɔ
323493	356153	johanssonsoundsymbolic-Katcha	katc1249		louse	1392	LOUSE		liŋɛ	l i ŋ ɛ
330461	363122	johanssonsoundsymbolic-Katcha	katc1249		man	1554	MAN		omudi	o m u d i
332284	364945	johanssonsoundsymbolic-Katcha	katc1249		many	1198	MANY		adagbo	a d a g b o
344453	377114	johanssonsoundsymbolic-Katcha	katc1249		moon	1313	MOON		t̪ɛrɛ	t̪ ɛ r ɛ
350927	383591	johanssonsoundsymbolic-Katcha	katc1249		mountain	639	MOUNTAIN		nja	n j a
353439	386103	johanssonsoundsymbolic-Katcha	katc1249		mouth	674	MOUTH		nino	n i n o
358457	391121	johanssonsoundsymbolic-Katcha	katc1249		name	1405	NAME		ɛrɛ	ɛ r ɛ
364745	397412	johanssonsoundsymbolic-Katcha	katc1249		neck	1333	NECK		aji	a j i
