	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
490	16641	hubercolumbian-Kakua	cacu1241		at	1461	AT		bãʔ⁴	b ã ʔ
491	16642	hubercolumbian-Kakua	cacu1241		at	1461	AT		diʔ⁴	d i ʔ
499	16650	hubercolumbian-Nukak	nuka1242		at	1461	AT		liʔ¹	l i ʔ
2184	18335	hubercolumbian-Kakua	cacu1241		axe	677	AXE		ʧãc⁴ daʔ⁴	tʃ ã c + d a ʔ
2190	18341	hubercolumbian-Nukak	nuka1242		axe	677	AXE		ʔɛʔ⁴niʔ⁴	ʔ ɛ ʔ n i ʔ
2789	18940	hubercolumbian-Kakua	cacu1241		baby	1289	BABY		webit¹	w e b i t
2796	18947	hubercolumbian-Nukak	nuka1242		baby	1289	BABY		wɛʔ⁴	w ɛ ʔ
3819	19970	hubercolumbian-Kakua	cacu1241		back	1291	BACK		tãʔ²	t ã ʔ
3825	19976	hubercolumbian-Nukak	nuka1242		back	1291	BACK		kolibaʔ⁴	k o l i b a ʔ
4922	21073	hubercolumbian-Kakua	cacu1241		bad	1292	BAD		ti̵i²kãd⁴dĩ⁴	t ɨ i k ã d d ĩ
4923	21074	hubercolumbian-Kakua	cacu1241		bad	1292	BAD		jch²	j c h
4930	21081	hubercolumbian-Nukak	nuka1242		bad	1292	BAD		jee³	j eː
8476	24627	hubercolumbian-Kakua	cacu1241		banisterium	276	BANISTERIUM		kapi⁴	k a p i
8769	24920	hubercolumbian-Kakua	cacu1241		bark	1204	BARK		bã² ʧo²	b ã + tʃ o
8776	24927	hubercolumbian-Nukak	nuka1242		bark	1204	BARK		ti̵⁴naʔ⁴ ni̵i³	t ɨ n a ʔ + n ɨ i
10507	26658	hubercolumbian-Kakua	cacu1241		bat	1793	BAT		dĩ̵wʔ⁴	d ɨ̃ w ʔ
10513	26664	hubercolumbian-Nukak	nuka1242		bat	1793	BAT		nĩ̵ũʔ⁴	n ɨ̃ ũ ʔ
12905	29056	hubercolumbian-Kakua	cacu1241		bealive	1422	BE ALIVE		badʔ²dĩ⁴	b a d ʔ d ĩ
12913	29064	hubercolumbian-Nukak	nuka1242		bealive	1422	BE ALIVE		haa³	h aː
15117	31268	hubercolumbian-Kakua	cacu1241		beard	678	BEARD		hak⁴ jok³	h a k + j o k
15123	31274	hubercolumbian-Nukak	nuka1242		beard	678	BEARD		mãũ²pa⁴ ʧẽĩ³	m ã ũ p a + tʃ ẽ ĩ
17148	33299	hubercolumbian-Kakua	cacu1241		bed	1663	BED		kajaʔ²	k a j a ʔ
