	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8769	24920	hubercolumbian-Kakua	cacu1241		bark	1204	BARK		bã² ʧo²	b ã + tʃ o
8776	24927	hubercolumbian-Nukak	nuka1242		bark	1204	BARK		ti̵⁴naʔ⁴ ni̵i³	t ɨ n a ʔ + n ɨ i
22758	38909	hubercolumbian-Kakua	cacu1241		belly	1251	BELLY		jab⁴ waw³	j a b + w a w
22759	38910	hubercolumbian-Kakua	cacu1241		belly	1251	BELLY		jab⁴ waw³	j a b + w a w
22771	38922	hubercolumbian-Nukak	nuka1242		belly	1251	BELLY		ʧi̵ka⁴	tʃ ɨ k a
22772	38923	hubercolumbian-Nukak	nuka1242		belly	1251	BELLY		ʧi̵ka⁴	tʃ ɨ k a
27834	43985	hubercolumbian-Kakua	cacu1241		big	1202	BIG		bi̵di¹	b ɨ d i
27835	43986	hubercolumbian-Kakua	cacu1241		big	1202	BIG		daʔwa⁴dĩ⁴	d a ʔ w a d ĩ
27843	43994	hubercolumbian-Nukak	nuka1242		big	1202	BIG		niʔ⁴	n i ʔ
30228	46379	hubercolumbian-Kakua	cacu1241		bird	937	BIRD		ɸebeʔ²	ɸ e b e ʔ
30234	46385	hubercolumbian-Nukak	nuka1242		bird	937	BIRD		ni̵¹ji̵putu⁴	n ɨ j ɨ p u t u
32586	48737	hubercolumbian-Kakua	cacu1241		bite	1403	BITE		ʧãk³	tʃ ã k
32592	48743	hubercolumbian-Nukak	nuka1242		bite	1403	BITE		ʧããk²	tʃ ã ã k
35190	51341	hubercolumbian-Kakua	cacu1241		black	163	BLACK		ʔej⁴dĩ⁴	ʔ e j d ĩ
35197	51348	hubercolumbian-Nukak	nuka1242		black	163	BLACK		hɛ̃lẽ⁴	h ɛ̃ l ẽ
38602	54753	hubercolumbian-Kakua	cacu1241		blood	946	BLOOD		bẽp³	b ẽ p
38608	54759	hubercolumbian-Nukak	nuka1242		blood	946	BLOOD		mɛʔɛp²	m ɛ ʔ ɛ p
46832	62983	hubercolumbian-Kakua	cacu1241		bone	1394	BONE		ʔidip³ dãʔ⁴	ʔ i d i p + d ã ʔ
46839	62990	hubercolumbian-Nukak	nuka1242		bone	1394	BONE		mik¹wɛ̃p⁴at¹	m i k w ɛ̃ p a t
56923	73076	hubercolumbian-Kakua	cacu1241		breast	1402	BREAST		hõʔ³ daʔ⁴	h õ ʔ + d a ʔ
56929	73082	hubercolumbian-Nukak	nuka1242		breast	1402	BREAST		hõõ³	h õ õ
64382	80535	hubercolumbian-Kakua	cacu1241		burn	2102	BURN		ʔig³	ʔ i g
64393	80546	hubercolumbian-Nukak	nuka1242		burn	2102	BURN		pãũʔ³	p ã ũ ʔ
91538	107691	hubercolumbian-Kakua	cacu1241		cloud	1489	CLOUD		bab³at⁴ toliʔ²dã⁴	b a b a t + t o l i ʔ d ã
91545	107698	hubercolumbian-Nukak	nuka1242		cloud	1489	CLOUD		hei²	h e i
95103	111256	hubercolumbian-Kakua	cacu1241		cold	1287	COLD		wiw⁴	w i w
95111	111264	hubercolumbian-Nukak	nuka1242		cold	1287	COLD		hiit²	h iː t
98774	114927	hubercolumbian-Kakua	cacu1241		come	1446	COME		hãwʔ³	h ã w ʔ
98780	114933	hubercolumbian-Nukak	nuka1242		come	1446	COME		hãuʔ²	h ã u ʔ
