	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8108	24259	transnewguineaorg-kamula	kamu1260		banana	868	BANANA		tumʌ	t u m ʌ
8184	24335	transnewguineaorg-pare	pare1271		banana	868	BANANA		ɔwe	ɔ w e
9352	25503	transnewguineaorg-kamula	kamu1260		bark	1204	BARK		kʌbʌlʌ	k ʌ b ʌ l ʌ
9353	25504	transnewguineaorg-kamula	kamu1260		bark	1204	BARK		kapala	k a p a l a
9380	25531	transnewguineaorg-pare	pare1271		bark	1204	BARK		i̧siya	i s i j a
9381	25532	transnewguineaorg-pare	pare1271		bark	1204	BARK		ĩ_sia	ĩ + s i a
23633	39784	transnewguineaorg-kamula	kamu1260		belly	1251	BELLY		kukɔ	k u k ɔ
23634	39785	transnewguineaorg-kamula	kamu1260		belly	1251	BELLY		kɔkɔ	k ɔ k ɔ
23716	39867	transnewguineaorg-pare	pare1271		belly	1251	BELLY		napo	n a p o
23717	39868	transnewguineaorg-pare	pare1271		belly	1251	BELLY		napɔ	n a p ɔ
28825	44976	transnewguineaorg-kamula	kamu1260		big	1202	BIG		pʌtɔ	p ʌ t ɔ
28826	44977	transnewguineaorg-kamula	kamu1260		big	1202	BIG		pato	p a t o
28922	45073	transnewguineaorg-pare	pare1271		big	1202	BIG		hiti	h i t i
28923	45074	transnewguineaorg-pare	pare1271		big	1202	BIG		hiti	h i t i
31167	47318	transnewguineaorg-kamula	kamu1260		bird	937	BIRD		tea	t e a
31168	47319	transnewguineaorg-kamula	kamu1260		bird	937	BIRD		tea	t e a
31272	47423	transnewguineaorg-pare	pare1271		bird	937	BIRD		tiye	t i j e
31273	47424	transnewguineaorg-pare	pare1271		bird	937	BIRD		tie	t i e
33291	49442	transnewguineaorg-kamula	kamu1260		bite	1403	BITE		yeřɛma	j e r̝ ɛ m a
33292	49443	transnewguineaorg-kamula	kamu1260		bite	1403	BITE		yɛřɛma	j ɛ r̝ ɛ m a
33381	49532	transnewguineaorg-pare	pare1271		bite	1403	BITE		ten-a	t e n + a
33382	49533	transnewguineaorg-pare	pare1271		bite	1403	BITE		tena	t e n a
39536	55687	transnewguineaorg-kamula	kamu1260		blood	946	BLOOD		umʌ:li	u m ʌː l i
39537	55688	transnewguineaorg-kamula	kamu1260		blood	946	BLOOD		umali	u m a l i
39633	55784	transnewguineaorg-pare	pare1271		blood	946	BLOOD		sowo	s o w o
39634	55785	transnewguineaorg-pare	pare1271		blood	946	BLOOD		sɔwɔ	s ɔ w ɔ
47764	63915	transnewguineaorg-kamula	kamu1260		bone	1394	BONE		ɛľu	ɛ ʎ u
47765	63916	transnewguineaorg-kamula	kamu1260		bone	1394	BONE		ɛro	ɛ r o
47872	64023	transnewguineaorg-pare	pare1271		bone	1394	BONE		ko	k o
47873	64024	transnewguineaorg-pare	pare1271		bone	1394	BONE		kɔ	k ɔ
47874	64025	transnewguineaorg-pare	pare1271		bone	1394	BONE		kɔ	k ɔ
57815	73968	transnewguineaorg-kamula	kamu1260		breast	1402	BREAST		mɛmɛ	m ɛ m ɛ
57816	73969	transnewguineaorg-kamula	kamu1260		breast	1402	BREAST		mɛmɛ	m ɛ m ɛ
57924	74077	transnewguineaorg-pare	pare1271		breast	1402	BREAST		bu	b u
57925	74078	transnewguineaorg-pare	pare1271		breast	1402	BREAST		bu	b u
57926	74079	transnewguineaorg-pare	pare1271		breast	1402	BREAST		bu	b u
64895	81048	transnewguineaorg-kamula	kamu1260		burn	2102	BURN		uľuľuma	u ʎ u ʎ u m a
64896	81049	transnewguineaorg-kamula	kamu1260		burn	2102	BURN		ɛnɛ	ɛ n ɛ
64897	81050	transnewguineaorg-kamula	kamu1260		burn	2102	BURN		uřuřuma	u r̝ u r̝ u m a
64977	81130	transnewguineaorg-pare	pare1271		burn	2102	BURN		ne_dim-enu	n e + d i m + e n u
64978	81131	transnewguineaorg-pare	pare1271		burn	2102	BURN		ne_dimenu	n e + d i m e n u
64979	81132	transnewguineaorg-pare	pare1271		burn	2102	BURN		di	d i
68045	84198	transnewguineaorg-pare	pare1271		buttocks	834	BUTTOCKS		pɔko	p ɔ k o
74617	90770	transnewguineaorg-kamula	kamu1260		cassowary	466	CASSOWARY		wʌtʌlʌ	w ʌ t ʌ l ʌ
74687	90840	transnewguineaorg-pare	pare1271		cassowary	466	CASSOWARY		ɔba	ɔ b a
87220	103373	transnewguineaorg-kamula	kamu1260		claw	72	CLAW		tukasi	t u k a s i
87221	103374	transnewguineaorg-kamula	kamu1260		claw	72	CLAW		kakrɛ	k a k r ɛ
87222	103375	transnewguineaorg-kamula	kamu1260		claw	72	CLAW		tukasi	t u k a s i
87248	103401	transnewguineaorg-pare	pare1271		claw	72	CLAW		dage	d a g e
87249	103402	transnewguineaorg-pare	pare1271		claw	72	CLAW		dage	d a g e
92255	108408	transnewguineaorg-kamula	kamu1260		cloud	1489	CLOUD		uʌľʌ	u ʌ ʎ ʌ
92256	108409	transnewguineaorg-kamula	kamu1260		cloud	1489	CLOUD		uala	u a l a
92350	108503	transnewguineaorg-pare	pare1271		cloud	1489	CLOUD		uwe	u w e
92351	108504	transnewguineaorg-pare	pare1271		cloud	1489	CLOUD		uwe	u w e
96042	112195	transnewguineaorg-kamula	kamu1260		cold	1287	COLD		thɔmʌli	t h ɔ m ʌ l i
96043	112196	transnewguineaorg-kamula	kamu1260		cold	1287	COLD		atakala	a t a k a l a
96044	112197	transnewguineaorg-kamula	kamu1260		cold	1287	COLD		popoma	p o p o m a
96128	112281	transnewguineaorg-pare	pare1271		cold	1287	COLD		suwiga	s u w i g a
96129	112282	transnewguineaorg-pare	pare1271		cold	1287	COLD		suwiga	s u w i g a
99700	115853	transnewguineaorg-kamula	kamu1260		come	1446	COME		puma	p u m a
99701	115854	transnewguineaorg-kamula	kamu1260		come	1446	COME		puma	p u m a
99811	115964	transnewguineaorg-pare	pare1271		come	1446	COME		ha-dano	h a + d a n o
99812	115965	transnewguineaorg-pare	pare1271		come	1446	COME		hadanɔ	h a d a n ɔ
127888	144043	transnewguineaorg-kamula	kamu1260		die	1494	DIE		poma	p o m a
127968	144123	transnewguineaorg-pare	pare1271		die	1494	DIE		po	p o
136492	152647	transnewguineaorg-kamula	kamu1260		dog	2009	DOG		esemʌlʌ	e s e m ʌ l ʌ
136493	152648	transnewguineaorg-kamula	kamu1260		dog	2009	DOG		ɛsemala	ɛ s e m a l a
136603	152758	transnewguineaorg-pare	pare1271		dog	2009	DOG		ti	t i
136604	152759	transnewguineaorg-pare	pare1271		dog	2009	DOG		ti	t i
136605	152760	transnewguineaorg-pare	pare1271		dog	2009	DOG		til	t i l
142678	158833	transnewguineaorg-kamula	kamu1260		drink	1401	DRINK		yüdəma	j u d ə m a
142709	158864	transnewguineaorg-pare	pare1271		drink	1401	DRINK		de-nu	d e + n u
147198	163353	transnewguineaorg-kamula	kamu1260		dryup	1786	DRY UP		sekərɛma	s e k ə r ɛ m a
147285	163440	transnewguineaorg-pare	pare1271		dryup	1786	DRY UP		kiya-ga	k i j a + g a
152023	168178	transnewguineaorg-kamula	kamu1260		ear	1247	EAR		mɔlɔ	m ɔ l ɔ
152024	168179	transnewguineaorg-kamula	kamu1260		ear	1247	EAR		molo	m o l o
152128	168283	transnewguineaorg-pare	pare1271		ear	1247	EAR		mogo	m o g o
152129	168284	transnewguineaorg-pare	pare1271		ear	1247	EAR		mɔgɔ	m ɔ g ɔ
152130	168285	transnewguineaorg-pare	pare1271		ear	1247	EAR		mogamɛ	m o g a m ɛ
157387	173544	transnewguineaorg-kamula	kamu1260		eat	1336	EAT		tʌɛdɔma	t ʌ ɛ d ɔ m a
157388	173545	transnewguineaorg-kamula	kamu1260		eat	1336	EAT		dampřoma	d a m p r̝ o m a
157504	173661	transnewguineaorg-pare	pare1271		eat	1336	EAT		de-nu	d e + n u
157505	173662	transnewguineaorg-pare	pare1271		eat	1336	EAT		denu	d e n u
157506	173663	transnewguineaorg-pare	pare1271		eat	1336	EAT		da	d a
159834	175992	transnewguineaorg-kamula	kamu1260		egg	744	EGG		temɔkɔ	t e m ɔ k ɔ
159835	175993	transnewguineaorg-kamula	kamu1260		egg	744	EGG		temoko	t e m o k o
159934	176092	transnewguineaorg-pare	pare1271		egg	744	EGG		moʔo	m o ʔ o
159935	176093	transnewguineaorg-pare	pare1271		egg	744	EGG		mɔʔɔ	m ɔ ʔ ɔ
170432	186590	transnewguineaorg-kamula	kamu1260		eye	1248	EYE		inʌma	i n ʌ m a
170433	186591	transnewguineaorg-kamula	kamu1260		eye	1248	EYE		inoma	i n o m a
170547	186705	transnewguineaorg-pare	pare1271		eye	1248	EYE		kinemo	k i n e m o
170548	186706	transnewguineaorg-pare	pare1271		eye	1248	EYE		kinemɔ	k i n e m ɔ
170549	186707	transnewguineaorg-pare	pare1271		eye	1248	EYE		kere-mo	k e r e + m o
180387	196546	transnewguineaorg-kamula	kamu1260		father	1217	FATHER		ʔʌ	ʔ ʌ
180495	196654	transnewguineaorg-pare	pare1271		father	1217	FATHER		de	d e
182514	198674	transnewguineaorg-kamula	kamu1260		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ɔpi	ɔ p i
182515	198675	transnewguineaorg-kamula	kamu1260		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		obi	o b i
182595	198755	transnewguineaorg-pare	pare1271		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		saa	s aː
182596	198756	transnewguineaorg-pare	pare1271		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		sa:	s aː
185378	201538	transnewguineaorg-kamula	kamu1260		feather	1201	FEATHER		teakʌ	t e a k ʌ
185379	201539	transnewguineaorg-kamula	kamu1260		feather	1201	FEATHER		teaka	t e a k a
185380	201540	transnewguineaorg-kamula	kamu1260		feather	1201	FEATHER		kosopa	k o s o p a
185409	201569	transnewguineaorg-pare	pare1271		feather	1201	FEATHER		tige_ouse	t i g e + o u s e
185410	201570	transnewguineaorg-pare	pare1271		feather	1201	FEATHER		tige_ouse	t i g e + o u s e
193358	226011	transnewguineaorg-kamula	kamu1260		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		hɔřʌmtuma	h ɔ r̝ ʌ m t u m a
193359	226012	transnewguineaorg-kamula	kamu1260		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		horomsiřɛma	h o r o m s i r̝ ɛ m a
193420	226073	transnewguineaorg-pare	pare1271		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		ka-da	k a + d a
193421	226074	transnewguineaorg-pare	pare1271		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		kada	k a d a
197570	230223	transnewguineaorg-pare	pare1271		footorleg	2098	FOOT OR LEG		tamakere	t a m a k e r e
209799	242452	transnewguineaorg-kamula	kamu1260		full	1429	FULL		pɔsʌtʌni	p ɔ s ʌ t ʌ n i
209800	242453	transnewguineaorg-kamula	kamu1260		full	1429	FULL		pasatana	p a s a t a n a
209801	242454	transnewguineaorg-kamula	kamu1260		full	1429	FULL		bosatana	b o s a t a n a
209878	242531	transnewguineaorg-pare	pare1271		full	1429	FULL		towate	t o w a t e
209879	242532	transnewguineaorg-pare	pare1271		full	1429	FULL		tɔwate	t ɔ w a t e
209880	242533	transnewguineaorg-pare	pare1271		full	1429	FULL		kokobo	k o k o b o
215431	248084	transnewguineaorg-kamula	kamu1260		give	1447	GIVE		hʌmima	h ʌ m i m a
215432	248085	transnewguineaorg-kamula	kamu1260		give	1447	GIVE		hamima	h a m i m a
215530	248183	transnewguineaorg-pare	pare1271		give	1447	GIVE		de-nu	d e + n u
215531	248184	transnewguineaorg-pare	pare1271		give	1447	GIVE		denu	d e n u
221597	254253	transnewguineaorg-kamula	kamu1260		good	1035	GOOD		tegedřɛ	t e g e d r̝ ɛ
221598	254254	transnewguineaorg-kamula	kamu1260		good	1035	GOOD		tɛgɛdřɛ	t ɛ g ɛ d r̝ ɛ
221697	254353	transnewguineaorg-pare	pare1271		good	1035	GOOD		ediya-ge	e d i j a + g e
221698	254354	transnewguineaorg-pare	pare1271		good	1035	GOOD		ediage	e d i a g e
229096	261752	transnewguineaorg-kamula	kamu1260		green	1425	GREEN		tʌlipusukʌlo	t ʌ l i p u s u k ʌ l o
229097	261753	transnewguineaorg-kamula	kamu1260		green	1425	GREEN		_pasakalo	p a s a k a l o
229161	261817	transnewguineaorg-pare	pare1271		green	1425	GREEN		moma-gane	m o m a + g a n e
229162	261818	transnewguineaorg-pare	pare1271		green	1425	GREEN		mɔmagane	m ɔ m a g a n e
230534	263190	transnewguineaorg-kamula	kamu1260		ground	2159	GROUND		tɛľʌ	t ɛ ʎ ʌ
230535	263191	transnewguineaorg-kamula	kamu1260		ground	2159	GROUND		tæna	t æ n a
230591	263247	transnewguineaorg-pare	pare1271		ground	2159	GROUND		to	t o
230592	263248	transnewguineaorg-pare	pare1271		ground	2159	GROUND		tɔ	t ɔ
235553	268209	transnewguineaorg-kamula	kamu1260		hairbody	189	HAIR (BODY)		kɔkɔsʌse	k ɔ k ɔ s ʌ s e
