	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3994	20145	johanssonsoundsymbolic-Tima	tima1241		back	1291	BACK		kidii	k i d iː
5114	21265	johanssonsoundsymbolic-Tima	tima1241		bad	1292	BAD		rɔʔɔr	r ɔ ʔ ɔ r
13088	29239	johanssonsoundsymbolic-Tima	tima1241		bealive	1422	BE ALIVE		bajʊk	b a j ʊ k
16381	32532	johanssonsoundsymbolic-Tima	tima1241		because	1157	BECAUSE		ŋkɔɔnɔ	ŋ k ɔː n ɔ
22993	39144	johanssonsoundsymbolic-Tima	tima1241		belly	1251	BELLY		kuɽuun	k u ɽ uː n
28038	44189	johanssonsoundsymbolic-Tima	tima1241		big	1202	BIG		kɔlɔŋ	k ɔ l ɔ ŋ
32770	48921	johanssonsoundsymbolic-Tima	tima1241		bite	1403	BITE		aləm	a l ə m
35385	51536	johanssonsoundsymbolic-Tima	tima1241		black	163	BLACK		t̪un	t̪ u n
38798	54949	johanssonsoundsymbolic-Tima	tima1241		blood	946	BLOOD		iduu	i d uː
41003	57154	johanssonsoundsymbolic-Tima	tima1241		blowofwind	175	BLOW (OF WIND)		puli	p u l i
43175	59326	johanssonsoundsymbolic-Tima	tima1241		blunt	379	BLUNT		t̪ukur	t̪ u k u r
47017	63168	johanssonsoundsymbolic-Tima	tima1241		bone	1394	BONE		kuh	k u h
91708	107861	johanssonsoundsymbolic-Tima	tima1241		cloud	1489	CLOUD		kuuɽu	k uː ɽ u
98962	115115	johanssonsoundsymbolic-Tima	tima1241		come	1446	COME		dijʌŋ	d i j ʌ ŋ
104977	121130	johanssonsoundsymbolic-Tima	tima1241		correctright	1725	CORRECT (RIGHT)		cɔr	c ɔ r
121901	138056	johanssonsoundsymbolic-Tima	tima1241		daynotnight	1225	DAY (NOT NIGHT)		kahaada	k a h aː d a
127185	143340	johanssonsoundsymbolic-Tima	tima1241		die	1494	DIE		kəbaɟʊk	k ə b a ɟ ʊ k
131814	147969	johanssonsoundsymbolic-Tima	tima1241		dirty	1230	DIRTY		t̪un	t̪ u n
135734	151889	johanssonsoundsymbolic-Tima	tima1241		dog	2009	DOG		kuu	k uː
142202	158357	johanssonsoundsymbolic-Tima	tima1241		drink	1401	DRINK		mɔɔk	m ɔː k
145836	161991	johanssonsoundsymbolic-Tima	tima1241		dry	1398	DRY		hɔna	h ɔ n a
148811	164966	johanssonsoundsymbolic-Tima	tima1241		dust	2	DUST		kuruk	k u r u k
151278	167433	johanssonsoundsymbolic-Tima	tima1241		ear	1247	EAR		kwɔnɔ	k w ɔ n ɔ
154197	170352	johanssonsoundsymbolic-Tima	tima1241		earthsoil	1228	EARTH (SOIL)		ihi	i h i
156803	172958	johanssonsoundsymbolic-Tima	tima1241		eat	1336	EAT		najimah	n a j i m a h
169683	185841	johanssonsoundsymbolic-Tima	tima1241		eye	1248	EYE		cii	c iː
173687	189846	johanssonsoundsymbolic-Tima	tima1241		fall	1280	FALL		hiɲi	h i ɲ i
175954	192113	johanssonsoundsymbolic-Tima	tima1241		far	1406	FAR		hara	h a r a
182153	198313	johanssonsoundsymbolic-Tima	tima1241		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		kilih	k i l i h
185000	201160	johanssonsoundsymbolic-Tima	tima1241		feather	1201	FEATHER		bʊlɓa	b ʊ l ɓ a
190028	222681	johanssonsoundsymbolic-Tima	tima1241		flower	239	FLOWER		kədəlɛ	k ə d ə l ɛ
192946	225599	johanssonsoundsymbolic-Tima	tima1241		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		kədada	k ə d a d a
196279	228932	johanssonsoundsymbolic-Tima	tima1241		foot	1301	FOOT		kidii	k i d iː
202610	235263	johanssonsoundsymbolic-Tima	tima1241		four	1500	FOUR		ihaləm	i h a l ə m
214711	247364	johanssonsoundsymbolic-Tima	tima1241		give	1447	GIVE		nʌmehene	n ʌ m e h e n e
220840	253496	johanssonsoundsymbolic-Tima	tima1241		good	1035	GOOD		mal	m a l
228620	261276	johanssonsoundsymbolic-Tima	tima1241		green	1425	GREEN		ahɛh_t̪urt̪ur	a h ɛ h + t̪ u r t̪ u r
234640	267296	johanssonsoundsymbolic-Tima	tima1241		hair	1040	HAIR		kaam	k aː m
238483	271139	johanssonsoundsymbolic-Tima	tima1241		hand	1277	HAND		kɨdʌwun	k ɨ d ʌ w u n
244039	276696	johanssonsoundsymbolic-Tima	tima1241		head	1256	HEAD		kah	k a h
248563	281220	johanssonsoundsymbolic-Tima	tima1241		heart	1223	HEART		kɔdɔjon	k ɔ d ɔ j o n
250727	283384	johanssonsoundsymbolic-Tima	tima1241		heavy	1210	HEAVY		dil	d i l
254554	287213	johanssonsoundsymbolic-Tima	tima1241		here	136	HERE		nʌŋ	n ʌ ŋ
258815	291475	johanssonsoundsymbolic-Tima	tima1241		hit	1433	HIT		dʌk	d ʌ k
268937	301597	johanssonsoundsymbolic-Tima	tima1241		how	1239	HOW		daamɛ	d aː m ɛ
274789	307449	johanssonsoundsymbolic-Tima	tima1241		i	1209	I		kɨdʌ	k ɨ d ʌ
278114	310774	johanssonsoundsymbolic-Tima	tima1241		in	1460	IN		luh	l u h
287629	320289	johanssonsoundsymbolic-Tima	tima1241		kill	1417	KILL		t̪omo	t̪ o m o
299107	331767	johanssonsoundsymbolic-Tima	tima1241		laugh	1355	LAUGH		dijana	d i j a n a
302262	334922	johanssonsoundsymbolic-Tima	tima1241		leaf	628	LEAF		kat̪ah	k a t̪ a h
317029	349689	johanssonsoundsymbolic-Tima	tima1241		liver	1224	LIVER		kɨmʌɲuk	k ɨ m ʌ ɲ u k
319924	352584	johanssonsoundsymbolic-Tima	tima1241		long	1203	LONG		duŋ	d u ŋ
323567	356227	johanssonsoundsymbolic-Tima	tima1241		louse	1392	LOUSE		kalkambal	k a l k a m b a l
332364	365025	johanssonsoundsymbolic-Tima	tima1241		many	1198	MANY		hawʊk	h a w ʊ k
351002	383666	johanssonsoundsymbolic-Tima	tima1241		mountain	639	MOUNTAIN		kwaləŋ	k w a l ə ŋ
353520	386184	johanssonsoundsymbolic-Tima	tima1241		mouth	674	MOUTH		kiŋɛ	k i ŋ ɛ
358538	391202	johanssonsoundsymbolic-Tima	tima1241		name	1405	NAME		kʌhu	k ʌ h u
360422	393088	johanssonsoundsymbolic-Tima	tima1241		narrow	1267	NARROW		raʔarn	r a ʔ a r n
363078	395744	johanssonsoundsymbolic-Tima	tima1241		near	1942	NEAR		mɛt̪ɛn	m ɛ t̪ ɛ n
364822	397489	johanssonsoundsymbolic-Tima	tima1241		neck	1333	NECK		kwʌmʌŋ	k w ʌ m ʌ ŋ
368875	401542	johanssonsoundsymbolic-Tima	tima1241		new	1231	NEW		jaada	j aː d a
371662	404329	johanssonsoundsymbolic-Tima	tima1241		night	1233	NIGHT		kahŋa	k a h ŋ a
377480	410147	johanssonsoundsymbolic-Tima	tima1241		nose	1221	NOSE		kɨmʌmii	k ɨ m ʌ m iː
389779	422446	johanssonsoundsymbolic-Tima	tima1241		one	1493	ONE		at̪iin	a t̪ iː n
393786	426453	johanssonsoundsymbolic-Tima	tima1241		other	197	OTHER		t̪iini	t̪ iː n i
406284	438951	johanssonsoundsymbolic-Tima	tima1241		person	683	PERSON		kan_bajʊk	k a n + b a j ʊ k
432563	465231	johanssonsoundsymbolic-Tima	tima1241		red	156	RED		rdi	r d i
440816	473484	johanssonsoundsymbolic-Tima	tima1241		river	666	RIVER		lawʊ	l a w ʊ
444498	477167	johanssonsoundsymbolic-Tima	tima1241		root	670	ROOT		kuhulum	k u h u l u m
446400	479069	johanssonsoundsymbolic-Tima	tima1241		rope	1218	ROPE		kwʌʌ	k w ʌː
448042	480711	johanssonsoundsymbolic-Tima	tima1241		rotten	1728	ROTTEN		mʌmu	m ʌ m u
456461	489130	johanssonsoundsymbolic-Tima	tima1241		sand	671	SAND		ɟɔɟa	ɟ ɔ ɟ a
459428	492097	johanssonsoundsymbolic-Tima	tima1241		say	1458	SAY		dah	d a h
475026	507697	johanssonsoundsymbolic-Tima	tima1241		sharp	1396	SHARP		hikɛr	h i k ɛ r
481637	514309	johanssonsoundsymbolic-Tima	tima1241		short	1645	SHORT		t̪i	t̪ i
490621	523293	johanssonsoundsymbolic-Tima	tima1241		sit	1416	SIT		hʊdɔnɔ	h ʊ d ɔ n ɔ
497181	529853	johanssonsoundsymbolic-Tima	tima1241		sky	1732	SKY		kwaaɽək	k w aː ɽ ə k
502958	535632	johanssonsoundsymbolic-Tima	tima1241		small	1246	SMALL		t̪ɛʔɛŋ	t̪ ɛ ʔ ɛ ŋ
507275	539951	johanssonsoundsymbolic-Tima	tima1241		smokeexhaust	778	SMOKE (EXHAUST)		kuɽuun	k u ɽ uː n
508724	541400	johanssonsoundsymbolic-Tima	tima1241		smooth	1234	SMOOTH		diʔil	d i ʔ i l
524261	556937	johanssonsoundsymbolic-Tima	tima1241		spit	1440	SPIT		hii	h iː
530156	562832	johanssonsoundsymbolic-Tima	tima1241		stand	1442	STAND		dɔɔ	d ɔː
532413	565089	johanssonsoundsymbolic-Tima	tima1241		star	1430	STAR		kɨmʌnɨmʌn	k ɨ m ʌ n ɨ m ʌ n
546341	579018	johanssonsoundsymbolic-Tima	tima1241		suck	1421	SUCK		ajak	a j a k
548345	581022	johanssonsoundsymbolic-Tima	tima1241		sun	1343	SUN		kinee	k i n eː
557828	590505	johanssonsoundsymbolic-Tima	tima1241		tail	1220	TAIL		kədərɛ	k ə d ə r ɛ
567215	599894	johanssonsoundsymbolic-Tima	tima1241		that	78	THAT		cijaa	c i j aː
569283	601962	johanssonsoundsymbolic-Tima	tima1241		there	1937	THERE		jaanʊŋ	j aː n ʊ ŋ
570767	603446	johanssonsoundsymbolic-Tima	tima1241		they	817	THEY		ihinʌ	i h i n ʌ
572171	604850	johanssonsoundsymbolic-Tima	tima1241		thick	1244	THICK		ɽut̪uk	ɽ u t̪ u k
573579	606258	johanssonsoundsymbolic-Tima	tima1241		thin	2308	THIN		cɛcɛha	c ɛ c ɛ h a
575004	607683	johanssonsoundsymbolic-Tima	tima1241		think	2271	THINK		dindiŋ	d i n d i ŋ
578302	610982	johanssonsoundsymbolic-Tima	tima1241		this	1214	THIS		cinʌ	c i n ʌ
580501	613184	johanssonsoundsymbolic-Tima	tima1241		thou	1215	THOU		ŋaaŋ	ŋ aː ŋ
583275	615960	johanssonsoundsymbolic-Tima	tima1241		three	492	THREE		ihwaaj	i hʷ aː j
589298	621985	johanssonsoundsymbolic-Tima	tima1241		tie	1917	TIE		dit̪ʌk	d i t̪ ʌ k
596395	629082	johanssonsoundsymbolic-Tima	tima1241		tongue	1205	TONGUE		kiliŋii	k i l i ŋ iː
598574	631261	johanssonsoundsymbolic-Tima	tima1241		tooth	1380	TOOTH		cilɛj	c i l ɛ j
611485	644172	johanssonsoundsymbolic-Tima	tima1241		two	1498	TWO		ihiik	i h iː k
621356	654044	johanssonsoundsymbolic-Tima	tima1241		vomit	1278	VOMIT		kuhuwʌ	k u h u w ʌ
624976	677637	johanssonsoundsymbolic-Tima	tima1241		where	1237	WHERE		nimɛɛ	n i m ɛː
627333	679994	johanssonsoundsymbolic-Tima	tima1241		white	1335	WHITE		t̪ɨk	t̪ ɨ k
