	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8115	24266	transnewguineaorg-kaure	kaur1271		banana	868	BANANA		təpe	t ə p e
11141	27292	transnewguineaorg-kaure	kaur1271		bathe	138	BATHE		bikulɛ	b i k u l ɛ
23641	39792	transnewguineaorg-kaure	kaur1271		belly	1251	BELLY		koai	k o a i
28833	44984	transnewguineaorg-kaure	kaur1271		big	1202	BIG		numogoa	n u m o g o a
28834	44985	transnewguineaorg-kaure	kaur1271		big	1202	BIG		simbua	s i m b u a
31175	47326	transnewguineaorg-kaure	kaur1271		bird	937	BIRD		hou	h o u
31176	47327	transnewguineaorg-kaure	kaur1271		bird	937	BIRD		ku	k u
31177	47328	transnewguineaorg-kaure	kaur1271		bird	937	BIRD		hu	h u
33299	49450	transnewguineaorg-kaure	kaur1271		bite	1403	BITE		kaptɾe	k a p t ɾ e
39545	55696	transnewguineaorg-kaure	kaur1271		blood	946	BLOOD		katesa	k a t e s a
39546	55697	transnewguineaorg-kaure	kaur1271		blood	946	BLOOD		katsa	k a ts a
39547	55698	transnewguineaorg-kaure	kaur1271		blood	946	BLOOD		hi	h i
41388	57539	transnewguineaorg-kaure	kaur1271		blowofwind	175	BLOW (OF WIND)		kasɾung	k a s ɾ u n g
47773	63924	transnewguineaorg-kaure	kaur1271		bone	1394	BONE		era	e r a
47774	63925	transnewguineaorg-kaure	kaur1271		bone	1394	BONE		loa	l o a
47775	63926	transnewguineaorg-kaure	kaur1271		bone	1394	BONE		laq	l a q
54246	70398	transnewguineaorg-kaure	kaur1271		branch	1531	BRANCH		we	w e
57823	73976	transnewguineaorg-kaure	kaur1271		breast	1402	BREAST		mu	m u
57824	73977	transnewguineaorg-kaure	kaur1271		breast	1402	BREAST		muq	m u q
59445	75598	transnewguineaorg-kaure	kaur1271		breathe	1407	BREATHE		kaxnɛ	k a x n ɛ
64905	81058	transnewguineaorg-kaure	kaur1271		burn	2102	BURN		sai	s a i
