	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
23641	39792	transnewguineaorg-kaure	kaur1271		belly	1251	BELLY		koai	k o a i
28833	44984	transnewguineaorg-kaure	kaur1271		big	1202	BIG		numogoa	n u m o g o a
28834	44985	transnewguineaorg-kaure	kaur1271		big	1202	BIG		simbua	s i m b u a
31175	47326	transnewguineaorg-kaure	kaur1271		bird	937	BIRD		hou	h o u
31176	47327	transnewguineaorg-kaure	kaur1271		bird	937	BIRD		ku	k u
31177	47328	transnewguineaorg-kaure	kaur1271		bird	937	BIRD		hu	h u
33299	49450	transnewguineaorg-kaure	kaur1271		bite	1403	BITE		kaptɾe	k a p t ɾ e
39545	55696	transnewguineaorg-kaure	kaur1271		blood	946	BLOOD		katesa	k a t e s a
39546	55697	transnewguineaorg-kaure	kaur1271		blood	946	BLOOD		katsa	k a ts a
39547	55698	transnewguineaorg-kaure	kaur1271		blood	946	BLOOD		hi	h i
47773	63924	transnewguineaorg-kaure	kaur1271		bone	1394	BONE		era	e r a
47774	63925	transnewguineaorg-kaure	kaur1271		bone	1394	BONE		loa	l o a
47775	63926	transnewguineaorg-kaure	kaur1271		bone	1394	BONE		laq	l a q
57823	73976	transnewguineaorg-kaure	kaur1271		breast	1402	BREAST		mu	m u
57824	73977	transnewguineaorg-kaure	kaur1271		breast	1402	BREAST		muq	m u q
64905	81058	transnewguineaorg-kaure	kaur1271		burn	2102	BURN		sai	s a i
92263	108416	transnewguineaorg-kaure	kaur1271		cloud	1489	CLOUD		kete	k e t e
92264	108417	transnewguineaorg-kaure	kaur1271		cloud	1489	CLOUD		kɛtɛ	k ɛ t ɛ
96051	112204	transnewguineaorg-kaure	kaur1271		cold	1287	COLD		pese	p e s e
96052	112205	transnewguineaorg-kaure	kaur1271		cold	1287	COLD		kɛpuiq	k ɛ p u i q
99710	115863	transnewguineaorg-kaure	kaur1271		come	1446	COME		ambarai	a m b a r a i
99711	115864	transnewguineaorg-kaure	kaur1271		come	1446	COME		gembasa	g e m b a s a
99712	115865	transnewguineaorg-kaure	kaur1271		come	1446	COME		kahilaq	k a h i l a q
127894	144049	transnewguineaorg-kaure	kaur1271		die	1494	DIE		kahilang	k a h i l a n g
136501	152656	transnewguineaorg-kaure	kaur1271		dog	2009	DOG		se	s e
136502	152657	transnewguineaorg-kaure	kaur1271		dog	2009	DOG		se	s e
142680	158835	transnewguineaorg-kaure	kaur1271		drink	1401	DRINK		tɛmblɛ	t ɛ m b l ɛ
152032	168187	transnewguineaorg-kaure	kaur1271		ear	1247	EAR		goklu	g o k l u
152033	168188	transnewguineaorg-kaure	kaur1271		ear	1247	EAR		huaglüt	h u a g l u t
154621	170776	transnewguineaorg-kaure	kaur1271		earthsoil	1228	EARTH (SOIL)		siŋ	s i ŋ
157397	173554	transnewguineaorg-kaure	kaur1271		eat	1336	EAT		kadi	k a d i
157398	173555	transnewguineaorg-kaure	kaur1271		eat	1336	EAT		ganasi	g a n a s i
157399	173556	transnewguineaorg-kaure	kaur1271		eat	1336	EAT		kandɛ	k a n d ɛ
159842	176000	transnewguineaorg-kaure	kaur1271		egg	744	EGG		hore	h o r e
159843	176001	transnewguineaorg-kaure	kaur1271		egg	744	EGG		wale	w a l e
159844	176002	transnewguineaorg-kaure	kaur1271		egg	744	EGG		te	t e
170441	186599	transnewguineaorg-kaure	kaur1271		eye	1248	EYE		hwew	h w e w
170442	186600	transnewguineaorg-kaure	kaur1271		eye	1248	EYE		gewe	g e w e
170443	186601	transnewguineaorg-kaure	kaur1271		eye	1248	EYE		hwai	h w a i
182521	198681	transnewguineaorg-kaure	kaur1271		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		kaidja	k a i d j a
182522	198682	transnewguineaorg-kaure	kaur1271		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		pɛhɔkai	p ɛ h ɔ k a i
193362	226015	transnewguineaorg-kaure	kaur1271		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		kalataru	k a l a t a r u
193363	226016	transnewguineaorg-kaure	kaur1271		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		kalatəlu	k a l a t ə l u
209806	242459	transnewguineaorg-kaure	kaur1271		full	1429	FULL		kahiyam	k a h i j a m
215438	248091	transnewguineaorg-kaure	kaur1271		give	1447	GIVE		hambaxu	h a m b a x u
215439	248092	transnewguineaorg-kaure	kaur1271		give	1447	GIVE		hambakwa	h a m b a k w a
215440	248093	transnewguineaorg-kaure	kaur1271		give	1447	GIVE		kaklung	k a k l u n g
221605	254261	transnewguineaorg-kaure	kaur1271		good	1035	GOOD		arue	a r u e
221606	254262	transnewguineaorg-kaure	kaur1271		good	1035	GOOD		sepa	s e p a
221607	254263	transnewguineaorg-kaure	kaur1271		good	1035	GOOD		aɾuɛ	a ɾ u ɛ
229102	261758	transnewguineaorg-kaure	kaur1271		green	1425	GREEN		timbeɾkluk	t i m b e ɾ k l u k
239072	271728	transnewguineaorg-kaure	kaur1271		hand	1277	HAND		obla	o b l a
244821	277478	transnewguineaorg-kaure	kaur1271		head	1256	HEAD		kasera	k a s e r a
244822	277479	transnewguineaorg-kaure	kaur1271		head	1256	HEAD		pleŋ	p l e ŋ
244823	277480	transnewguineaorg-kaure	kaur1271		head	1256	HEAD		pɔklai	p ɔ k l a i
247685	280342	transnewguineaorg-kaure	kaur1271		hear	1408	HEAR		bogiome	b o g i o m e
247686	280343	transnewguineaorg-kaure	kaur1271		hear	1408	HEAR		kahüla	k a h u l a
