	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3967	20118	johanssonsoundsymbolic-Qawasqar	qawa1238		back	1291	BACK		taqhajqte	t a qʰ a j q t e
5086	21237	johanssonsoundsymbolic-Qawasqar	qawa1238		bad	1292	BAD		asaɾ	a s a ɾ
8920	25071	johanssonsoundsymbolic-Qawasqar	qawa1238		bark	1204	BARK		qhaɾqawes	qʰ a ɾ q a w e s
13062	29213	johanssonsoundsymbolic-Qawasqar	qawa1238		bealive	1422	BE ALIVE		qsqjal	q s q j a l
16366	32517	johanssonsoundsymbolic-Qawasqar	qawa1238		because	1157	BECAUSE		qopep	q o p e p
22964	39115	johanssonsoundsymbolic-Qawasqar	qawa1238		belly	1251	BELLY		aqjaw	a q j a w
28008	44159	johanssonsoundsymbolic-Qawasqar	qawa1238		big	1202	BIG		eɾlaj	e ɾ l a j
30384	46535	johanssonsoundsymbolic-Qawasqar	qawa1238		bird	937	BIRD		qajesqa	q a j e s q a
32741	48892	johanssonsoundsymbolic-Qawasqar	qawa1238		bite	1403	BITE		caqʼawes	c a qʼ a w e s
35355	51506	johanssonsoundsymbolic-Qawasqar	qawa1238		black	163	BLACK		semen	s e m e n
38768	54919	johanssonsoundsymbolic-Qawasqar	qawa1238		blood	946	BLOOD		qstanqse	q s t a n q s e
40977	57128	johanssonsoundsymbolic-Qawasqar	qawa1238		blowofwind	175	BLOW (OF WIND)		seqwas	s e qʷ a s
46991	63142	johanssonsoundsymbolic-Qawasqar	qawa1238		bone	1394	BONE		qhaɾ	qʰ a ɾ
58993	75146	johanssonsoundsymbolic-Qawasqar	qawa1238		breathe	1407	BREATHE		aws	a w s
91684	107837	johanssonsoundsymbolic-Qawasqar	qawa1238		cloud	1489	CLOUD		aɾqajeta	a ɾ q a j e t a
98932	115085	johanssonsoundsymbolic-Qawasqar	qawa1238		come	1446	COME		jecal	j e c a l
121874	138029	johanssonsoundsymbolic-Qawasqar	qawa1238		daynotnight	1225	DAY (NOT NIGHT)		aswal	a s w a l
