	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
2934	19085	transnewguineaorg-ambakich-agurant	amba1269		baby	1289	BABY		kəmbeindʒo	k ə m b e i n dʒ o
2936	19087	transnewguineaorg-ap-ma	apma1241		baby	1289	BABY		sa̠ke̠mbi_bu̠ng_go	s a k e m b i + b u n g + g o
8008	24159	transnewguineaorg-ambakich-agurant	amba1269		banana	868	BANANA		ɩnɨ	ɪ n ɨ
8009	24160	transnewguineaorg-ambakich-agurant	amba1269		banana	868	BANANA		i'ni	i n i
8013	24164	transnewguineaorg-ap-ma	apma1241		banana	868	BANANA		na̠ng_ge	n a n g + g e
9301	25452	transnewguineaorg-ambakich-agurant	amba1269		bark	1204	BARK		undabu'kwaŋk	u n d a b u k w a ŋ k
9303	25454	transnewguineaorg-ap-ma	apma1241		bark	1204	BARK		mu̠wang	m u w a n g
14081	30232	transnewguineaorg-ambakich-agurant	amba1269		bean	832	BEAN		ka'bum	k a b u m
14084	30235	transnewguineaorg-ap-ma	apma1241		bean	832	BEAN		ki'	k i
23533	39684	transnewguineaorg-ambakich-agurant	amba1269		belly	1251	BELLY		gatʃ	g a tʃ
23534	39685	transnewguineaorg-ambakich-agurant	amba1269		belly	1251	BELLY		gat	g a t
23537	39688	transnewguineaorg-ap-ma	apma1241		belly	1251	BELLY		né	n e
26009	42160	transnewguineaorg-ambakich-agurant	amba1269		betelnut	217	BETELNUT		'epo	e p o
28701	44852	transnewguineaorg-ambakich-agurant	amba1269		big	1202	BIG		moxwambemən	m o x w a m b e m ə n
28702	44853	transnewguineaorg-ambakich-agurant	amba1269		big	1202	BIG		ko'bambɩmbɩm	k o b a m b ɪ m b ɪ m
28709	44860	transnewguineaorg-ap-ma	apma1241		big	1202	BIG		n'do̠rrnyam_dȧ̠ma	n d o r r n j a m + d a m a
31038	47189	transnewguineaorg-ambakich-agurant	amba1269		bird	937	BIRD		gumai	g u m a i
31039	47190	transnewguineaorg-ambakich-agurant	amba1269		bird	937	BIRD		gɨ'maⁱ	g ɨ m ai
31042	47193	transnewguineaorg-ap-ma	apma1241		bird	937	BIRD		a̠u̠wan	a u w a n
33193	49344	transnewguineaorg-ambakich-agurant	amba1269		bite	1403	BITE		ɩɾɛlməmei	ɪ ɾ ɛ l m ə m e i
33194	49345	transnewguineaorg-ambakich-agurant	amba1269		bite	1403	BITE		y'agombʷɨn	j a g o m bʷ ɨ n
33197	49348	transnewguineaorg-ap-ma	apma1241		bite	1403	BITE		wu̠n_wȧ̠mat_a̠be	w u n + w a m a t + a b e
39409	55560	transnewguineaorg-ambakich-agurant	amba1269		blood	946	BLOOD		sɩn	s ɪ n
39410	55561	transnewguineaorg-ambakich-agurant	amba1269		blood	946	BLOOD		sɩn	s ɪ n
39416	55567	transnewguineaorg-ap-ma	apma1241		blood	946	BLOOD		si̠ndrre_mȧ̠	s i n d r r e + m a
47629	63780	transnewguineaorg-ambakich-agurant	amba1269		bone	1394	BONE		kaɾatʃ	k a ɾ a tʃ
47630	63781	transnewguineaorg-ambakich-agurant	amba1269		bone	1394	BONE		ka'la:t	k a l aː t
47636	63787	transnewguineaorg-ap-ma	apma1241		bone	1394	BONE		a̠mo̠	a m o
52074	68225	transnewguineaorg-ambakich-agurant	amba1269		boy	1366	BOY		kəmbeindʒo	k ə m b e i n dʒ o
52075	68226	transnewguineaorg-ambakich-agurant	amba1269		boy	1366	BOY		'kʷomu	kʷ o m u
52078	68229	transnewguineaorg-ap-ma	apma1241		boy	1366	BOY		wi̠kmbé	w i k m b e
57684	73837	transnewguineaorg-ambakich-agurant	amba1269		breast	1402	BREAST		koɾɩtʃ	k o ɾ ɪ tʃ
57685	73838	transnewguineaorg-ambakich-agurant	amba1269		breast	1402	BREAST		kʷu'řɩʔ	kʷ u r̝ ɪ ʔ
57691	73844	transnewguineaorg-ap-ma	apma1241		breast	1402	BREAST		n'dja̠p	n d j a p
61476	77629	transnewguineaorg-ambakich-agurant	amba1269		brother	1262	BROTHER		kajə	k a j ə
61478	77631	transnewguineaorg-ap-ma	apma1241		brother	1262	BROTHER		ta̠t_dȧ̠ma	t a t + d a m a
64814	80967	transnewguineaorg-ambakich-agurant	amba1269		burn	2102	BURN		hanbukəp	h a n b u k ə p
64815	80968	transnewguineaorg-ambakich-agurant	amba1269		burn	2102	BURN		an'buməga	a n b u m ə g a
64818	80971	transnewguineaorg-ap-ma	apma1241		burn	2102	BURN		pü̠ndrre_ma_wé̠p	p u n d r r e + m a + w e p
74525	90678	transnewguineaorg-ambakich-agurant	amba1269		cassowary	466	CASSOWARY		ɩmban	ɪ m b a n
74526	90679	transnewguineaorg-ambakich-agurant	amba1269		cassowary	466	CASSOWARY		em'bʌn	e ˀb ʌ n
74529	90682	transnewguineaorg-ap-ma	apma1241		cassowary	466	CASSOWARY		m'ba̠ndrre_mȧ̠	ˀb a n d r r e + m a
75736	91889	transnewguineaorg-ambakich-agurant	amba1269		catch	702	CATCH		məmətʃɩpəp	m ə m ə tʃ ɪ p ə p
75738	91891	transnewguineaorg-ap-ma	apma1241		catch	702	CATCH		me̠tan_ma	m e t a n + m a
84793	100946	transnewguineaorg-ambakich-agurant	amba1269		chin	1510	CHIN		aŋkantʃ	a ŋ k a n tʃ
