	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
9301	25452	transnewguineaorg-ambakich-agurant	amba1269		bark	1204	BARK		undabu'kwaŋk	u n d a b u k w a ŋ k
9303	25454	transnewguineaorg-ap-ma	apma1241		bark	1204	BARK		mu̠wang	m u w a n g
23533	39684	transnewguineaorg-ambakich-agurant	amba1269		belly	1251	BELLY		gatʃ	g a tʃ
23534	39685	transnewguineaorg-ambakich-agurant	amba1269		belly	1251	BELLY		gat	g a t
23537	39688	transnewguineaorg-ap-ma	apma1241		belly	1251	BELLY		né	n e
28701	44852	transnewguineaorg-ambakich-agurant	amba1269		big	1202	BIG		moxwambemən	m o x w a m b e m ə n
28702	44853	transnewguineaorg-ambakich-agurant	amba1269		big	1202	BIG		ko'bambɩmbɩm	k o b a m b ɪ m b ɪ m
28709	44860	transnewguineaorg-ap-ma	apma1241		big	1202	BIG		n'do̠rrnyam_dȧ̠ma	n d o r r n j a m + d a m a
31038	47189	transnewguineaorg-ambakich-agurant	amba1269		bird	937	BIRD		gumai	g u m a i
31039	47190	transnewguineaorg-ambakich-agurant	amba1269		bird	937	BIRD		gɨ'maⁱ	g ɨ m ai
31042	47193	transnewguineaorg-ap-ma	apma1241		bird	937	BIRD		a̠u̠wan	a u w a n
33193	49344	transnewguineaorg-ambakich-agurant	amba1269		bite	1403	BITE		ɩɾɛlməmei	ɪ ɾ ɛ l m ə m e i
33194	49345	transnewguineaorg-ambakich-agurant	amba1269		bite	1403	BITE		y'agombʷɨn	j a g o m bʷ ɨ n
33197	49348	transnewguineaorg-ap-ma	apma1241		bite	1403	BITE		wu̠n_wȧ̠mat_a̠be	w u n + w a m a t + a b e
39409	55560	transnewguineaorg-ambakich-agurant	amba1269		blood	946	BLOOD		sɩn	s ɪ n
39410	55561	transnewguineaorg-ambakich-agurant	amba1269		blood	946	BLOOD		sɩn	s ɪ n
39416	55567	transnewguineaorg-ap-ma	apma1241		blood	946	BLOOD		si̠ndrre_mȧ̠	s i n d r r e + m a
47629	63780	transnewguineaorg-ambakich-agurant	amba1269		bone	1394	BONE		kaɾatʃ	k a ɾ a tʃ
47630	63781	transnewguineaorg-ambakich-agurant	amba1269		bone	1394	BONE		ka'la:t	k a l aː t
47636	63787	transnewguineaorg-ap-ma	apma1241		bone	1394	BONE		a̠mo̠	a m o
57684	73837	transnewguineaorg-ambakich-agurant	amba1269		breast	1402	BREAST		koɾɩtʃ	k o ɾ ɪ tʃ
57685	73838	transnewguineaorg-ambakich-agurant	amba1269		breast	1402	BREAST		kʷu'řɩʔ	kʷ u r̝ ɪ ʔ
57691	73844	transnewguineaorg-ap-ma	apma1241		breast	1402	BREAST		n'dja̠p	n d j a p
64814	80967	transnewguineaorg-ambakich-agurant	amba1269		burn	2102	BURN		hanbukəp	h a n b u k ə p
64815	80968	transnewguineaorg-ambakich-agurant	amba1269		burn	2102	BURN		an'buməga	a n b u m ə g a
64818	80971	transnewguineaorg-ap-ma	apma1241		burn	2102	BURN		pü̠ndrre_ma_wé̠p	p u n d r r e + m a + w e p
87169	103322	transnewguineaorg-ambakich-agurant	amba1269		claw	72	CLAW		akino	a k i n o
87170	103323	transnewguineaorg-ambakich-agurant	amba1269		claw	72	CLAW		a'kinoamaⁱ	a k i n o a m ai
87172	103325	transnewguineaorg-ap-ma	apma1241		claw	72	CLAW		ya̠pang_kua̠i̠	j a p a n g + k u a i
92136	108289	transnewguineaorg-ambakich-agurant	amba1269		cloud	1489	CLOUD		kəɾə	k ə ɾ ə
92137	108290	transnewguineaorg-ambakich-agurant	amba1269		cloud	1489	CLOUD		ka'lɨ	k a l ɨ
92140	108293	transnewguineaorg-ap-ma	apma1241		cloud	1489	CLOUD		pù̠s_dȧ̠ma	p u s + d a m a
95929	112082	transnewguineaorg-ambakich-agurant	amba1269		cold	1287	COLD		bawa	b a w a
95936	112089	transnewguineaorg-ap-ma	apma1241		cold	1287	COLD		kö̠pul	k o p u l
99583	115736	transnewguineaorg-ambakich-agurant	amba1269		come	1446	COME		məndəmehe	m ə n d ə m e h e
99584	115737	transnewguineaorg-ambakich-agurant	amba1269		come	1446	COME		m'dɛmaⁱ	m d ɛ m ai
99589	115742	transnewguineaorg-ap-ma	apma1241		come	1446	COME		shi̠awe	s h i a w e
127798	143953	transnewguineaorg-ambakich-agurant	amba1269		die	1494	DIE		mu̶ku̶pwəp	m ʉ k ʉ p w ə p
127799	143954	transnewguineaorg-ambakich-agurant	amba1269		die	1494	DIE		benɛk	b e n ɛ k
127802	143957	transnewguineaorg-ap-ma	apma1241		die	1494	DIE		n'do̠l_a̠i̠b	n d o l + a i b
136365	152520	transnewguineaorg-ambakich-agurant	amba1269		dog	2009	DOG		ɛɾɛl	ɛ ɾ ɛ l
136366	152521	transnewguineaorg-ambakich-agurant	amba1269		dog	2009	DOG		ɨ'řɨř	ɨ r̝ ɨ r̝
136369	152524	transnewguineaorg-ap-ma	apma1241		dog	2009	DOG		u̠rrendema	u r r e n d e m a
142622	158777	transnewguineaorg-ambakich-agurant	amba1269		drink	1401	DRINK		mɨamɨmaχamɨ	m ɨ a m ɨ m a χ a m ɨ
142623	158778	transnewguineaorg-ambakich-agurant	amba1269		drink	1401	DRINK		ə'mamən	ə m a m ə n
142625	158780	transnewguineaorg-ap-ma	apma1241		drink	1401	DRINK		ye̠mab_ma̠	j e m a b + m a
142626	158781	transnewguineaorg-ap-ma	apma1241		drink	1401	DRINK		ya̠mle_a̠llema	j a m l e + a l l e m a
151897	168052	transnewguineaorg-ambakich-agurant	amba1269		ear	1247	EAR		kər	k ə r
151898	168053	transnewguineaorg-ambakich-agurant	amba1269		ear	1247	EAR		gɨ'kɨř	g ɨ k ɨ r̝
151904	168059	transnewguineaorg-ap-ma	apma1241		ear	1247	EAR		gombe	g o m b e
154558	170713	transnewguineaorg-ambakich-agurant	amba1269		earthsoil	1228	EARTH (SOIL)		dʒɩn	dʒ ɪ n
154559	170714	transnewguineaorg-ambakich-agurant	amba1269		earthsoil	1228	EARTH (SOIL)		džɩn	dʒ ɪ n
154561	170716	transnewguineaorg-ap-ma	apma1241		earthsoil	1228	EARTH (SOIL)		m'bi̠	ˀb i
157261	173416	transnewguineaorg-ambakich-agurant	amba1269		eat	1336	EAT		ʊnduməqamu̶	ʊ n d u m ə q a m ʉ
157262	173417	transnewguineaorg-ambakich-agurant	amba1269		eat	1336	EAT		on'damɨn	o n d a m ɨ n
157268	173423	transnewguineaorg-ap-ma	apma1241		eat	1336	EAT		mȧ̠mȧ	m a m a
159711	175869	transnewguineaorg-ambakich-agurant	amba1269		egg	744	EGG		mimo	m i m o
159712	175870	transnewguineaorg-ambakich-agurant	amba1269		egg	744	EGG		'mamimo	m a m i m o
159718	175876	transnewguineaorg-ap-ma	apma1241		egg	744	EGG		m'bwi	ˀb w i
170299	186457	transnewguineaorg-ambakich-agurant	amba1269		eye	1248	EYE		dun	d u n
170300	186458	transnewguineaorg-ambakich-agurant	amba1269		eye	1248	EYE		'duɩn	d u ɪ n
170306	186464	transnewguineaorg-ap-ma	apma1241		eye	1248	EYE		ya̠mbuon	j a m b u o n
182414	198574	transnewguineaorg-ambakich-agurant	amba1269		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		bɛ	b ɛ
182415	198575	transnewguineaorg-ambakich-agurant	amba1269		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		'bɛpame	b ɛ p a m e
182418	198578	transnewguineaorg-ap-ma	apma1241		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ba̠i̠o	b a i o
185324	201484	transnewguineaorg-ambakich-agurant	amba1269		feather	1201	FEATHER		kəpomu̶	k ə p o m ʉ
185325	201485	transnewguineaorg-ambakich-agurant	amba1269		feather	1201	FEATHER		kɨmey_aga_pumu	k ɨ m e j + a g a + p u m u
185327	201487	transnewguineaorg-ap-ma	apma1241		feather	1201	FEATHER		ȧ̠nggop_la̠_le	a n gː o p + l a + l e
193271	225924	transnewguineaorg-ambakich-agurant	amba1269		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		ndwaqatʃamu̶man	n d w a q a tʃ a m ʉ m a n
193272	225925	transnewguineaorg-ambakich-agurant	amba1269		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		gomai_'dwagasaᵐma	g o m a i + d w a g a s ã m a
193275	225928	transnewguineaorg-ap-ma	apma1241		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		wé̠p_e̠mis	w e p + e m i s
196795	229448	transnewguineaorg-ambakich-agurant	amba1269		foot	1301	FOOT		brɨp	b r ɨ p
196796	229449	transnewguineaorg-ambakich-agurant	amba1269		foot	1301	FOOT		'bɨřɨp	b ɨ r̝ ɨ p
196798	229451	transnewguineaorg-ap-ma	apma1241		foot	1301	FOOT		si̠pang_dȧ̠ma	s i p a n g + d a m a
209707	242360	transnewguineaorg-ambakich-agurant	amba1269		full	1429	FULL		ksɩnakətʃəp	k s ɪ n a k ə tʃ ə p
209708	242361	transnewguineaorg-ambakich-agurant	amba1269		full	1429	FULL		mɩn'džgaiyɛn	m ɪ n dʒ g a i j ɛ n
209712	242365	transnewguineaorg-ap-ma	apma1241		full	1429	FULL		mȧ̠ng_a̠kob	m a n g + a k o b
215320	247973	transnewguineaorg-ambakich-agurant	amba1269		give	1447	GIVE		meɲakaɾap	m e ɲ a k a ɾ a p
215323	247976	transnewguineaorg-ap-ma	apma1241		give	1447	GIVE		ema̠n_yȧ̠na	e m a n + j a n a
221470	254126	transnewguineaorg-ambakich-agurant	amba1269		good	1035	GOOD		majon	m a j o n
221471	254127	transnewguineaorg-ambakich-agurant	amba1269		good	1035	GOOD		'mayon_man	m a j o n + m a n
221474	254130	transnewguineaorg-ap-ma	apma1241		good	1035	GOOD		yia̠u̠ro	j i a u r o
221475	254131	transnewguineaorg-ap-ma	apma1241		good	1035	GOOD		é̠men	e m e n
