	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8903	25054	johanssonsoundsymbolic-Nama	nama1264		bark	1204	BARK		ǂammi	ǂ a mː i
22944	39095	johanssonsoundsymbolic-Nama	nama1264		belly	1251	BELLY		!nab	ǃⁿ a b
27987	44138	johanssonsoundsymbolic-Nama	nama1264		big	1202	BIG		kai	k a i
30368	46519	johanssonsoundsymbolic-Nama	nama1264		bird	937	BIRD		kxʔanis	k x ʔ a n i s
32720	48871	johanssonsoundsymbolic-Nama	nama1264		bite	1403	BITE		na	n a
35334	51485	johanssonsoundsymbolic-Nama	nama1264		black	163	BLACK		ǂnu	ǂ n u
38747	54898	johanssonsoundsymbolic-Nama	nama1264		blood	946	BLOOD		ǀaob	ǀ a o b
46973	63124	johanssonsoundsymbolic-Nama	nama1264		bone	1394	BONE		ǂkxho	ǂ k xʰ o
57058	73211	johanssonsoundsymbolic-Nama	nama1264		breast	1402	BREAST		sams	s a m s
64528	80681	johanssonsoundsymbolic-Nama	nama1264		burn	2102	BURN		ǂhuwi	ǂʰ u w i
91667	107820	johanssonsoundsymbolic-Nama	nama1264		cloud	1489	CLOUD		ǀnanus	ǀ n a n u s
95249	111402	johanssonsoundsymbolic-Nama	nama1264		cold	1287	COLD		!kxhai	ǃxʰ a i
98912	115065	johanssonsoundsymbolic-Nama	nama1264		come	1446	COME		ha	h a
127135	143290	johanssonsoundsymbolic-Nama	nama1264		die	1494	DIE		ǁo	ǁ o
135685	151840	johanssonsoundsymbolic-Nama	nama1264		dog	2009	DOG		ari	a r i
142153	158308	johanssonsoundsymbolic-Nama	nama1264		drink	1401	DRINK		a	a
145790	161945	johanssonsoundsymbolic-Nama	nama1264		dry	1398	DRY		ǂnasa	ǂ n a s a
151231	167386	johanssonsoundsymbolic-Nama	nama1264		ear	1247	EAR		ǂgaeb	ǂ g a e b
154149	170304	johanssonsoundsymbolic-Nama	nama1264		earthsoil	1228	EARTH (SOIL)		!hub	ǃʰ u b
