	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
22912	39063	johanssonsoundsymbolic-Kiowa	kiow1266		belly	1251	BELLY		bout̪	b o u t̪
27954	44105	johanssonsoundsymbolic-Kiowa	kiow1266		big	1202	BIG		eid̪l̪	e i d̪ l̪
30340	46491	johanssonsoundsymbolic-Kiowa	kiow1266		bird	937	BIRD		kuat̪ou	k u a t̪ o u
32689	48840	johanssonsoundsymbolic-Kiowa	kiow1266		bite	1403	BITE		zõũn̪t̪hɔd̪l̪	z õ ũ n̪ t̪ʰ ɔ d̪ l̪
35304	51455	johanssonsoundsymbolic-Kiowa	kiow1266		black	163	BLACK		kʼõũ	kʼ õ ũ
38715	54866	johanssonsoundsymbolic-Kiowa	kiow1266		blood	946	BLOOD		õũʔm	õ ũ ʔ m
46945	63096	johanssonsoundsymbolic-Kiowa	kiow1266		bone	1394	BONE		t̪ʼẽĩʔm	t̪ʼ ẽ ĩ ʔ m
57031	73184	johanssonsoundsymbolic-Kiowa	kiow1266		breast	1402	BREAST		zeip	z e i p
64498	80651	johanssonsoundsymbolic-Kiowa	kiow1266		burn	2102	BURN		t̪ʼõũ	t̪ʼ õ ũ
91637	107790	johanssonsoundsymbolic-Kiowa	kiow1266		cloud	1489	CLOUD		pʼɔ̃n̪	pʼ ɔ̃ n̪
95219	111372	johanssonsoundsymbolic-Kiowa	kiow1266		cold	1287	COLD		t̪ʼou	t̪ʼ o u
98882	115035	johanssonsoundsymbolic-Kiowa	kiow1266		come	1446	COME		ɔ̃	ɔ̃
127103	143258	johanssonsoundsymbolic-Kiowa	kiow1266		die	1494	DIE		hẽĩʔm	h ẽ ĩ ʔ m
135655	151810	johanssonsoundsymbolic-Kiowa	kiow1266		dog	2009	DOG		t̪sẽĩhĩɔ̃	ts̪ ẽ ĩ h ĩ ɔ̃
142122	158277	johanssonsoundsymbolic-Kiowa	kiow1266		drink	1401	DRINK		t̪ʼõũm	t̪ʼ õ ũ m
145760	161915	johanssonsoundsymbolic-Kiowa	kiow1266		dry	1398	DRY		t̪ʼɔp	t̪ʼ ɔ p
151198	167353	johanssonsoundsymbolic-Kiowa	kiow1266		ear	1247	EAR		t̪ʼaaʔd̪ei	t̪ʼ aː ʔ d̪ e i
156721	172876	johanssonsoundsymbolic-Kiowa	kiow1266		eat	1336	EAT		paʔ	p a ʔ
159032	175190	johanssonsoundsymbolic-Kiowa	kiow1266		egg	744	EGG		iɔ	i ɔ
169602	185760	johanssonsoundsymbolic-Kiowa	kiow1266		eye	1248	EYE		t̪ɔʔ	t̪ ɔ ʔ
182087	198247	johanssonsoundsymbolic-Kiowa	kiow1266		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		khããʔgjɔ	kʰ ãː ʔ g j ɔ
184927	201087	johanssonsoundsymbolic-Kiowa	kiow1266		feather	1201	FEATHER		ɔɔʔgaʔt̪	ɔː ʔ g a ʔ t̪
192881	225534	johanssonsoundsymbolic-Kiowa	kiow1266		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		kʼãʔn̪d̪sapʼon̪jiɔ	kʼ ã ʔ n̪ d̪ s a pʼ o n̪ j i ɔ
196200	228853	johanssonsoundsymbolic-Kiowa	kiow1266		foot	1301	FOOT		ãn̪souʔe	ã n̪ s o u ʔ e
209299	241952	johanssonsoundsymbolic-Kiowa	kiow1266		full	1429	FULL		bout̪ʼd̪a	b o u t̪ʼ d̪ a
220758	253414	johanssonsoundsymbolic-Kiowa	kiow1266		good	1035	GOOD		t̪hɔɔʔgjɔ	t̪ʰ ɔː ʔ g j ɔ
228552	261208	johanssonsoundsymbolic-Kiowa	kiow1266		green	1425	GREEN		t̪hããʔd̪eisagjei	t̪ʰ ãː ʔ d̪ e i s a g j e i
234562	267218	johanssonsoundsymbolic-Kiowa	kiow1266		hair	1040	HAIR		aaʔd̪a	aː ʔ d̪ a
238401	271057	johanssonsoundsymbolic-Kiowa	kiow1266		hand	1277	HAND		mããʔd̪a	m ãː ʔ d̪ a
243956	276613	johanssonsoundsymbolic-Kiowa	kiow1266		head	1256	HEAD		ad̪l̪t̪ʼẽĩʔm	a d̪ l̪ t̪ʼ ẽ ĩ ʔ m
246897	279554	johanssonsoundsymbolic-Kiowa	kiow1266		hear	1408	HEAR		t̪haʔ	t̪ʰ a ʔ
248484	281141	johanssonsoundsymbolic-Kiowa	kiow1266		heart	1223	HEART		t̪ʼẽĩn̪	t̪ʼ ẽ ĩ n̪
263364	296024	johanssonsoundsymbolic-Kiowa	kiow1266		hornanatomy	1393	HORN (ANATOMY)		gũãd̪ei	g ũ ã d̪ e i
274708	307368	johanssonsoundsymbolic-Kiowa	kiow1266		i	1209	I		n̪ãã	n̪ ãː
290230	322890	johanssonsoundsymbolic-Kiowa	kiow1266		knee	1371	KNEE		it̪heid̪l̪bõũʔ	i t̪ʰ e i d̪ l̪ b õ ũ ʔ
302189	334849	johanssonsoundsymbolic-Kiowa	kiow1266		leaf	628	LEAF		ɔed̪ẽĩiga	ɔ e d̪ ẽ ĩ i g a
316953	349613	johanssonsoundsymbolic-Kiowa	kiow1266		liver	1224	LIVER		t̪had̪l̪	t̪ʰ a d̪ l̪
319850	352510	johanssonsoundsymbolic-Kiowa	kiow1266		long	1203	LONG		kĩɔ̃n̪ĩɔ̃	k ĩ ɔ̃ n̪ ĩ ɔ̃
330463	363124	johanssonsoundsymbolic-Kiowa	kiow1266		man	1554	MAN		khjɔ̃ɔ̃_hĩʔɔ̃	kʰ j ɔ̃ + h ĩ ʔ ɔ̃
332286	364947	johanssonsoundsymbolic-Kiowa	kiow1266		many	1198	MANY		ae	a e
344455	377116	johanssonsoundsymbolic-Kiowa	kiow1266		moon	1313	MOON		phae	pʰ a e
350928	383592	johanssonsoundsymbolic-Kiowa	kiow1266		mountain	639	MOUNTAIN		khoup	kʰ o u p
353441	386105	johanssonsoundsymbolic-Kiowa	kiow1266		mouth	674	MOUTH		saʔad̪l̪	s a ʔ a d̪ l̪
358459	391123	johanssonsoundsymbolic-Kiowa	kiow1266		name	1405	NAME		kʼããʔgjɔ	kʼ ãː ʔ g j ɔ
364746	397413	johanssonsoundsymbolic-Kiowa	kiow1266		neck	1333	NECK		khoud̪l̪	kʰ o u d̪ l̪
368804	401471	johanssonsoundsymbolic-Kiowa	kiow1266		new	1231	NEW		sat̪hd̪ei	s a t̪ʰ d̪ e i
371580	404247	johanssonsoundsymbolic-Kiowa	kiow1266		night	1233	NIGHT		kʼõũ	kʼ õ ũ
377400	410067	johanssonsoundsymbolic-Kiowa	kiow1266		nose	1221	NOSE		mããkhãʔn̪	m ãː kʰ ã ʔ n̪
378992	411659	johanssonsoundsymbolic-Kiowa	kiow1266		not	1240	NOT		hãn̪	h ã n̪
389695	422362	johanssonsoundsymbolic-Kiowa	kiow1266		one	1493	ONE		pɔʔ	p ɔ ʔ
432488	465156	johanssonsoundsymbolic-Kiowa	kiow1266		red	156	RED		suad̪l̪	s u a d̪ l̪
444433	477102	johanssonsoundsymbolic-Kiowa	kiow1266		root	670	ROOT		khaaʔt̪hẽĩn̪ĩɔ̃ba	kʰ aː ʔ t̪ʰ ẽ ĩ n̪ ĩ ɔ̃ b a
448831	481500	johanssonsoundsymbolic-Kiowa	kiow1266		round	1395	ROUND		ʔɔd̪l̪	ʔ ɔ d̪ l̪
456388	489057	johanssonsoundsymbolic-Kiowa	kiow1266		sand	671	SAND		peigaaʔt̪	p e i g aː ʔ t̪
459355	492024	johanssonsoundsymbolic-Kiowa	kiow1266		say	1458	SAY		t̪õũẽ	t̪ õ ũ ẽ
465103	497773	johanssonsoundsymbolic-Kiowa	kiow1266		see	1409	SEE		bõũ	b õ ũ
466669	499339	johanssonsoundsymbolic-Kiowa	kiow1266		seed	714	SEED		d̪õũgaaʔt̪	d̪ õ ũ g aː ʔ t̪
490545	523217	johanssonsoundsymbolic-Kiowa	kiow1266		sit	1416	SIT		ɔɔʔgjɔ	ɔː ʔ g j ɔ
494657	527329	johanssonsoundsymbolic-Kiowa	kiow1266		skin	763	SKIN		khaaʔgjɔ	kʰ aː ʔ g j ɔ
499296	531968	johanssonsoundsymbolic-Kiowa	kiow1266		sleep	1585	SLEEP		d̪ẽĩ	d̪ ẽ ĩ
502879	535553	johanssonsoundsymbolic-Kiowa	kiow1266		small	1246	SMALL		pʼɔɔʔsjɔn̪	pʼ ɔː ʔ s j ɔ n̪
507203	539879	johanssonsoundsymbolic-Kiowa	kiow1266		smokeexhaust	778	SMOKE (EXHAUST)		ɔɔʔgjɔ	ɔː ʔ g j ɔ
530081	562757	johanssonsoundsymbolic-Kiowa	kiow1266		stand	1442	STAND		d̪ei	d̪ e i
532338	565014	johanssonsoundsymbolic-Kiowa	kiow1266		star	1430	STAR		t̪ɔ̃ʔ	t̪ ɔ̃ ʔ
538879	571556	johanssonsoundsymbolic-Kiowa	kiow1266		stone	857	STONE		t̪sou	ts̪ o u
548265	580942	johanssonsoundsymbolic-Kiowa	kiow1266		sun	1343	SUN		pɔe	p ɔ e
555300	587977	johanssonsoundsymbolic-Kiowa	kiow1266		swim	1439	SWIM		kaat̪haʔe	k aː t̪ʰ a ʔ e
557757	590434	johanssonsoundsymbolic-Kiowa	kiow1266		tail	1220	TAIL		t̪ʼõũn̪	t̪ʼ õ ũ n̪
567143	599822	johanssonsoundsymbolic-Kiowa	kiow1266		that	78	THAT		a	a
578232	610911	johanssonsoundsymbolic-Kiowa	kiow1266		this	1214	THIS		ẽĩ	ẽ ĩ
580422	613105	johanssonsoundsymbolic-Kiowa	kiow1266		thou	1215	THOU		ʔɔ̃m	ʔ ɔ̃ m
596320	629007	johanssonsoundsymbolic-Kiowa	kiow1266		tongue	1205	TONGUE		d̪ẽĩn̪	d̪ ẽ ĩ n̪
598496	631183	johanssonsoundsymbolic-Kiowa	kiow1266		tooth	1380	TOOTH		zõũ	z õ ũ
602897	635584	johanssonsoundsymbolic-Kiowa	kiow1266		tree	906	TREE		ɔɔʔt̪ʼõũ	ɔː ʔ t̪ʼ õ ũ
611403	644090	johanssonsoundsymbolic-Kiowa	kiow1266		two	1498	TWO		jiɔ	j i ɔ
627254	679915	johanssonsoundsymbolic-Kiowa	kiow1266		white	1335	WHITE		t̪hɔ̃ẽ	t̪ʰ ɔ̃ ẽ
629721	682474	johanssonsoundsymbolic-Kiowa	kiow1266		who	1235	WHO		hɔɔʔd̪eid̪l̪	h ɔː ʔ d̪ e i d̪ l̪
640102	692857	johanssonsoundsymbolic-Kiowa	kiow1266		woman	962	WOMAN		mɔ̃ɔ̃jĩɔ̃	m ɔ̃ j ĩ ɔ̃
