	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3873	20024	johanssonsoundsymbolic-Bamu	bamu1257		back	1291	BACK		huɾu	h u ɾ u
4984	21135	johanssonsoundsymbolic-Bamu	bamu1257		bad	1292	BAD		ubɑubɑ	u b ɑ u b ɑ
8826	24977	johanssonsoundsymbolic-Bamu	bamu1257		bark	1204	BARK		tɑmɑ	t ɑ m ɑ
9403	25554	transnewguineaorg-tureture	sout2949		bark	1204	BARK		tama	t a m a
9410	25561	transnewguineaorg-waboda	wabo1241		bark	1204	BARK		tamakere	t a m a k e r e
12966	29117	johanssonsoundsymbolic-Bamu	bamu1257		bealive	1422	BE ALIVE		omidiɾo	o m i d i ɾ o
15730	31881	johanssonsoundsymbolic-Bamu	bamu1257		beautiful	1427	BEAUTIFUL		sɑgɑɾu	s ɑ g ɑ ɾ u
16303	32454	johanssonsoundsymbolic-Bamu	bamu1257		because	1157	BECAUSE		noudo_noudo	n o u d o + n o u d o
20455	36606	johanssonsoundsymbolic-Bamu	bamu1257		behind	1686	BEHIND		sɑɾo	s ɑ ɾ o
22858	39009	johanssonsoundsymbolic-Bamu	bamu1257		belly	1251	BELLY		niɾo	n i ɾ o
23766	39917	transnewguineaorg-tureture	sout2949		belly	1251	BELLY		niro	n i r o
23776	39927	transnewguineaorg-waboda	wabo1241		belly	1251	BELLY		dopi	d o p i
25738	41889	johanssonsoundsymbolic-Bamu	bamu1257		beside	1816	BESIDE		bɑɾɑ	b ɑ ɾ ɑ
26465	42616	johanssonsoundsymbolic-Bamu	bamu1257		between	689	BETWEEN		tuɾituɾi	t u ɾ i t u ɾ i
27898	44049	johanssonsoundsymbolic-Bamu	bamu1257		big	1202	BIG		ɑwoɑwo	ɑ w o ɑ w o
28977	45128	transnewguineaorg-tureture	sout2949		big	1202	BIG		auwo	a u w o
28987	45138	transnewguineaorg-waboda	wabo1241		big	1202	BIG		eredea	e r e d e a
31330	47481	transnewguineaorg-tureture	sout2949		bird	937	BIRD		wowogo	w o w o g o
31340	47491	transnewguineaorg-waboda	wabo1241		bird	937	BIRD		wowogo	w o w o g o
31341	47492	transnewguineaorg-waboda	wabo1241		bird	937	BIRD		wogoburo	w o g o b u r o
32639	48790	johanssonsoundsymbolic-Bamu	bamu1257		bite	1403	BITE		ɑgege	ɑ g e g e
33432	49583	transnewguineaorg-tureture	sout2949		bite	1403	BITE		iadedeai	i a d e d e a i
33443	49594	transnewguineaorg-waboda	wabo1241		bite	1403	BITE		atakoba	a t a k o b a
33784	49935	johanssonsoundsymbolic-Bamu	bamu1257		bitter	887	BITTER		kɑɾɑkɑɾɑ	k ɑ ɾ ɑ k ɑ ɾ ɑ
35249	51400	johanssonsoundsymbolic-Bamu	bamu1257		black	163	BLACK		gɑɾee	g ɑ ɾ eː
38661	54812	johanssonsoundsymbolic-Bamu	bamu1257		blood	946	BLOOD		kɑɾimɑ	k ɑ ɾ i m ɑ
39687	55838	transnewguineaorg-tureture	sout2949		blood	946	BLOOD		arima	a r i m a
39697	55848	transnewguineaorg-waboda	wabo1241		blood	946	BLOOD		karima	k a r i m a
40887	57038	johanssonsoundsymbolic-Bamu	bamu1257		blowofwind	175	BLOW (OF WIND)		ɑduduɾo	ɑ d u d u ɾ o
44552	60703	johanssonsoundsymbolic-Bamu	bamu1257		body	1480	BODY		duɾupi	d u ɾ u p i
46890	63041	johanssonsoundsymbolic-Bamu	bamu1257		bone	1394	BONE		soɾo	s o ɾ o
47937	64088	transnewguineaorg-tureture	sout2949		bone	1394	BONE		kako	k a k o
47938	64089	transnewguineaorg-tureture	sout2949		bone	1394	BONE		kako	k a k o
