	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3897	20048	johanssonsoundsymbolic-Grasskoiari	gras1249		back	1291	BACK		gadiβa	g a d i β a
5013	21164	johanssonsoundsymbolic-Grasskoiari	gras1249		bad	1292	BAD		komara	k o m a r a
8852	25003	johanssonsoundsymbolic-Grasskoiari	gras1249		bark	1204	BARK		βate	β a t e
12994	29145	johanssonsoundsymbolic-Grasskoiari	gras1249		bealive	1422	BE ALIVE		gura	g u r a
16318	32469	johanssonsoundsymbolic-Grasskoiari	gras1249		because	1157	BECAUSE		umukaβahe	u m u k a β a h e
16480	32631	transnewguineaorg-mountain-koiari	moun1252		because	1157	BECAUSE		V-ale-rua	ə + a l e + r u a
22888	39039	johanssonsoundsymbolic-Grasskoiari	gras1249		belly	1251	BELLY		detu	d e t u
23702	39853	transnewguineaorg-omie	omie1241		belly	1251	BELLY		dë	d e
27929	44080	johanssonsoundsymbolic-Grasskoiari	gras1249		big	1202	BIG		kaje	k a j e
28842	44993	transnewguineaorg-koitabu	koit1244		big	1202	BIG		bauge	b a u g e
28883	45034	transnewguineaorg-mountain-koiari	moun1252		big	1202	BIG		baluga	b a l u g a
30315	46466	johanssonsoundsymbolic-Grasskoiari	gras1249		bird	937	BIRD		ugu	u g u
31122	47273	transnewguineaorg-ese	esee1247		bird	937	BIRD		uk-a	u k + a
31183	47334	transnewguineaorg-koitabu	koit1244		bird	937	BIRD		ugu	u g u
31184	47335	transnewguineaorg-koitabu	koit1244		bird	937	BIRD		ha	h a
31236	47387	transnewguineaorg-mountain-koiari	moun1252		bird	937	BIRD		ugu	u g u
31258	47409	transnewguineaorg-omie	omie1241		bird	937	BIRD		ug-e	u g + e
32664	48815	johanssonsoundsymbolic-Grasskoiari	gras1249		bite	1403	BITE		uβa	u β a
33254	49405	transnewguineaorg-ese	esee1247		bite	1403	BITE		jaʔeho	j a ʔ e h o
33350	49501	transnewguineaorg-mountain-koiari	moun1252		bite	1403	BITE		ua-ha-	u a + h a
33364	49515	transnewguineaorg-north-barai	nucl1630		bite	1403	BITE		sak-	s a k
33365	49516	transnewguineaorg-north-barai	nucl1630		bite	1403	BITE		sak-ie	s a k + i e
33368	49519	transnewguineaorg-omie	omie1241		bite	1403	BITE		jaʔih-e	j a ʔ i h + e
35280	51431	johanssonsoundsymbolic-Grasskoiari	gras1249		black	163	BLACK		dubu	d u b u
38690	54841	johanssonsoundsymbolic-Grasskoiari	gras1249		blood	946	BLOOD		taβo	t a β o
39496	55647	transnewguineaorg-ese	esee1247		blood	946	BLOOD		'a-a	a + a
39555	55706	transnewguineaorg-koitabu	koit1244		blood	946	BLOOD		taɣo	t a ɣ o
39599	55750	transnewguineaorg-mountain-koiari	moun1252		blood	946	BLOOD		taho	t a h o
40910	57061	johanssonsoundsymbolic-Grasskoiari	gras1249		blowofwind	175	BLOW (OF WIND)		uhi	u h i
41361	57512	transnewguineaorg-ese	esee1247		blowofwind	175	BLOW (OF WIND)		huási	h u a s i
41362	57513	transnewguineaorg-ese	esee1247		blowofwind	175	BLOW (OF WIND)		ho	h o
41363	57514	transnewguineaorg-ese	esee1247		blowofwind	175	BLOW (OF WIND)		huasi	h u a s i
41364	57515	transnewguineaorg-ese	esee1247		blowofwind	175	BLOW (OF WIND)		h-o	h + o
41394	57545	transnewguineaorg-koitabu	koit1244		blowofwind	175	BLOW (OF WIND)		uhu-	u h u
41422	57573	transnewguineaorg-mountain-koiari	moun1252		blowofwind	175	BLOW (OF WIND)		uvu	u v u
41438	57589	transnewguineaorg-north-barai	nucl1630		blowofwind	175	BLOW (OF WIND)		ufi	u f i
