	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4001	20152	johanssonsoundsymbolic-Uduk	uduk1239		back	1291	BACK		apho	a pʰ o
5122	21273	johanssonsoundsymbolic-Uduk	uduk1239		bad	1292	BAD		t̪us	t̪ u s
8949	25100	johanssonsoundsymbolic-Uduk	uduk1239		bark	1204	BARK		ajiʔo	a j i ʔ o
13094	29245	johanssonsoundsymbolic-Uduk	uduk1239		bealive	1422	BE ALIVE		diki_e	d i k i + e
23000	39151	johanssonsoundsymbolic-Uduk	uduk1239		belly	1251	BELLY		buʃ	b u ʃ
28046	44197	johanssonsoundsymbolic-Uduk	uduk1239		big	1202	BIG		tʃaatʃa	tʃ aː tʃ a
32777	48928	johanssonsoundsymbolic-Uduk	uduk1239		bite	1403	BITE		wotʃʼ	w o tʃʼ
35392	51543	johanssonsoundsymbolic-Uduk	uduk1239		black	163	BLACK		d̪isd̪is	d̪ i s d̪ i s
38806	54957	johanssonsoundsymbolic-Uduk	uduk1239		blood	946	BLOOD		abas	a b a s
41010	57161	johanssonsoundsymbolic-Uduk	uduk1239		blowofwind	175	BLOW (OF WIND)		phi	pʰ i
43179	59330	johanssonsoundsymbolic-Uduk	uduk1239		blunt	379	BLUNT		tetʼwa	t e tʼ w a
47025	63176	johanssonsoundsymbolic-Uduk	uduk1239		bone	1394	BONE		asima	a s i m a
59021	75174	johanssonsoundsymbolic-Uduk	uduk1239		breathe	1407	BREATHE		ʃiin	ʃ iː n
91715	107868	johanssonsoundsymbolic-Uduk	uduk1239		cloud	1489	CLOUD		arakh	a r a kʰ
98969	115122	johanssonsoundsymbolic-Uduk	uduk1239		come	1446	COME		tʃet̪hi_pʼen	tʃ e t̪ʰ i + pʼ e n
104984	121137	johanssonsoundsymbolic-Uduk	uduk1239		correctright	1725	CORRECT (RIGHT)		khure	kʰ u r e
127193	143348	johanssonsoundsymbolic-Uduk	uduk1239		die	1494	DIE		wu	w u
131819	147974	johanssonsoundsymbolic-Uduk	uduk1239		dirty	1230	DIRTY		d̪orot̪ad̪orot̪ʼ	d̪ o r o t̪ a d̪ o r o t̪ʼ
142210	158365	johanssonsoundsymbolic-Uduk	uduk1239		drink	1401	DRINK		phi	pʰ i
145843	161998	johanssonsoundsymbolic-Uduk	uduk1239		dry	1398	DRY		khut̪ʼ	kʰ u t̪ʼ
151286	167441	johanssonsoundsymbolic-Uduk	uduk1239		ear	1247	EAR		oe	o e
156811	172966	johanssonsoundsymbolic-Uduk	uduk1239		eat	1336	EAT		ʃwa	ʃ w a
159110	175268	johanssonsoundsymbolic-Uduk	uduk1239		egg	744	EGG		aom	a o m
169691	185849	johanssonsoundsymbolic-Uduk	uduk1239		eye	1248	EYE		piɲa_e	p i ɲ a + e
173695	189854	johanssonsoundsymbolic-Uduk	uduk1239		fall	1280	FALL		tukh	t u kʰ
175961	192120	johanssonsoundsymbolic-Uduk	uduk1239		far	1406	FAR		nnii	nː iː
182160	198320	johanssonsoundsymbolic-Uduk	uduk1239		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		khwalaɲ	kʰ w a l a ɲ
185007	201167	johanssonsoundsymbolic-Uduk	uduk1239		feather	1201	FEATHER		dʒeʃe	dʒ e ʃ e
190034	222687	johanssonsoundsymbolic-Uduk	uduk1239		flower	239	FLOWER		uphe	u pʰ e
196286	228939	johanssonsoundsymbolic-Uduk	uduk1239		foot	1301	FOOT		ʃokʼ	ʃ o kʼ
202618	235271	johanssonsoundsymbolic-Uduk	uduk1239		four	1500	FOUR		doŋon	d o ŋ o n
214718	247371	johanssonsoundsymbolic-Uduk	uduk1239		give	1447	GIVE		paʃ	p a ʃ
220848	253504	johanssonsoundsymbolic-Uduk	uduk1239		good	1035	GOOD		boraɓor	b o r a ɓ o r
228626	261282	johanssonsoundsymbolic-Uduk	uduk1239		green	1425	GREEN		d̪iad̪i	d̪ i a d̪ i
234648	267304	johanssonsoundsymbolic-Uduk	uduk1239		hair	1040	HAIR		amur	a m u r
238491	271147	johanssonsoundsymbolic-Uduk	uduk1239		hand	1277	HAND		meɗ	m e ɗ
