	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
547	16698	leekoreanic-Gyeonggi	seou1239		at	1461	AT		e	e
548	16699	leekoreanic-Jeju	jeju1234		at	1461	AT		i	i
549	16700	leekoreanic-SJeolla	chol1278		at	1461	AT		i	i
762	16913	northeuralex-kor	kore1280		atfirst	2915	AT FIRST		cwecoɾo	c w e c o ɾ o
1040	17191	northeuralex-kor	kore1280		atthattime	2922	AT THAT TIME		kɯtt͈͈ɛe	k ɯ t t͈ ɛ e
1321	17472	northeuralex-kor	kore1280		august	2851	AUGUST		pʰalwʌl	pʰ a l w ʌ l
1495	17646	northeuralex-kor	kore1280		aunt	1272	AUNT		ad͡ʑumʌni	a dʑ u m ʌ n i
1763	17914	northeuralex-kor	kore1280		autumn	1276	AUTUMN		kɛul	k ɛ u l
4034	20185	leekoreanic-Gyeonggi	seou1239		back	1291	BACK		tɨŋ	t ɨ ŋ
4035	20186	leekoreanic-Jeju	jeju1234		back	1291	BACK		tɨŋ-ə-ri	t ɨ ŋ + ə + ɾ i
4036	20187	leekoreanic-NChungcheong	chun1247		back	1291	BACK		tɨŋ	t ɨ ŋ
4037	20188	leekoreanic-NPyongan	pyon1239		back	1291	BACK		twit-c'an-dɨŋ	t w i t + tɕ͈ a n + d ɨ ŋ
4038	20189	leekoreanic-SGyeongsang	kyon1247		back	1291	BACK		tɨŋ	t ɨ ŋ
4039	20190	leekoreanic-SHamgyong	hamg1238		back	1291	BACK		sa-di	s a + d i
4040	20191	leekoreanic-SJeolla	chol1278		back	1291	BACK		tɨŋ	t ɨ ŋ
4160	20311	northeuralex-kor	kore1280		back	1291	BACK		tɯn	t ɯ n
4481	20632	northeuralex-kor	kore1280		backdirection	2910	BACK (DIRECTION)		t͡ɕed͡ʑaɾiɾo	tɕ e dʑ a ɾ i ɾ o
4630	20781	northeuralex-kor	kore1280		backward	2911	BACKWARD		twiɾo	t w i ɾ o
5293	21444	northeuralex-kor	kore1280		bad	1292	BAD		napp͈͈ɯn	n a p p͈ ɯ n
5835	21986	northeuralex-kor	kore1280		badluck	56	BAD LUCK		pulɦɛŋ	p u l ɦ ɛ ŋ
6526	22677	leekoreanic-Gyeonggi	seou1239		badorevil	3764	BAD OR EVIL		na-pu-	n a + p u
6527	22678	leekoreanic-SJeolla	chol1278		badorevil	3764	BAD OR EVIL		ə-mək-	ə + m ə k
6731	22882	northeuralex-kor	kore1280		bag	2468	BAG		kabaŋ	k a b a ŋ
6904	23055	northeuralex-kor	kore1280		bake	183	BAKE		kʰupt͈͈a	kʰ u p t͈ a
9039	25190	leekoreanic-Gyeonggi	seou1239		bark	1204	BARK		k'ə-pul	k͈ ə + p u l
9040	25191	leekoreanic-Jeju	jeju1234		bark	1204	BARK		kaŋ-ma-gi	k a ŋ + m a + g i
9041	25192	leekoreanic-NChungcheong	chun1247		bark	1204	BARK		k'ə-pul	k͈ ə + p u l
9042	25193	leekoreanic-SGyeongsang	kyon1247		bark	1204	BARK		k'əp-te-gi	k͈ ə p + t e + g i
9043	25194	leekoreanic-SHamgyong	hamg1238		bark	1204	BARK		k'əp-cu-ri	k͈ ə p + tɕ u + ɾ i
9044	25195	leekoreanic-SJeolla	chol1278		bark	1204	BARK		k'əp-cil	k͈ ə p + tɕ i l
9155	25306	northeuralex-kor	kore1280		bark	1204	BARK		namukk͈͈ʌpt͡ɕ͈͈il	n a m u k k͈ ʌ p tɕ͈ i l
9655	25806	northeuralex-kor	kore1280		barking	1206	BARKING		t͡ɕit͡ɕta	tɕ i tɕ t a
11031	27182	northeuralex-kor	kore1280		bathe	138	BATHE		kamda	k a m d a
11471	27622	northeuralex-kor	kore1280		bay	663	BAY		çjʌmman	ç j ʌ m m a n
11980	28131	northeuralex-kor	kore1280		beable	972	BE ABLE		hald͡ʑuɾilda	h a l dʑ u ɾ i l d a
13122	29273	leekoreanic-Gyeonggi	seou1239		bealive	1422	BE ALIVE		sal-	s a l
13296	29447	northeuralex-kor	kore1280		bealive	1422	BE ALIVE		sʰalais͈nɯn	sʰ a l a i s͈ n ɯ n
13297	29448	northeuralex-kor	kore1280		bealive	1422	BE ALIVE		sʰalda	sʰ a l d a
14399	30550	northeuralex-kor	kore1280		beangry	2223	BE ANGRY		ɸʷwaɾɯlːɛɡe_hada	ɸʷ w a ɾ ɯ lː ɛ g e + h a d a
14725	30876	northeuralex-kor	kore1280		bear	1820	BEAR		kʰom	kʰ o m
15299	31450	northeuralex-kor	kore1280		beard	678	BEARD		sʰuʌm	sʰ u ʌ m
15941	32092	northeuralex-kor	kore1280		beautiful	1427	BEAUTIFUL		mʌtt͡ɕ͈in	m ʌ t tɕ͈ i n
16173	32324	northeuralex-kor	kore1280		beborn	1090	BE BORN		tʰɛʌnan	tʰ ɛ ʌ n a n
16405	32556	leekoreanic-Gyeonggi	seou1239		because	1157	BECAUSE		t'ɛ-mun	t͈ ɛ + m u n
16406	32557	leekoreanic-SJeolla	chol1278		because	1157	BECAUSE		t'am	t͈ a m
16597	32748	northeuralex-kor	kore1280		becauseof	2918	BECAUSE OF		tt͈͈ɛmune	t t͈ ɛ m u n e
16787	32938	northeuralex-kor	kore1280		become	1990	BECOME		tweda	t w e d a
17286	33437	northeuralex-kor	kore1280		bed	1663	BED		cimdɛ	c i m d ɛ
18333	34484	leekoreanic-Gyeonggi	seou1239		bedeadordie	2101	BE DEAD OR DIE		cuk-	tɕ u k
19444	35595	northeuralex-kor	kore1280		before	1882	BEFORE		miɾi	m i ɾ i
20177	36328	northeuralex-kor	kore1280		begin	1806	BEGIN		ɕʰid͡ʑakhada	ɕʰ i dʑ a k h a d a
20654	36805	northeuralex-kor	kore1280		behind	1686	BEHIND		twie	t w i e
