	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
547	16698	leekoreanic-Gyeonggi	seou1239		at	1461	AT		e	e
548	16699	leekoreanic-Jeju	jeju1234		at	1461	AT		i	i
549	16700	leekoreanic-SJeolla	chol1278		at	1461	AT		i	i
4034	20185	leekoreanic-Gyeonggi	seou1239		back	1291	BACK		tɨŋ	t ɨ ŋ
4035	20186	leekoreanic-Jeju	jeju1234		back	1291	BACK		tɨŋ-ə-ri	t ɨ ŋ + ə + ɾ i
4036	20187	leekoreanic-NChungcheong	chun1247		back	1291	BACK		tɨŋ	t ɨ ŋ
4037	20188	leekoreanic-NPyongan	pyon1239		back	1291	BACK		twit-c'an-dɨŋ	t w i t + tɕ͈ a n + d ɨ ŋ
4038	20189	leekoreanic-SGyeongsang	kyon1247		back	1291	BACK		tɨŋ	t ɨ ŋ
4039	20190	leekoreanic-SHamgyong	hamg1238		back	1291	BACK		sa-di	s a + d i
4040	20191	leekoreanic-SJeolla	chol1278		back	1291	BACK		tɨŋ	t ɨ ŋ
4160	20311	northeuralex-kor	kore1280		back	1291	BACK		tɯn	t ɯ n
5293	21444	northeuralex-kor	kore1280		bad	1292	BAD		napp͈͈ɯn	n a p p͈ ɯ n
9039	25190	leekoreanic-Gyeonggi	seou1239		bark	1204	BARK		k'ə-pul	k͈ ə + p u l
9040	25191	leekoreanic-Jeju	jeju1234		bark	1204	BARK		kaŋ-ma-gi	k a ŋ + m a + g i
9041	25192	leekoreanic-NChungcheong	chun1247		bark	1204	BARK		k'ə-pul	k͈ ə + p u l
9042	25193	leekoreanic-SGyeongsang	kyon1247		bark	1204	BARK		k'əp-te-gi	k͈ ə p + t e + g i
9043	25194	leekoreanic-SHamgyong	hamg1238		bark	1204	BARK		k'əp-cu-ri	k͈ ə p + tɕ u + ɾ i
9044	25195	leekoreanic-SJeolla	chol1278		bark	1204	BARK		k'əp-cil	k͈ ə p + tɕ i l
9155	25306	northeuralex-kor	kore1280		bark	1204	BARK		namukk͈͈ʌpt͡ɕ͈͈il	n a m u k k͈ ʌ p tɕ͈ i l
13122	29273	leekoreanic-Gyeonggi	seou1239		bealive	1422	BE ALIVE		sal-	s a l
13296	29447	northeuralex-kor	kore1280		bealive	1422	BE ALIVE		sʰalais͈nɯn	sʰ a l a i s͈ n ɯ n
13297	29448	northeuralex-kor	kore1280		bealive	1422	BE ALIVE		sʰalda	sʰ a l d a
16405	32556	leekoreanic-Gyeonggi	seou1239		because	1157	BECAUSE		t'ɛ-mun	t͈ ɛ + m u n
16406	32557	leekoreanic-SJeolla	chol1278		because	1157	BECAUSE		t'am	t͈ a m
23040	39191	leekoreanic-Gyeonggi	seou1239		belly	1251	BELLY		pɛ	p ɛ
23041	39192	leekoreanic-Jeju	jeju1234		belly	1251	BELLY		pɛ	p ɛ
23042	39193	leekoreanic-NChungcheong	chun1247		belly	1251	BELLY		pɛ	p ɛ
23043	39194	leekoreanic-NPyongan	pyon1239		belly	1251	BELLY		hə-buk	h ə + b u k
23044	39195	leekoreanic-SGyeongsang	kyon1247		belly	1251	BELLY		pɛ	p ɛ
23045	39196	leekoreanic-SHamgyong	hamg1238		belly	1251	BELLY		pɛ	p ɛ
23046	39197	leekoreanic-SJeolla	chol1278		belly	1251	BELLY		pɛ	p ɛ
23168	39319	northeuralex-kor	kore1280		belly	1251	BELLY		pɛ	p ɛ
25655	41806	northeuralex-kor	kore1280		berry	904	BERRY		t͡ɕaŋɡwa	tɕ a ŋ g w a
28148	44299	leekoreanic-Gyeonggi	seou1239		big	1202	BIG		kɨ-	k ɨ
28149	44300	leekoreanic-NChungcheong	chun1247		big	1202	BIG		kə-da-ra-	k ə + d a + ɾ a
28150	44301	leekoreanic-SGyeongsang	kyon1247		big	1202	BIG		kəŋ-k'e-na	k ə ŋ + k͈ e + n a
28151	44302	leekoreanic-SJeolla	chol1278		big	1202	BIG		ma-na-	m a + n a
28318	44469	northeuralex-kor	kore1280		big	1202	BIG		kxn	k x n
30522	46673	leekoreanic-Gyeonggi	seou1239		bird	937	BIRD		sɛ	s ɛ
30523	46674	leekoreanic-Jeju	jeju1234		bird	937	BIRD		sɛŋ-i	s ɛ ŋ + i
30524	46675	leekoreanic-NChungcheong	chun1247		bird	937	BIRD		sɛ	s ɛ
30525	46676	leekoreanic-NPyongan	pyon1239		bird	937	BIRD		sɛ	s ɛ
30526	46677	leekoreanic-SGyeongsang	kyon1247		bird	937	BIRD		sɛ	s ɛ
30527	46678	leekoreanic-SHamgyong	hamg1238		bird	937	BIRD		sɛ	s ɛ
30528	46679	leekoreanic-SJeolla	chol1278		bird	937	BIRD		sɛ	s ɛ
30658	46809	northeuralex-kor	kore1280		bird	937	BIRD		sʰɛ	sʰ ɛ
32877	49028	leekoreanic-Gyeonggi	seou1239		bite	1403	BITE		mul-	m u l
32999	49150	northeuralex-kor	kore1280		bite	1403	BITE		mulda	m u l d a
35493	51644	leekoreanic-Gyeonggi	seou1239		black	163	BLACK		k'əm-	k͈ ə m
35494	51645	leekoreanic-SGyeongsang	kyon1247		black	163	BLACK		si-k'u-mə-	s i + k͈ u + m ə
35495	51646	leekoreanic-SJeolla	chol1278		black	163	BLACK		k'əm-	k͈ ə m
35616	51767	northeuralex-kor	kore1280		black	163	BLACK		kʌmɯn	k ʌ m ɯ n
38907	55058	leekoreanic-Gyeonggi	seou1239		blood	946	BLOOD		pi	p i
39030	55181	northeuralex-kor	kore1280		blood	946	BLOOD		pʰi	pʰ i
41099	57250	leekoreanic-Gyeonggi	seou1239		blowofwind	175	BLOW (OF WIND)		pul-	p u l
41179	57330	northeuralex-kor	kore1280		blowofwind	175	BLOW (OF WIND)		pʰulda	pʰ u l d a
