	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
5374	21525	polyglottaafricana-Bakwe	bakw1243		bad	1292	BAD		ọ́ sedṣírīmo	o˞ + s e ɖʐ i r iː m o
5375	21526	polyglottaafricana-Bakwe	bakw1243		bad	1292	BAD		o nerī́dṣi	o + n e r iː ɖʐ i
5382	21533	polyglottaafricana-Bassa	nucl1418		bad	1292	BAD		ọ̄gbirḗnigi	o˞ː gb i r eː n i g i
5383	21534	polyglottaafricana-Bassa	nucl1418		bad	1292	BAD		o˞ː yí·rēgi	o˞ː + j i r eː g i
5397	21548	polyglottaafricana-Dewoin	dewo1238		bad	1292	BAD		ọ nyíri·	o˞ + n j i r i
5446	21597	polyglottaafricana-Klao	klao1243		bad	1292	BAD		ọ́nyīredṣī́e	o˞ n j iː r e ɖʐ iː e
5506	21657	polyglottaafricana-SouthernGrebo	sout2826		bad	1292	BAD		ẹ́nyirẹ́·nyīrọ·	e˞ n j i r e˞ n j iː r o˞
23245	39396	polyglottaafricana-Bakwe	bakw1243		belly	1251	BELLY		kúli	k u l i
23252	39403	polyglottaafricana-Bassa	nucl1418		belly	1251	BELLY		kúli	k u l i
23267	39418	polyglottaafricana-Dewoin	dewo1238		belly	1251	BELLY		kúri	k u r i
23316	39467	polyglottaafricana-Klao	klao1243		belly	1251	BELLY		kúli	k u l i
23376	39527	polyglottaafricana-SouthernGrebo	sout2826		belly	1251	BELLY		kúli	k u l i
28399	44550	polyglottaafricana-Bakwe	bakw1243		big	1202	BIG		ọ́ boai	o˞ + b o a i
28406	44557	polyglottaafricana-Bassa	nucl1418		big	1202	BIG		ọ bṓai	o˞ + b oː a i
28423	44574	polyglottaafricana-Dewoin	dewo1238		big	1202	BIG		ọ́buai·	o˞ b u a i
28474	44625	polyglottaafricana-Klao	klao1243		big	1202	BIG		ọ́ būa	o˞ + b uː a
28544	44695	polyglottaafricana-SouthernGrebo	sout2826		big	1202	BIG		ọ̄́ būa	o˞ː + b uː a
30737	46888	polyglottaafricana-Bakwe	bakw1243		bird	937	BIRD		nā́gbẹ	n aː gb e˞
30744	46895	polyglottaafricana-Bassa	nucl1418		bird	937	BIRD		na	n a
30757	46908	polyglottaafricana-Dewoin	dewo1238		bird	937	BIRD		no·	n o
30801	46952	polyglottaafricana-Klao	klao1243		bird	937	BIRD		némūẹ	n e m uː e˞
