	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3984	20135	johanssonsoundsymbolic-Soo	sooo1256		back	1291	BACK		su	s u
5103	21254	johanssonsoundsymbolic-Soo	sooo1256		bad	1292	BAD		ɲamʊg	ɲ a m ʊ g
8934	25085	johanssonsoundsymbolic-Soo	sooo1256		bark	1204	BARK		pɛs	p ɛ s
13076	29227	johanssonsoundsymbolic-Soo	sooo1256		bealive	1422	BE ALIVE		miog	m i o g
16374	32525	johanssonsoundsymbolic-Soo	sooo1256		because	1157	BECAUSE		ekun	e k u n
22981	39132	johanssonsoundsymbolic-Soo	sooo1256		belly	1251	BELLY		u	u
28025	44176	johanssonsoundsymbolic-Soo	sooo1256		big	1202	BIG		wa	w a
30401	46552	johanssonsoundsymbolic-Soo	sooo1256		bird	937	BIRD		ɠwek	ɠʷ e k
32757	48908	johanssonsoundsymbolic-Soo	sooo1256		bite	1403	BITE		gas	g a s
35372	51523	johanssonsoundsymbolic-Soo	sooo1256		black	163	BLACK		imam	i m a m
38785	54936	johanssonsoundsymbolic-Soo	sooo1256		blood	946	BLOOD		sɛ	s ɛ
40992	57143	johanssonsoundsymbolic-Soo	sooo1256		blowofwind	175	BLOW (OF WIND)		kʊt	k ʊ t
43166	59317	johanssonsoundsymbolic-Soo	sooo1256		blunt	379	BLUNT		mutuɲ	m u t u ɲ
59006	75159	johanssonsoundsymbolic-Soo	sooo1256		breathe	1407	BREATHE		ɪsɛŋ	ɪ s ɛ ŋ
91699	107852	johanssonsoundsymbolic-Soo	sooo1256		cloud	1489	CLOUD		tumus	t u m u s
98949	115102	johanssonsoundsymbolic-Soo	sooo1256		come	1446	COME		atʃ	a tʃ
104971	121124	johanssonsoundsymbolic-Soo	sooo1256		correctright	1725	CORRECT (RIGHT)		ɔkɔ	ɔ k ɔ
121889	138044	johanssonsoundsymbolic-Soo	sooo1256		daynotnight	1225	DAY (NOT NIGHT)		gi	g i
127172	143327	johanssonsoundsymbolic-Soo	sooo1256		die	1494	DIE		ɲal	ɲ a l
131805	147960	johanssonsoundsymbolic-Soo	sooo1256		dirty	1230	DIRTY		ɲamʊg	ɲ a m ʊ g
135721	151876	johanssonsoundsymbolic-Soo	sooo1256		dog	2009	DOG		kuɗo	k u ɗ o
142190	158345	johanssonsoundsymbolic-Soo	sooo1256		drink	1401	DRINK		wɛt	w ɛ t
145825	161980	johanssonsoundsymbolic-Soo	sooo1256		dry	1398	DRY		sɛgɛ	s ɛ g ɛ
148800	164955	johanssonsoundsymbolic-Soo	sooo1256		dust	2	DUST		apua	a p u a
151267	167422	johanssonsoundsymbolic-Soo	sooo1256		ear	1247	EAR		ɓes	ɓ e s
154186	170341	johanssonsoundsymbolic-Soo	sooo1256		earthsoil	1228	EARTH (SOIL)		gim	g i m
156790	172945	johanssonsoundsymbolic-Soo	sooo1256		eat	1336	EAT		gab	g a b
