	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3913	20064	johanssonsoundsymbolic-Juhoan	juho1239		back	1291	BACK		lʔo	l ʔ o
5029	21180	johanssonsoundsymbolic-Juhoan	juho1239		bad	1292	BAD		ǀkʼxʼau	ǀ kʼ xʼ a u
8868	25019	johanssonsoundsymbolic-Juhoan	juho1239		bark	1204	BARK		ᵑǁoʕʔoro	ⁿǁ o ʕ ʔ o r o
13009	29160	johanssonsoundsymbolic-Juhoan	juho1239		bealive	1422	BE ALIVE		ǀxoa	ǀ x o a
16330	32481	johanssonsoundsymbolic-Juhoan	juho1239		because	1157	BECAUSE		khama	kʰ a m a
22904	39055	johanssonsoundsymbolic-Juhoan	juho1239		belly	1251	BELLY		ᶢ!u	gǃ u
27945	44096	johanssonsoundsymbolic-Juhoan	juho1239		big	1202	BIG		ᵑ!aʔan	ⁿǃ a ʔ a n
30331	46482	johanssonsoundsymbolic-Juhoan	juho1239		bird	937	BIRD		tzama	t z a m a
32680	48831	johanssonsoundsymbolic-Juhoan	juho1239		bite	1403	BITE		ᵑ!ai	ⁿǃ a i
35296	51447	johanssonsoundsymbolic-Juhoan	juho1239		black	163	BLACK		ᵑǂu	ⁿǂ u
38706	54857	johanssonsoundsymbolic-Juhoan	juho1239		blood	946	BLOOD		ǀʔang	ǀ ʔ a n g
40925	57076	johanssonsoundsymbolic-Juhoan	juho1239		blowofwind	175	BLOW (OF WIND)		dʃhuun	d ʃʰ uː n
43110	59261	johanssonsoundsymbolic-Juhoan	juho1239		blunt	379	BLUNT		dʃo	d ʃ o
46936	63087	johanssonsoundsymbolic-Juhoan	juho1239		bone	1394	BONE		!ʔu	ǃʔ u
58945	75098	johanssonsoundsymbolic-Juhoan	juho1239		breathe	1407	BREATHE		ᵑǀhuin	ⁿǀʰ u i n
