	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
28718	44869	transnewguineaorg-awera	awer1241		big	1202	BIG		wiɾa	w i ɾ a
28739	44890	transnewguineaorg-biritai	biri1259		big	1202	BIG		esɔke	e s ɔ k e
28771	44922	transnewguineaorg-doutai	dout1240		big	1202	BIG		kɾaio-ɾi	k ɾ a i o + ɾ i
28774	44925	transnewguineaorg-duvle	duvl1242		big	1202	BIG		kobuɾo_vɾɛ	k o b u ɾ o + v ɾ ɛ
28775	44926	transnewguineaorg-edopi	edop1238		big	1202	BIG		ahaɾa-beyi	a h a ɾ a + b e j i
28780	44931	transnewguineaorg-eritai	erit1239		big	1202	BIG		sokuokwei	s o k u o k w e i
28787	44938	transnewguineaorg-fayu	fayu1238		big	1202	BIG		ɣuti	ɣ u t i
28814	44965	transnewguineaorg-iau	iauu1242		big	1202	BIG		isi-bɛ	i s i + b ɛ
28820	44971	transnewguineaorg-kaiy	kaiy1239		big	1202	BIG		kɾaioɾi	k ɾ a i o ɾ i
28837	44988	transnewguineaorg-kirikiri	kiri1256		big	1202	BIG		ɸiɾe	ɸ i ɾ e
28905	45056	transnewguineaorg-obokuitai	obok1239		big	1202	BIG		akaig̚so	a k a i g̚ s o
28931	45082	transnewguineaorg-rasawa	rasa1243		big	1202	BIG		pu	p u
28942	45093	transnewguineaorg-saponi	sapo1254		big	1202	BIG		puwɔ	p u w ɔ
28951	45102	transnewguineaorg-sikaritai	sika1263		big	1202	BIG		kuɛg̚	k u ɛ g̚
28969	45120	transnewguineaorg-tause	taus1252		big	1202	BIG		kliβo	k l i β o
28996	45147	transnewguineaorg-waritai	wari1264		big	1202	BIG		boku^o-ɾi	b o k u o + ɾ i
31053	47204	transnewguineaorg-awera	awer1241		bird	937	BIRD		aɾi	a ɾ i
31080	47231	transnewguineaorg-biritai	biri1259		bird	937	BIRD		du	d u
31111	47262	transnewguineaorg-doutai	dout1240		bird	937	BIRD		du	d u
31112	47263	transnewguineaorg-doutai	dout1240		bird	937	BIRD		du	d u
31115	47266	transnewguineaorg-duvle	duvl1242		bird	937	BIRD		fuɾa	f u ɾ a
31116	47267	transnewguineaorg-edopi	edop1238		bird	937	BIRD		dɛsi_tou	d ɛ s i + t o u
31120	47271	transnewguineaorg-eritai	erit1239		bird	937	BIRD		du	d u
31121	47272	transnewguineaorg-eritai	erit1239		bird	937	BIRD		du	d u
31132	47283	transnewguineaorg-fayu	fayu1238		bird	937	BIRD		au	a u
31157	47308	transnewguineaorg-iau	iauu1242		bird	937	BIRD		dusi	d u s i
31163	47314	transnewguineaorg-kaiy	kaiy1239		bird	937	BIRD		du	d u
31164	47315	transnewguineaorg-kaiy	kaiy1239		bird	937	BIRD		du	d u
31179	47330	transnewguineaorg-kirikiri	kiri1256		bird	937	BIRD		du	d u
31256	47407	transnewguineaorg-obokuitai	obok1239		bird	937	BIRD		du	d u
31283	47434	transnewguineaorg-rasawa	rasa1243		bird	937	BIRD		beβo	b e β o
31293	47444	transnewguineaorg-saponi	sapo1254		bird	937	BIRD		kɔɾɛ	k ɔ ɾ ɛ
31303	47454	transnewguineaorg-sikaritai	sika1263		bird	937	BIRD		du	d u
31319	47470	transnewguineaorg-tause	taus1252		bird	937	BIRD		ndu	n d u
31352	47503	transnewguineaorg-waritai	wari1264		bird	937	BIRD		tu	t u
31353	47504	transnewguineaorg-waritai	wari1264		bird	937	BIRD		tu	t u
33203	49354	transnewguineaorg-awera	awer1241		bite	1403	BITE		owi	o w i
33222	49373	transnewguineaorg-biritai	biri1259		bite	1403	BITE		daka	d a k a
33247	49398	transnewguineaorg-doutai	dout1240		bite	1403	BITE		bou-wa	b o u + w a
33250	49401	transnewguineaorg-duvle	duvl1242		bite	1403	BITE		bo_bi	b o + b i
33251	49402	transnewguineaorg-edopi	edop1238		bite	1403	BITE		palai	p a l a i
33253	49404	transnewguineaorg-eritai	erit1239		bite	1403	BITE		boɾu-ku	b o ɾ u + k u
33282	49433	transnewguineaorg-iau	iauu1242		bite	1403	BITE		sa	s a
33288	49439	transnewguineaorg-kaiy	kaiy1239		bite	1403	BITE		bouɾu-wa	b o u ɾ u + w a
33302	49453	transnewguineaorg-kirikiri	kiri1256		bite	1403	BITE		sa	s a
33366	49517	transnewguineaorg-obokuitai	obok1239		bite	1403	BITE		boɾu-kwa	b o ɾ u + k w a
33389	49540	transnewguineaorg-rasawa	rasa1243		bite	1403	BITE		tɾiɾo	t ɾ i ɾ o
33398	49549	transnewguineaorg-saponi	sapo1254		bite	1403	BITE		kiwawo	k i w a w o
33406	49557	transnewguineaorg-sikaritai	sika1263		bite	1403	BITE		bodoa	b o d o a
33424	49575	transnewguineaorg-tause	taus1252		bite	1403	BITE		doβɾio	d o β ɾ i o
33452	49603	transnewguineaorg-waritai	wari1264		bite	1403	BITE		boudi-wa	b o u d i + w a
39426	55577	transnewguineaorg-awera	awer1241		blood	946	BLOOD		oβu	o β u
39452	55603	transnewguineaorg-biritai	biri1259		blood	946	BLOOD		du	d u
39485	55636	transnewguineaorg-doutai	dout1240		blood	946	BLOOD		sai	s a i
39486	55637	transnewguineaorg-doutai	dout1240		blood	946	BLOOD		sai^	s a i
39489	55640	transnewguineaorg-duvle	duvl1242		blood	946	BLOOD		sæⁱɾɛ	s æi ɾ ɛ
39490	55641	transnewguineaorg-edopi	edop1238		blood	946	BLOOD		auɾai	a u ɾ a i
39494	55645	transnewguineaorg-eritai	erit1239		blood	946	BLOOD		sai	s a i
39495	55646	transnewguineaorg-eritai	erit1239		blood	946	BLOOD		said̚	s a i d̚
39502	55653	transnewguineaorg-fayu	fayu1238		blood	946	BLOOD		kaɾe	k a ɾ e
39526	55677	transnewguineaorg-iau	iauu1242		blood	946	BLOOD		oe	o e
39532	55683	transnewguineaorg-kaiy	kaiy1239		blood	946	BLOOD		sai	s a i
39533	55684	transnewguineaorg-kaiy	kaiy1239		blood	946	BLOOD		sai^	s a i
39550	55701	transnewguineaorg-kirikiri	kiri1256		blood	946	BLOOD		klu	k l u
39619	55770	transnewguineaorg-obokuitai	obok1239		blood	946	BLOOD		saig̚	s a i g̚
39643	55794	transnewguineaorg-rasawa	rasa1243		blood	946	BLOOD		uːyo	uː j o
