	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
444	16595	constenlachibchan-LencaHonduras	lenc1243		at	1461	AT		ap	a p
445	16596	constenlachibchan-LencaSalvador	lenc1242		at	1461	AT		k'ati	k a t i
4817	20968	constenlachibchan-LencaHonduras	lenc1243		bad	1292	BAD		kiauɾu	k i a u ɾ u
4818	20969	constenlachibchan-LencaSalvador	lenc1242		bad	1292	BAD		ʃamtoa	ʃ a m t o a
8675	24826	constenlachibchan-LencaHonduras	lenc1243		bark	1204	BARK		jos	j o s
8676	24827	constenlachibchan-LencaSalvador	lenc1242		bark	1204	BARK		ts'ats'a	t s a t s a
27629	43780	constenlachibchan-LencaHonduras	lenc1243		big	1202	BIG		puki	p u k i
27630	43781	constenlachibchan-LencaSalvador	lenc1242		big	1202	BIG		puka	p u k a
30032	46183	constenlachibchan-LencaHonduras	lenc1243		bird	937	BIRD		siɾa	s i ɾ a
30033	46184	constenlachibchan-LencaSalvador	lenc1242		bird	937	BIRD		ts'imts'im	t s i m t s i m
32364	48515	constenlachibchan-LencaHonduras	lenc1243		bite	1403	BITE		kaj	k a j
32365	48516	constenlachibchan-LencaSalvador	lenc1242		bite	1403	BITE		ti	t i
35016	51167	constenlachibchan-LencaHonduras	lenc1243		black	163	BLACK		siɾi	s i ɾ i
35017	51168	constenlachibchan-LencaSalvador	lenc1242		black	163	BLACK		sinka	s i n k a
38450	54601	constenlachibchan-LencaHonduras	lenc1243		blood	946	BLOOD		wek	w e k
38451	54602	constenlachibchan-LencaSalvador	lenc1242		blood	946	BLOOD		ala	a l a
46664	62815	constenlachibchan-LencaHonduras	lenc1243		bone	1394	BONE		sek	s e k
46665	62816	constenlachibchan-LencaSalvador	lenc1242		bone	1394	BONE		ts'eh	t s e h
56742	72895	constenlachibchan-LencaHonduras	lenc1243		breast	1402	BREAST		palaN	p a l a n
56743	72896	constenlachibchan-LencaSalvador	lenc1242		breast	1402	BREAST		ts'ukiN	t s u k i n
83156	99309	constenlachibchan-LencaHonduras	lenc1243		child	2099	CHILD		wewe	w e w e
83157	99310	constenlachibchan-LencaSalvador	lenc1242		child	2099	CHILD		wewe	w e w e
90275	106428	constenlachibchan-LencaHonduras	lenc1243		clothes	1895	CLOTHES		loronina	l o r o n i n a
90276	106429	constenlachibchan-LencaSalvador	lenc1242		clothes	1895	CLOTHES		lamtara	l a m t a r a
91337	107490	constenlachibchan-LencaHonduras	lenc1243		cloud	1489	CLOUD		tsopata	t s o p a t a
91338	107491	constenlachibchan-LencaSalvador	lenc1242		cloud	1489	CLOUD		ts'upa	t s u p a
94934	111087	constenlachibchan-LencaHonduras	lenc1243		cold	1287	COLD		miti	m i t i
94935	111088	constenlachibchan-LencaSalvador	lenc1242		cold	1287	COLD		ts'ana	t s a n a
98555	114708	constenlachibchan-LencaHonduras	lenc1243		come	1446	COME		pu	p u
98556	114709	constenlachibchan-LencaSalvador	lenc1242		come	1446	COME		po	p o
