	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8675	24826	constenlachibchan-LencaHonduras	lenc1243		bark	1204	BARK		jos	j o s
8676	24827	constenlachibchan-LencaSalvador	lenc1242		bark	1204	BARK		ts'ats'a	t s a t s a
27629	43780	constenlachibchan-LencaHonduras	lenc1243		big	1202	BIG		puki	p u k i
27630	43781	constenlachibchan-LencaSalvador	lenc1242		big	1202	BIG		puka	p u k a
30032	46183	constenlachibchan-LencaHonduras	lenc1243		bird	937	BIRD		siɾa	s i ɾ a
30033	46184	constenlachibchan-LencaSalvador	lenc1242		bird	937	BIRD		ts'imts'im	t s i m t s i m
32364	48515	constenlachibchan-LencaHonduras	lenc1243		bite	1403	BITE		kaj	k a j
32365	48516	constenlachibchan-LencaSalvador	lenc1242		bite	1403	BITE		ti	t i
35016	51167	constenlachibchan-LencaHonduras	lenc1243		black	163	BLACK		siɾi	s i ɾ i
35017	51168	constenlachibchan-LencaSalvador	lenc1242		black	163	BLACK		sinka	s i n k a
38450	54601	constenlachibchan-LencaHonduras	lenc1243		blood	946	BLOOD		wek	w e k
38451	54602	constenlachibchan-LencaSalvador	lenc1242		blood	946	BLOOD		ala	a l a
46664	62815	constenlachibchan-LencaHonduras	lenc1243		bone	1394	BONE		sek	s e k
46665	62816	constenlachibchan-LencaSalvador	lenc1242		bone	1394	BONE		ts'eh	t s e h
56742	72895	constenlachibchan-LencaHonduras	lenc1243		breast	1402	BREAST		palaN	p a l a n
56743	72896	constenlachibchan-LencaSalvador	lenc1242		breast	1402	BREAST		ts'ukiN	t s u k i n
91337	107490	constenlachibchan-LencaHonduras	lenc1243		cloud	1489	CLOUD		tsopata	t s o p a t a
91338	107491	constenlachibchan-LencaSalvador	lenc1242		cloud	1489	CLOUD		ts'upa	t s u p a
94934	111087	constenlachibchan-LencaHonduras	lenc1243		cold	1287	COLD		miti	m i t i
94935	111088	constenlachibchan-LencaSalvador	lenc1242		cold	1287	COLD		ts'ana	t s a n a
98555	114708	constenlachibchan-LencaHonduras	lenc1243		come	1446	COME		pu	p u
98556	114709	constenlachibchan-LencaSalvador	lenc1242		come	1446	COME		po	p o
135371	151526	constenlachibchan-LencaHonduras	lenc1243		dog	2009	DOG		suj	s u j
135372	151527	constenlachibchan-LencaSalvador	lenc1242		dog	2009	DOG		ʃuʃu	ʃ u ʃ u
141837	157992	constenlachibchan-LencaHonduras	lenc1243		drink	1401	DRINK		tal	t a l
141838	157993	constenlachibchan-LencaSalvador	lenc1242		drink	1401	DRINK		tali	t a l i
145470	161625	constenlachibchan-LencaHonduras	lenc1243		dry	1398	DRY		sawa	s a w a
145471	161626	constenlachibchan-LencaSalvador	lenc1242		dry	1398	DRY		tina	t i n a
150925	167080	constenlachibchan-LencaHonduras	lenc1243		ear	1247	EAR		jaN	j a n
150926	167081	constenlachibchan-LencaSalvador	lenc1242		ear	1247	EAR		tokoro	t o k o r o
153897	170052	constenlachibchan-LencaHonduras	lenc1243		earthsoil	1228	EARTH (SOIL)		lum	l u m
153898	170053	constenlachibchan-LencaSalvador	lenc1242		earthsoil	1228	EARTH (SOIL)		omoN	o m o n
156400	172555	constenlachibchan-LencaHonduras	lenc1243		eat	1336	EAT		koɾ	k o ɾ
156401	172556	constenlachibchan-LencaSalvador	lenc1242		eat	1336	EAT		rom	r o m
169306	185464	constenlachibchan-LencaHonduras	lenc1243		eye	1248	EYE		sarin	s a r i n
169307	185465	constenlachibchan-LencaSalvador	lenc1242		eye	1248	EYE		sap	s a p
184774	200934	constenlachibchan-LencaHonduras	lenc1243		feather	1201	FEATHER		suk	s u k
184775	200935	constenlachibchan-LencaSalvador	lenc1242		feather	1201	FEATHER		ʃumah	ʃ u m a h
195939	228592	constenlachibchan-LencaHonduras	lenc1243		foot	1301	FOOT		gwal	g w a l
195940	228593	constenlachibchan-LencaSalvador	lenc1242		foot	1301	FOOT		waʃaka	w a ʃ a k a
214334	246987	constenlachibchan-LencaHonduras	lenc1243		give	1447	GIVE		jaɾ	j a ɾ
214335	246988	constenlachibchan-LencaSalvador	lenc1242		give	1447	GIVE		mik	m i k
220450	253106	constenlachibchan-LencaHonduras	lenc1243		good	1035	GOOD		sa	s a
220451	253107	constenlachibchan-LencaSalvador	lenc1242		good	1035	GOOD		ʃam	ʃ a m
228324	260980	constenlachibchan-LencaHonduras	lenc1243		green	1425	GREEN		siga	s i g a
228325	260981	constenlachibchan-LencaSalvador	lenc1242		green	1425	GREEN		ts'ahjaN	t s a h j a n
234424	267080	constenlachibchan-LencaHonduras	lenc1243		hair	1040	HAIR		asa	a s a
234425	267081	constenlachibchan-LencaSalvador	lenc1242		hair	1040	HAIR		alah	a l a h
238117	270773	constenlachibchan-LencaHonduras	lenc1243		hand	1277	HAND		kulala	k u l a l a
238118	270774	constenlachibchan-LencaSalvador	lenc1242		hand	1277	HAND		koʃaka	k o ʃ a k a
243687	276344	constenlachibchan-LencaHonduras	lenc1243		head	1256	HEAD		tɾoh	t ɾ o h
243688	276345	constenlachibchan-LencaSalvador	lenc1242		head	1256	HEAD		oso	o s o
246647	279304	constenlachibchan-LencaHonduras	lenc1243		hear	1408	HEAR		en	e n
246648	279305	constenlachibchan-LencaSalvador	lenc1242		hear	1408	HEAR		eni	e n i
266133	298793	constenlachibchan-LencaHonduras	lenc1243		hotorwarm	2272	HOT OR WARM		siwa	s i w a
266134	298794	constenlachibchan-LencaSalvador	lenc1242		hotorwarm	2272	HOT OR WARM		aʃa	a ʃ a
274477	307137	constenlachibchan-LencaHonduras	lenc1243		i	1209	I		unan	u n a n
274478	307138	constenlachibchan-LencaSalvador	lenc1242		i	1209	I		unani	u n a n i
287293	319953	constenlachibchan-LencaHonduras	lenc1243		kill	1417	KILL		kas	k a s
287294	319954	constenlachibchan-LencaSalvador	lenc1242		kill	1417	KILL		ʃil	ʃ i l
294233	326893	constenlachibchan-LencaHonduras	lenc1243		knowsomething	1410	KNOW (SOMETHING)		tis	t i s
294234	326894	constenlachibchan-LencaSalvador	lenc1242		knowsomething	1410	KNOW (SOMETHING)		ti	t i
301886	334546	constenlachibchan-LencaHonduras	lenc1243		leaf	628	LEAF		wala	w a l a
301887	334547	constenlachibchan-LencaSalvador	lenc1242		leaf	628	LEAF		aw	a w
316729	349389	constenlachibchan-LencaHonduras	lenc1243		liver	1224	LIVER		musu	m u s u
316730	349390	constenlachibchan-LencaSalvador	lenc1242		liver	1224	LIVER		muts'u	m u t s u
319598	352258	constenlachibchan-LencaHonduras	lenc1243		long	1203	LONG		kasi	k a s i
319599	352259	constenlachibchan-LencaSalvador	lenc1242		long	1203	LONG		kota	k o t a
330158	362819	constenlachibchan-LencaHonduras	lenc1243		man	1554	MAN		misu	m i s u
330159	362820	constenlachibchan-LencaSalvador	lenc1242		man	1554	MAN		iʃku	i ʃ k u
344149	376810	constenlachibchan-LencaHonduras	lenc1243		moon	1313	MOON		mesti	m e s t i
344150	376811	constenlachibchan-LencaSalvador	lenc1242		moon	1313	MOON		lets'a	l e t s a
350659	383323	constenlachibchan-LencaHonduras	lenc1243		mountain	639	MOUNTAIN		kotaN	k o t a n
350660	383324	constenlachibchan-LencaSalvador	lenc1242		mountain	639	MOUNTAIN		kotaN	k o t a n
353188	385852	constenlachibchan-LencaHonduras	lenc1243		mouth	674	MOUTH		in	i n
