	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3928	20079	johanssonsoundsymbolic-Limilngan	nucl1327		back	1291	BACK		ʊɭkkʊɭkk	ʊ ɭ kː ʊ ɭ kː
5046	21197	johanssonsoundsymbolic-Limilngan	nucl1327		bad	1292	BAD		makkajan	m a kː a j a n
13024	29175	johanssonsoundsymbolic-Limilngan	nucl1327		bealive	1422	BE ALIVE		pʊlŋan	p ʊ l ŋ a n
19271	35422	johanssonsoundsymbolic-Limilngan	nucl1327		before	1882	BEFORE		dinŋakɪ	d i n ŋ a k ɪ
20506	36657	johanssonsoundsymbolic-Limilngan	nucl1327		behind	1686	BEHIND		alkkɪcɪ	a l kː ɪ c ɪ
22922	39073	johanssonsoundsymbolic-Limilngan	nucl1327		belly	1251	BELLY		um	u m
26491	42642	johanssonsoundsymbolic-Limilngan	nucl1327		between	689	BETWEEN		diɾikkiɾʊkk	d i ɾ i kː i ɾ ʊ kː
27965	44116	johanssonsoundsymbolic-Limilngan	nucl1327		big	1202	BIG		alkkan	a l kː a n
32699	48850	johanssonsoundsymbolic-Limilngan	nucl1327		bite	1403	BITE		wa	w a
33835	49986	johanssonsoundsymbolic-Limilngan	nucl1327		bitter	887	BITTER		lɪɲajan	l ɪ ɲ a j a n
35313	51464	johanssonsoundsymbolic-Limilngan	nucl1327		black	163	BLACK		akɪan	a k ɪ a n
38725	54876	johanssonsoundsymbolic-Limilngan	nucl1327		blood	946	BLOOD		makkpaŋɪ	m a kː p a ŋ ɪ
46955	63106	johanssonsoundsymbolic-Limilngan	nucl1327		bone	1394	BONE		ampiɾiwiɭʊɭ	a m p i ɾ i w i ɭ ʊ ɭ
51535	67686	johanssonsoundsymbolic-Limilngan	nucl1327		boy	1366	BOY		amiŋan	a m i ŋ a n
52929	69080	johanssonsoundsymbolic-Limilngan	nucl1327		brain	1583	BRAIN		ʊwaɾkkpɪ	ʊ w a ɾ kː p ɪ
57038	73191	johanssonsoundsymbolic-Limilngan	nucl1327		breast	1402	BREAST		ʊjʊŋ	ʊ j ʊ ŋ
64508	80661	johanssonsoundsymbolic-Limilngan	nucl1327		burn	2102	BURN		nikɪ	n i k ɪ
67815	83968	johanssonsoundsymbolic-Limilngan	nucl1327		buttocks	834	BUTTOCKS		mʊkk	m ʊ kː
73012	89165	johanssonsoundsymbolic-Limilngan	nucl1327		carry	700	CARRY		pimɪɲmʊ	p i m ɪ ɲ m ʊ
91646	107799	johanssonsoundsymbolic-Limilngan	nucl1327		cloud	1489	CLOUD		imiɳnaɾ	i m i ɳ n a ɾ
95228	111381	johanssonsoundsymbolic-Limilngan	nucl1327		cold	1287	COLD		imiɾinan	i m i ɾ i n a n
98893	115046	johanssonsoundsymbolic-Limilngan	nucl1327		come	1446	COME		ɪcɪ	ɪ c ɪ
106020	122173	johanssonsoundsymbolic-Limilngan	nucl1327		cough	879	COUGH		limɪcɪ	l i m ɪ c ɪ
113000	129153	johanssonsoundsymbolic-Limilngan	nucl1327		cry	1839	CRY		aɳu	a ɳ u
124264	140419	johanssonsoundsymbolic-Limilngan	nucl1327		deep	1593	DEEP		ɪɲajan	ɪ ɲ a j a n
127114	143269	johanssonsoundsymbolic-Limilngan	nucl1327		die	1494	DIE		anpɪɪ	a n p ɪː
134224	150379	johanssonsoundsymbolic-Limilngan	nucl1327		do	813	DO		amɪ	a m ɪ
135666	151821	johanssonsoundsymbolic-Limilngan	nucl1327		dog	2009	DOG		ŋilɪɪ	ŋ i l ɪː
142131	158286	johanssonsoundsymbolic-Limilngan	nucl1327		drink	1401	DRINK		mʊkkpɪɲa	m ʊ kː p ɪ ɲ a
148747	164902	johanssonsoundsymbolic-Limilngan	nucl1327		dust	2	DUST		ɪin	ɪ i n
151209	167364	johanssonsoundsymbolic-Limilngan	nucl1327		ear	1247	EAR		aɭʊɭ	a ɭ ʊ ɭ
154129	170284	johanssonsoundsymbolic-Limilngan	nucl1327		earthsoil	1228	EARTH (SOIL)		ilʊkk	i l ʊ kː
156732	172887	johanssonsoundsymbolic-Limilngan	nucl1327		eat	1336	EAT		mʊkkpɪɲa	m ʊ kː p ɪ ɲ a
159042	175200	johanssonsoundsymbolic-Limilngan	nucl1327		egg	744	EGG		ʊmʊnŋajan	ʊ m ʊ n ŋ a j a n
169613	185771	johanssonsoundsymbolic-Limilngan	nucl1327		eye	1248	EYE		mʊmaɻalkk	m ʊ m a ɻ a l kː
173616	189775	johanssonsoundsymbolic-Limilngan	nucl1327		fall	1280	FALL		ʊlʊka	ʊ l ʊ k a
175887	192046	johanssonsoundsymbolic-Limilngan	nucl1327		far	1406	FAR		ampʊkk	a m p ʊ kː
177466	193625	johanssonsoundsymbolic-Limilngan	nucl1327		fast	1631	FAST		ilikan	i l i k a n
182095	198255	johanssonsoundsymbolic-Limilngan	nucl1327		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ladlɪ	l a d l ɪ
184936	201096	johanssonsoundsymbolic-Limilngan	nucl1327		feather	1201	FEATHER		lʊmʊlkkpan	l ʊ m ʊ l kː p a n
189969	222622	johanssonsoundsymbolic-Limilngan	nucl1327		flower	239	FLOWER		mimilŋan	m i m i l ŋ a n
192890	225543	johanssonsoundsymbolic-Limilngan	nucl1327		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		laiʎkkɪ	l a i ʎ kː ɪ
196209	228862	johanssonsoundsymbolic-Limilngan	nucl1327		foot	1301	FOOT		imal	i m a l
209305	241958	johanssonsoundsymbolic-Limilngan	nucl1327		full	1429	FULL		anpɪɲma	a n p ɪ ɲ m a
214641	247294	johanssonsoundsymbolic-Limilngan	nucl1327		give	1447	GIVE		ɪɲmʊldɪ	ɪ ɲ m ʊ l d ɪ
216999	249652	johanssonsoundsymbolic-Limilngan	nucl1327		go	695	GO		a	a
220769	253425	johanssonsoundsymbolic-Limilngan	nucl1327		good	1035	GOOD		linan	l i n a n
226209	258865	johanssonsoundsymbolic-Limilngan	nucl1327		grass	606	GRASS		mamɪɪ	m a m ɪː
231479	264135	johanssonsoundsymbolic-Limilngan	nucl1327		grow	479	GROW		inɪɲu	i n ɪ ɲ u
