	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
22922	39073	johanssonsoundsymbolic-Limilngan	nucl1327		belly	1251	BELLY		um	u m
27965	44116	johanssonsoundsymbolic-Limilngan	nucl1327		big	1202	BIG		alkkan	a l kː a n
32699	48850	johanssonsoundsymbolic-Limilngan	nucl1327		bite	1403	BITE		wa	w a
35313	51464	johanssonsoundsymbolic-Limilngan	nucl1327		black	163	BLACK		akɪan	a k ɪ a n
38725	54876	johanssonsoundsymbolic-Limilngan	nucl1327		blood	946	BLOOD		makkpaŋɪ	m a kː p a ŋ ɪ
46955	63106	johanssonsoundsymbolic-Limilngan	nucl1327		bone	1394	BONE		ampiɾiwiɭʊɭ	a m p i ɾ i w i ɭ ʊ ɭ
57038	73191	johanssonsoundsymbolic-Limilngan	nucl1327		breast	1402	BREAST		ʊjʊŋ	ʊ j ʊ ŋ
64508	80661	johanssonsoundsymbolic-Limilngan	nucl1327		burn	2102	BURN		nikɪ	n i k ɪ
91646	107799	johanssonsoundsymbolic-Limilngan	nucl1327		cloud	1489	CLOUD		imiɳnaɾ	i m i ɳ n a ɾ
95228	111381	johanssonsoundsymbolic-Limilngan	nucl1327		cold	1287	COLD		imiɾinan	i m i ɾ i n a n
98893	115046	johanssonsoundsymbolic-Limilngan	nucl1327		come	1446	COME		ɪcɪ	ɪ c ɪ
127114	143269	johanssonsoundsymbolic-Limilngan	nucl1327		die	1494	DIE		anpɪɪ	a n p ɪː
135666	151821	johanssonsoundsymbolic-Limilngan	nucl1327		dog	2009	DOG		ŋilɪɪ	ŋ i l ɪː
142131	158286	johanssonsoundsymbolic-Limilngan	nucl1327		drink	1401	DRINK		mʊkkpɪɲa	m ʊ kː p ɪ ɲ a
151209	167364	johanssonsoundsymbolic-Limilngan	nucl1327		ear	1247	EAR		aɭʊɭ	a ɭ ʊ ɭ
154129	170284	johanssonsoundsymbolic-Limilngan	nucl1327		earthsoil	1228	EARTH (SOIL)		ilʊkk	i l ʊ kː
156732	172887	johanssonsoundsymbolic-Limilngan	nucl1327		eat	1336	EAT		mʊkkpɪɲa	m ʊ kː p ɪ ɲ a
159042	175200	johanssonsoundsymbolic-Limilngan	nucl1327		egg	744	EGG		ʊmʊnŋajan	ʊ m ʊ n ŋ a j a n
169613	185771	johanssonsoundsymbolic-Limilngan	nucl1327		eye	1248	EYE		mʊmaɻalkk	m ʊ m a ɻ a l kː
182095	198255	johanssonsoundsymbolic-Limilngan	nucl1327		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ladlɪ	l a d l ɪ
184936	201096	johanssonsoundsymbolic-Limilngan	nucl1327		feather	1201	FEATHER		lʊmʊlkkpan	l ʊ m ʊ l kː p a n
