	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
2935	19086	transnewguineaorg-angoram	ango1255		baby	1289	BABY		romakkn	r o m a kː n
2945	19096	transnewguineaorg-chambri	cham1313		baby	1289	BABY		'lɩmenənkʰořəkʰenən	l ɪ m e n ə n kʰ o r̝ ə kʰ e n ə n
2946	19097	transnewguineaorg-chambri	cham1313		baby	1289	BABY		konan	k o n a n
2947	19098	transnewguineaorg-chambri	cham1313		baby	1289	BABY		pisanim	p i s a n i m
2967	19118	transnewguineaorg-kopar-singarin	kopa1248		baby	1289	BABY		ˈtsɛmentʰiŋkʰ	ts ɛ m e n tʰ i ŋ kʰ
2968	19119	transnewguineaorg-kopar-singarin	kopa1248		baby	1289	BABY		'tsɛmentʰiŋkʰ	ts ɛ m e n tʰ i ŋ kʰ
2972	19123	transnewguineaorg-murik	muri1260		baby	1289	BABY		walba_gibiska_gue	w a l b a + g i b i s k a + g u e
2981	19132	transnewguineaorg-tabriak	tabr1243		baby	1289	BABY		wasɨsakɨn	w a s ɨ s a k ɨ n
2982	19133	transnewguineaorg-tabriak	tabr1243		baby	1289	BABY		way'sakʌn	w a j s a k ʌ n
7537	23688	transnewguineaorg-tabriak	tabr1243		bamboo	1927	BAMBOO		kʰaman	kʰ a m a n
8012	24163	transnewguineaorg-angoram	ango1255		banana	868	BANANA		alandng	a l a n d n g
8033	24184	transnewguineaorg-banaro	bana1292		banana	868	BANANA		'kʰaͥ	kʰ a
8054	24205	transnewguineaorg-chambri	cham1313		banana	868	BANANA		'pənæŋkʰ	p ə n æ ŋ kʰ
8055	24206	transnewguineaorg-chambri	cham1313		banana	868	BANANA		penenk	p e n e n k
8125	24276	transnewguineaorg-kopar-singarin	kopa1248		banana	868	BANANA		ˈpʰɛřiman	pʰ ɛ r̝ i m a n
8126	24277	transnewguineaorg-kopar-singarin	kopa1248		banana	868	BANANA		'pʰɛriman	pʰ ɛ r i m a n
8160	24311	transnewguineaorg-murik	muri1260		banana	868	BANANA		wan	w a n
8211	24362	transnewguineaorg-tabriak	tabr1243		banana	868	BANANA		mambayŋ	m a m b a j ŋ
8212	24363	transnewguineaorg-tabriak	tabr1243		banana	868	BANANA		mʌyʌŋ	m ʌ j ʌ ŋ
8251	24402	transnewguineaorg-yimas	yima1243		banana	868	BANANA		moyɛn	m o j ɛ n
