	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3972	20123	johanssonsoundsymbolic-RungaKibet	rung1258		back	1291	BACK		gaata	g aː t a
5091	21242	johanssonsoundsymbolic-RungaKibet	rung1258		bad	1292	BAD		cen	c e n
8924	25075	johanssonsoundsymbolic-RungaKibet	rung1258		bark	1204	BARK		katapaaɲiŋ	k a t a p aː ɲ i ŋ
13067	29218	johanssonsoundsymbolic-RungaKibet	rung1258		bealive	1422	BE ALIVE		ind	i n d
15804	31955	johanssonsoundsymbolic-RungaKibet	rung1258		beautiful	1427	BEAUTIFUL		maŋ	m a ŋ
19307	35458	johanssonsoundsymbolic-RungaKibet	rung1258		before	1882	BEFORE		aja	a j a
20545	36696	johanssonsoundsymbolic-RungaKibet	rung1258		behind	1686	BEHIND		siida	s iː d a
22969	39120	johanssonsoundsymbolic-RungaKibet	rung1258		belly	1251	BELLY		butulu	b u t u l u
25804	41955	johanssonsoundsymbolic-RungaKibet	rung1258		beside	1816	BESIDE		mbai	m b a i
28013	44164	johanssonsoundsymbolic-RungaKibet	rung1258		big	1202	BIG		kwajɛ	k w a j ɛ
30389	46540	johanssonsoundsymbolic-RungaKibet	rung1258		bird	937	BIRD		kosi	k o s i
32746	48897	johanssonsoundsymbolic-RungaKibet	rung1258		bite	1403	BITE		ətit	ə t i t
33877	50028	johanssonsoundsymbolic-RungaKibet	rung1258		bitter	887	BITTER		dai	d a i
35360	51511	johanssonsoundsymbolic-RungaKibet	rung1258		black	163	BLACK		dəkən	d ə k ə n
38773	54924	johanssonsoundsymbolic-RungaKibet	rung1258		blood	946	BLOOD		pai	p a i
40982	57133	johanssonsoundsymbolic-RungaKibet	rung1258		blowofwind	175	BLOW (OF WIND)		noos	n oː s
43156	59307	johanssonsoundsymbolic-RungaKibet	rung1258		blunt	379	BLUNT		mble	m b l e
44650	60801	johanssonsoundsymbolic-RungaKibet	rung1258		body	1480	BODY		nduk	n d u k
46996	63147	johanssonsoundsymbolic-RungaKibet	rung1258		bone	1394	BONE		ɟingər	ɟ i n g ə r
57081	73234	johanssonsoundsymbolic-RungaKibet	rung1258		breast	1402	BREAST		angoɲi	a n g o ɲ i
58996	75149	johanssonsoundsymbolic-RungaKibet	rung1258		breathe	1407	BREATHE		uiis	u iː s
64551	80704	johanssonsoundsymbolic-RungaKibet	rung1258		burn	2102	BURN		aal	aː l
67853	84006	johanssonsoundsymbolic-RungaKibet	rung1258		buttocks	834	BUTTOCKS		gaɲ	g a ɲ
73059	89212	johanssonsoundsymbolic-RungaKibet	rung1258		carry	700	CARRY		et	e t
87998	104151	johanssonsoundsymbolic-RungaKibet	rung1258		clean	704	CLEAN		sam	s a m
91689	107842	johanssonsoundsymbolic-RungaKibet	rung1258		cloud	1489	CLOUD		saap	s aː p
95273	111426	johanssonsoundsymbolic-RungaKibet	rung1258		cold	1287	COLD		ataandi	a t aː n d i
98937	115090	johanssonsoundsymbolic-RungaKibet	rung1258		come	1446	COME		aar	aː r
106061	122214	johanssonsoundsymbolic-RungaKibet	rung1258		cough	879	COUGH		tokoor	t o k oː r
110525	126678	johanssonsoundsymbolic-RungaKibet	rung1258		crooked	297	CROOKED		dəkəm	d ə k ə m
