	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8924	25075	johanssonsoundsymbolic-RungaKibet	rung1258		bark	1204	BARK		katapaaɲiŋ	k a t a p aː ɲ i ŋ
22969	39120	johanssonsoundsymbolic-RungaKibet	rung1258		belly	1251	BELLY		butulu	b u t u l u
28013	44164	johanssonsoundsymbolic-RungaKibet	rung1258		big	1202	BIG		kwajɛ	k w a j ɛ
30389	46540	johanssonsoundsymbolic-RungaKibet	rung1258		bird	937	BIRD		kosi	k o s i
32746	48897	johanssonsoundsymbolic-RungaKibet	rung1258		bite	1403	BITE		ətit	ə t i t
35360	51511	johanssonsoundsymbolic-RungaKibet	rung1258		black	163	BLACK		dəkən	d ə k ə n
38773	54924	johanssonsoundsymbolic-RungaKibet	rung1258		blood	946	BLOOD		pai	p a i
46996	63147	johanssonsoundsymbolic-RungaKibet	rung1258		bone	1394	BONE		ɟingər	ɟ i n g ə r
57081	73234	johanssonsoundsymbolic-RungaKibet	rung1258		breast	1402	BREAST		angoɲi	a n g o ɲ i
64551	80704	johanssonsoundsymbolic-RungaKibet	rung1258		burn	2102	BURN		aal	aː l
91689	107842	johanssonsoundsymbolic-RungaKibet	rung1258		cloud	1489	CLOUD		saap	s aː p
95273	111426	johanssonsoundsymbolic-RungaKibet	rung1258		cold	1287	COLD		ataandi	a t aː n d i
98937	115090	johanssonsoundsymbolic-RungaKibet	rung1258		come	1446	COME		aar	aː r
127161	143316	johanssonsoundsymbolic-RungaKibet	rung1258		die	1494	DIE		iid	iː d
135710	151865	johanssonsoundsymbolic-RungaKibet	rung1258		dog	2009	DOG		miɲ	m i ɲ
142179	158334	johanssonsoundsymbolic-RungaKibet	rung1258		drink	1401	DRINK		aŋ	a ŋ
145814	161969	johanssonsoundsymbolic-RungaKibet	rung1258		dry	1398	DRY		nabai	n a b a i
151255	167410	johanssonsoundsymbolic-RungaKibet	rung1258		ear	1247	EAR		kasa	k a s a
154174	170329	johanssonsoundsymbolic-RungaKibet	rung1258		earthsoil	1228	EARTH (SOIL)		ba	b a
156778	172933	johanssonsoundsymbolic-RungaKibet	rung1258		eat	1336	EAT		məs	m ə s
169658	185816	johanssonsoundsymbolic-RungaKibet	rung1258		eye	1248	EYE		kaasek	k aː s e k
182133	198293	johanssonsoundsymbolic-RungaKibet	rung1258		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		bra	b r a
184979	201139	johanssonsoundsymbolic-RungaKibet	rung1258		feather	1201	FEATHER		tou	t o u
192930	225583	johanssonsoundsymbolic-RungaKibet	rung1258		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		aɲiɲi	a ɲ i ɲ i
