	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3955	20106	johanssonsoundsymbolic-Nisenan	nise1244		back	1291	BACK		kiw	k i w
5074	21225	johanssonsoundsymbolic-Nisenan	nise1244		bad	1292	BAD		ʔos	ʔ o s
8908	25059	johanssonsoundsymbolic-Nisenan	nise1244		bark	1204	BARK		kapum	k a p u m
13050	29201	johanssonsoundsymbolic-Nisenan	nise1244		bealive	1422	BE ALIVE		wadaa	w a d aː
19294	35445	johanssonsoundsymbolic-Nisenan	nise1244		before	1882	BEFORE		wete	w e t e
20530	36681	johanssonsoundsymbolic-Nisenan	nise1244		behind	1686	BEHIND		ʔamananna	ʔ a m a n a nː a
22951	39102	johanssonsoundsymbolic-Nisenan	nise1244		belly	1251	BELLY		ʔeela	ʔ eː l a
24586	40737	johanssonsoundsymbolic-Nisenan	nise1244		beloworunder	1485	BELOW OR UNDER		kʼawnandi	kʼ a w n a n d i
25794	41945	johanssonsoundsymbolic-Nisenan	nise1244		beside	1816	BESIDE		bohejpaj	b o h e j p a j
26506	42657	johanssonsoundsymbolic-Nisenan	nise1244		between	689	BETWEEN		ʔesto	ʔ e s t o
27994	44145	johanssonsoundsymbolic-Nisenan	nise1244		big	1202	BIG		betej	b e t e j
32727	48878	johanssonsoundsymbolic-Nisenan	nise1244		bite	1403	BITE		doo	d oː
33859	50010	johanssonsoundsymbolic-Nisenan	nise1244		bitter	887	BITTER		ʔooho	ʔ oː h o
35341	51492	johanssonsoundsymbolic-Nisenan	nise1244		black	163	BLACK		kɨlɨm	k ɨ l ɨ m
38754	54905	johanssonsoundsymbolic-Nisenan	nise1244		blood	946	BLOOD		sedej	s e d e j
40965	57116	johanssonsoundsymbolic-Nisenan	nise1244		blowofwind	175	BLOW (OF WIND)		bɨɨ	b ɨː
44636	60787	johanssonsoundsymbolic-Nisenan	nise1244		body	1480	BODY		wakʼ	w a kʼ
46978	63129	johanssonsoundsymbolic-Nisenan	nise1244		bone	1394	BONE		bɨm	b ɨ m
51559	67710	johanssonsoundsymbolic-Nisenan	nise1244		boy	1366	BOY		manaj	m a n a j
52951	69102	johanssonsoundsymbolic-Nisenan	nise1244		brain	1583	BRAIN		ʔol	ʔ o l
57065	73218	johanssonsoundsymbolic-Nisenan	nise1244		breast	1402	BREAST		min	m i n
58982	75135	johanssonsoundsymbolic-Nisenan	nise1244		breathe	1407	BREATHE		honpin	h o n p i n
64535	80688	johanssonsoundsymbolic-Nisenan	nise1244		burn	2102	BURN		pʼi	pʼ i
67837	83990	johanssonsoundsymbolic-Nisenan	nise1244		buttocks	834	BUTTOCKS		məcʼaw	m ə cʼ a w
73040	89193	johanssonsoundsymbolic-Nisenan	nise1244		carry	700	CARRY		jo	j o
95256	111409	johanssonsoundsymbolic-Nisenan	nise1244		cold	1287	COLD		honkʼoho	h o n kʼ o h o
98919	115072	johanssonsoundsymbolic-Nisenan	nise1244		come	1446	COME		pɨtodaw	p ɨ t o d a w
104950	121103	johanssonsoundsymbolic-Nisenan	nise1244		correctright	1725	CORRECT (RIGHT)		we	w e
106045	122198	johanssonsoundsymbolic-Nisenan	nise1244		cough	879	COUGH		honkʼo	h o n kʼ o
110510	126663	johanssonsoundsymbolic-Nisenan	nise1244		crooked	297	CROOKED		wakʼənə	w a kʼ ə n ə
112079	128232	johanssonsoundsymbolic-Nisenan	nise1244		crush	1520	CRUSH		jupus	j u p u s
113024	129177	johanssonsoundsymbolic-Nisenan	nise1244		cry	1839	CRY		woo	w oː
118736	134889	johanssonsoundsymbolic-Nisenan	nise1244		dark	706	DARK		kɨlɨm	k ɨ l ɨ m
121860	138015	johanssonsoundsymbolic-Nisenan	nise1244		daynotnight	1225	DAY (NOT NIGHT)		ʔok	ʔ o k
124287	140442	johanssonsoundsymbolic-Nisenan	nise1244		deep	1593	DEEP		hon	h o n
127142	143297	johanssonsoundsymbolic-Nisenan	nise1244		die	1494	DIE		woon	w oː n
134252	150407	johanssonsoundsymbolic-Nisenan	nise1244		do	813	DO		ha	h a
135691	151846	johanssonsoundsymbolic-Nisenan	nise1244		dog	2009	DOG		sukku	s u kː u
142160	158315	johanssonsoundsymbolic-Nisenan	nise1244		drink	1401	DRINK		moo	m oː
145796	161951	johanssonsoundsymbolic-Nisenan	nise1244		dry	1398	DRY		ʔeekʼal	ʔ eː kʼ a l
148773	164928	johanssonsoundsymbolic-Nisenan	nise1244		dust	2	DUST		jol	j o l
151237	167392	johanssonsoundsymbolic-Nisenan	nise1244		ear	1247	EAR		bonoo	b o n oː
154156	170311	johanssonsoundsymbolic-Nisenan	nise1244		earthsoil	1228	EARTH (SOIL)		kʼaw	kʼ a w
156759	172914	johanssonsoundsymbolic-Nisenan	nise1244		eat	1336	EAT		pa	p a
159067	175225	johanssonsoundsymbolic-Nisenan	nise1244		egg	744	EGG		pakpak	p a k p a k
160808	176966	johanssonsoundsymbolic-Nisenan	nise1244		eight	1705	EIGHT		peencʼɨjim	p eː n cʼ ɨ j i m
169640	185798	johanssonsoundsymbolic-Nisenan	nise1244		eye	1248	EYE		hiin	h iː n
173644	189803	johanssonsoundsymbolic-Nisenan	nise1244		fall	1280	FALL		bo	b o
175914	192073	johanssonsoundsymbolic-Nisenan	nise1244		far	1406	FAR		lamdi	l a m d i
177034	193193	johanssonsoundsymbolic-Nisenan	nise1244		fart	1159	FART		bu	b u
177488	193647	johanssonsoundsymbolic-Nisenan	nise1244		fast	1631	FAST		jeewo	j eː w o
184962	201122	johanssonsoundsymbolic-Nisenan	nise1244		feather	1201	FEATHER		butuj	b u t u j
189994	222647	johanssonsoundsymbolic-Nisenan	nise1244		flower	239	FLOWER		joo	j oː
191310	223963	johanssonsoundsymbolic-Nisenan	nise1244		flyinsect	1504	FLY (INSECT)		huu	h uː
