	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3955	20106	johanssonsoundsymbolic-Nisenan	nise1244		back	1291	BACK		kiw	k i w
5074	21225	johanssonsoundsymbolic-Nisenan	nise1244		bad	1292	BAD		ʔos	ʔ o s
8908	25059	johanssonsoundsymbolic-Nisenan	nise1244		bark	1204	BARK		kapum	k a p u m
13050	29201	johanssonsoundsymbolic-Nisenan	nise1244		bealive	1422	BE ALIVE		wadaa	w a d aː
22951	39102	johanssonsoundsymbolic-Nisenan	nise1244		belly	1251	BELLY		ʔeela	ʔ eː l a
27994	44145	johanssonsoundsymbolic-Nisenan	nise1244		big	1202	BIG		betej	b e t e j
32727	48878	johanssonsoundsymbolic-Nisenan	nise1244		bite	1403	BITE		doo	d oː
35341	51492	johanssonsoundsymbolic-Nisenan	nise1244		black	163	BLACK		kɨlɨm	k ɨ l ɨ m
38754	54905	johanssonsoundsymbolic-Nisenan	nise1244		blood	946	BLOOD		sedej	s e d e j
40965	57116	johanssonsoundsymbolic-Nisenan	nise1244		blowofwind	175	BLOW (OF WIND)		bɨɨ	b ɨː
46978	63129	johanssonsoundsymbolic-Nisenan	nise1244		bone	1394	BONE		bɨm	b ɨ m
58982	75135	johanssonsoundsymbolic-Nisenan	nise1244		breathe	1407	BREATHE		honpin	h o n p i n
98919	115072	johanssonsoundsymbolic-Nisenan	nise1244		come	1446	COME		pɨtodaw	p ɨ t o d a w
104950	121103	johanssonsoundsymbolic-Nisenan	nise1244		correctright	1725	CORRECT (RIGHT)		we	w e
121860	138015	johanssonsoundsymbolic-Nisenan	nise1244		daynotnight	1225	DAY (NOT NIGHT)		ʔok	ʔ o k
127142	143297	johanssonsoundsymbolic-Nisenan	nise1244		die	1494	DIE		woon	w oː n
135691	151846	johanssonsoundsymbolic-Nisenan	nise1244		dog	2009	DOG		sukku	s u kː u
142160	158315	johanssonsoundsymbolic-Nisenan	nise1244		drink	1401	DRINK		moo	m oː
145796	161951	johanssonsoundsymbolic-Nisenan	nise1244		dry	1398	DRY		ʔeekʼal	ʔ eː kʼ a l
148773	164928	johanssonsoundsymbolic-Nisenan	nise1244		dust	2	DUST		jol	j o l
151237	167392	johanssonsoundsymbolic-Nisenan	nise1244		ear	1247	EAR		bonoo	b o n oː
154156	170311	johanssonsoundsymbolic-Nisenan	nise1244		earthsoil	1228	EARTH (SOIL)		kʼaw	kʼ a w
156759	172914	johanssonsoundsymbolic-Nisenan	nise1244		eat	1336	EAT		pa	p a
159067	175225	johanssonsoundsymbolic-Nisenan	nise1244		egg	744	EGG		pakpak	p a k p a k
169640	185798	johanssonsoundsymbolic-Nisenan	nise1244		eye	1248	EYE		hiin	h iː n
173644	189803	johanssonsoundsymbolic-Nisenan	nise1244		fall	1280	FALL		bo	b o
175914	192073	johanssonsoundsymbolic-Nisenan	nise1244		far	1406	FAR		lamdi	l a m d i
184962	201122	johanssonsoundsymbolic-Nisenan	nise1244		feather	1201	FEATHER		butuj	b u t u j
189994	222647	johanssonsoundsymbolic-Nisenan	nise1244		flower	239	FLOWER		joo	j oː
192913	225566	johanssonsoundsymbolic-Nisenan	nise1244		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		huu	h uː
196238	228891	johanssonsoundsymbolic-Nisenan	nise1244		foot	1301	FOOT		paj	p a j
202569	235222	johanssonsoundsymbolic-Nisenan	nise1244		four	1500	FOUR		cʼɨj	cʼ ɨ j
214667	247320	johanssonsoundsymbolic-Nisenan	nise1244		give	1447	GIVE		bo	b o
220798	253454	johanssonsoundsymbolic-Nisenan	nise1244		good	1035	GOOD		wen	w e n
228584	261240	johanssonsoundsymbolic-Nisenan	nise1244		green	1425	GREEN		kocʼisi	k o cʼ i s i
234599	267255	johanssonsoundsymbolic-Nisenan	nise1244		hair	1040	HAIR		ʔono	ʔ o n o
238441	271097	johanssonsoundsymbolic-Nisenan	nise1244		hand	1277	HAND		maa	m aː
243995	276652	johanssonsoundsymbolic-Nisenan	nise1244		head	1256	HEAD		cʼol	cʼ o l
246933	279590	johanssonsoundsymbolic-Nisenan	nise1244		hear	1408	HEAR		Pin	p i n
248523	281180	johanssonsoundsymbolic-Nisenan	nise1244		heart	1223	HEART		hon	h o n
250691	283348	johanssonsoundsymbolic-Nisenan	nise1244		heavy	1210	HEAVY		wisapʼ	w i s a pʼ
254517	287176	johanssonsoundsymbolic-Nisenan	nise1244		here	136	HERE		hedeedi	h e d eː d i
258773	291433	johanssonsoundsymbolic-Nisenan	nise1244		hit	1433	HIT		wə	w ə
274746	307406	johanssonsoundsymbolic-Nisenan	nise1244		i	1209	I		ni	n i
278077	310737	johanssonsoundsymbolic-Nisenan	nise1244		in	1460	IN		honnaan	h o nː aː n
287587	320247	johanssonsoundsymbolic-Nisenan	nise1244		kill	1417	KILL		woonti	w oː n t i
299069	331729	johanssonsoundsymbolic-Nisenan	nise1244		laugh	1355	LAUGH		dəə	d əː
302225	334885	johanssonsoundsymbolic-Nisenan	nise1244		leaf	628	LEAF		bakkal	b a kː a l
305330	337990	johanssonsoundsymbolic-Nisenan	nise1244		left	244	LEFT		daku	d a k u
316991	349651	johanssonsoundsymbolic-Nisenan	nise1244		liver	1224	LIVER		kɨlla	k ɨ lː a
319885	352545	johanssonsoundsymbolic-Nisenan	nise1244		long	1203	LONG		lamdi	l a m d i
323527	356187	johanssonsoundsymbolic-Nisenan	nise1244		louse	1392	LOUSE		di	d i
332322	364983	johanssonsoundsymbolic-Nisenan	nise1244		many	1198	MANY		jo	j o
350964	383628	johanssonsoundsymbolic-Nisenan	nise1244		mountain	639	MOUNTAIN		jaman	j a m a n
353479	386143	johanssonsoundsymbolic-Nisenan	nise1244		mouth	674	MOUTH		sim	s i m
358496	391160	johanssonsoundsymbolic-Nisenan	nise1244		name	1405	NAME		ha	h a
