	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
2939	19090	transnewguineaorg-bauwaki	bauw1240		baby	1289	BABY		okoanagu	o k o a n a g u
3931	20082	johanssonsoundsymbolic-Mailu	mail1248		back	1291	BACK		doe	d o e
5049	21200	johanssonsoundsymbolic-Mailu	mail1248		bad	1292	BAD		oreore	o r e o r e
8037	24188	transnewguineaorg-bauwaki	bauw1240		banana	868	BANANA		mo'o	m o o
8885	25036	johanssonsoundsymbolic-Mailu	mail1248		bark	1204	BARK		neure	n e u r e
9309	25460	transnewguineaorg-bauwaki	bauw1240		bark	1204	BARK		ana_ofi	a n a + o f i
13027	29178	johanssonsoundsymbolic-Mailu	mail1248		bealive	1422	BE ALIVE		mauri	m a u r i
15773	31924	johanssonsoundsymbolic-Mailu	mail1248		beautiful	1427	BEAUTIFUL		poripori	p o r i p o r i
16342	32493	johanssonsoundsymbolic-Mailu	mail1248		because	1157	BECAUSE		dema	d e m a
20509	36660	johanssonsoundsymbolic-Mailu	mail1248		behind	1686	BEHIND		deniaura	d e n i a u r a
22925	39076	johanssonsoundsymbolic-Mailu	mail1248		belly	1251	BELLY		abanasa	a b a n a s a
23557	39708	transnewguineaorg-bauwaki	bauw1240		belly	1251	BELLY		boana	b o a n a
24565	40716	johanssonsoundsymbolic-Mailu	mail1248		beloworunder	1485	BELOW OR UNDER		auna	a u n a
25779	41930	johanssonsoundsymbolic-Mailu	mail1248		beside	1816	BESIDE		sebi	s e b i
26493	42644	johanssonsoundsymbolic-Mailu	mail1248		between	689	BETWEEN		wawaga	w a w a g a
27968	44119	johanssonsoundsymbolic-Mailu	mail1248		big	1202	BIG		ogoda	o g o d a
28729	44880	transnewguineaorg-bauwaki	bauw1240		big	1202	BIG		bada'a	b a d a a
30352	46503	johanssonsoundsymbolic-Mailu	mail1248		bird	937	BIRD		adau	a d a u
31071	47222	transnewguineaorg-bauwaki	bauw1240		bird	937	BIRD		adau	a d a u
32702	48853	johanssonsoundsymbolic-Mailu	mail1248		bite	1403	BITE		apuapu	a p u a p u
33215	49366	transnewguineaorg-bauwaki	bauw1240		bite	1403	BITE		aka	a k a
33838	49989	johanssonsoundsymbolic-Mailu	mail1248		bitter	887	BITTER		seara	s e a r a
35316	51467	johanssonsoundsymbolic-Mailu	mail1248		black	163	BLACK		dubaduba	d u b a d u b a
38728	54879	johanssonsoundsymbolic-Mailu	mail1248		blood	946	BLOOD		lala	l a l a
39443	55594	transnewguineaorg-bauwaki	bauw1240		blood	946	BLOOD		dana	d a n a
40943	57094	johanssonsoundsymbolic-Mailu	mail1248		blowofwind	175	BLOW (OF WIND)		wuwuri	w u w u r i
42105	58256	johanssonsoundsymbolic-Mailu	mail1248		blue	837	BLUE		korakorara	k o r a k o r a r a
43122	59273	johanssonsoundsymbolic-Mailu	mail1248		blunt	379	BLUNT		uba	u b a
44614	60765	johanssonsoundsymbolic-Mailu	mail1248		body	1480	BODY		upunu	u p u n u
46957	63108	johanssonsoundsymbolic-Mailu	mail1248		bone	1394	BONE		ude	u d e
47665	63816	transnewguineaorg-bauwaki	bauw1240		bone	1394	BONE		i_sa	i + s a
51538	67689	johanssonsoundsymbolic-Mailu	mail1248		boy	1366	BOY		tamaru	t a m a r u
52091	68242	transnewguineaorg-bauwaki	bauw1240		boy	1366	BOY		eme'a	e m e a
52931	69082	johanssonsoundsymbolic-Mailu	mail1248		brain	1583	BRAIN		doni	d o n i
57040	73193	johanssonsoundsymbolic-Mailu	mail1248		breast	1402	BREAST		ama	a m a
57718	73871	transnewguineaorg-bauwaki	bauw1240		breast	1402	BREAST		ama	a m a
58961	75114	johanssonsoundsymbolic-Mailu	mail1248		breathe	1407	BREATHE		worugala	w o r u g a l a
61489	77642	transnewguineaorg-bauwaki	bauw1240		brother	1262	BROTHER		nake	n a k e
64511	80664	johanssonsoundsymbolic-Mailu	mail1248		burn	2102	BURN		darikokomu	d a r i k o k o m u
67817	83970	johanssonsoundsymbolic-Mailu	mail1248		buttocks	834	BUTTOCKS		ikire	i k i r e
73015	89168	johanssonsoundsymbolic-Mailu	mail1248		carry	700	CARRY		evaeva	e v a e v a
74552	90705	transnewguineaorg-bauwaki	bauw1240		cassowary	466	CASSOWARY		uyau	u j a u
87177	103330	transnewguineaorg-bauwaki	bauw1240		claw	72	CLAW		dimeri	d i m e r i
87967	104120	johanssonsoundsymbolic-Mailu	mail1248		clean	704	CLEAN		neganega	n e g a n e g a
91649	107802	johanssonsoundsymbolic-Mailu	mail1248		cloud	1489	CLOUD		nogara	n o g a r a
92160	108313	transnewguineaorg-bauwaki	bauw1240		cloud	1489	CLOUD		kosu	k o s u
95231	111384	johanssonsoundsymbolic-Mailu	mail1248		cold	1287	COLD		memea	m e m e a
95959	112112	transnewguineaorg-bauwaki	bauw1240		cold	1287	COLD		iu	i u
98896	115049	johanssonsoundsymbolic-Mailu	mail1248		come	1446	COME		aboiso	a b o i s o
99614	115767	transnewguineaorg-bauwaki	bauw1240		come	1446	COME		ai	a i
104933	121086	johanssonsoundsymbolic-Mailu	mail1248		correctright	1725	CORRECT (RIGHT)		edeede	e d eː d e
106023	122176	johanssonsoundsymbolic-Mailu	mail1248		cough	879	COUGH		ekeke	e k e k e
110487	126640	johanssonsoundsymbolic-Mailu	mail1248		crooked	297	CROOKED		gevageva	g e v a g e v a
112059	128212	johanssonsoundsymbolic-Mailu	mail1248		crush	1520	CRUSH		gorugoru	g o r u g o r u
118712	134865	johanssonsoundsymbolic-Mailu	mail1248		dark	706	DARK		kibokibo	k i b o k i b o
121838	137993	johanssonsoundsymbolic-Mailu	mail1248		daynotnight	1225	DAY (NOT NIGHT)		wau	w a u
124267	140422	johanssonsoundsymbolic-Mailu	mail1248		deep	1593	DEEP		doga	d o g a
127117	143272	johanssonsoundsymbolic-Mailu	mail1248		die	1494	DIE		emasingaia	e m a s i n g a i a
131757	147912	johanssonsoundsymbolic-Mailu	mail1248		dirty	1230	DIRTY		niiniiri	n iː n iː r i
134227	150382	johanssonsoundsymbolic-Mailu	mail1248		do	813	DO		usiusi	u s i u s i
135669	151824	johanssonsoundsymbolic-Mailu	mail1248		dog	2009	DOG		veai	v e a i
136397	152552	transnewguineaorg-bauwaki	bauw1240		dog	2009	DOG		wa'ai	w a a i
142134	158289	johanssonsoundsymbolic-Mailu	mail1248		drink	1401	DRINK		idi	i d i
145771	161926	johanssonsoundsymbolic-Mailu	mail1248		dry	1398	DRY		wurawura	w u r a w u r a
147118	163273	transnewguineaorg-bauwaki	bauw1240		dryup	1786	DRY UP		ariri	a r i r i
148750	164905	johanssonsoundsymbolic-Mailu	mail1248		dust	2	DUST		veve	v e v e
151212	167367	johanssonsoundsymbolic-Mailu	mail1248		ear	1247	EAR		ope	o p e
151930	168085	transnewguineaorg-bauwaki	bauw1240		ear	1247	EAR		ome	o m e
154132	170287	johanssonsoundsymbolic-Mailu	mail1248		earthsoil	1228	EARTH (SOIL)		one	o n e
