	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8885	25036	johanssonsoundsymbolic-Mailu	mail1248		bark	1204	BARK		neure	n e u r e
9309	25460	transnewguineaorg-bauwaki	bauw1240		bark	1204	BARK		ana_ofi	a n a + o f i
22925	39076	johanssonsoundsymbolic-Mailu	mail1248		belly	1251	BELLY		abanasa	a b a n a s a
23557	39708	transnewguineaorg-bauwaki	bauw1240		belly	1251	BELLY		boana	b o a n a
27968	44119	johanssonsoundsymbolic-Mailu	mail1248		big	1202	BIG		ogoda	o g o d a
28729	44880	transnewguineaorg-bauwaki	bauw1240		big	1202	BIG		bada'a	b a d a a
30352	46503	johanssonsoundsymbolic-Mailu	mail1248		bird	937	BIRD		adau	a d a u
31071	47222	transnewguineaorg-bauwaki	bauw1240		bird	937	BIRD		adau	a d a u
32702	48853	johanssonsoundsymbolic-Mailu	mail1248		bite	1403	BITE		apuapu	a p u a p u
33215	49366	transnewguineaorg-bauwaki	bauw1240		bite	1403	BITE		aka	a k a
35316	51467	johanssonsoundsymbolic-Mailu	mail1248		black	163	BLACK		dubaduba	d u b a d u b a
38728	54879	johanssonsoundsymbolic-Mailu	mail1248		blood	946	BLOOD		lala	l a l a
39443	55594	transnewguineaorg-bauwaki	bauw1240		blood	946	BLOOD		dana	d a n a
46957	63108	johanssonsoundsymbolic-Mailu	mail1248		bone	1394	BONE		ude	u d e
47665	63816	transnewguineaorg-bauwaki	bauw1240		bone	1394	BONE		i_sa	i + s a
57040	73193	johanssonsoundsymbolic-Mailu	mail1248		breast	1402	BREAST		ama	a m a
57718	73871	transnewguineaorg-bauwaki	bauw1240		breast	1402	BREAST		ama	a m a
64511	80664	johanssonsoundsymbolic-Mailu	mail1248		burn	2102	BURN		darikokomu	d a r i k o k o m u
87177	103330	transnewguineaorg-bauwaki	bauw1240		claw	72	CLAW		dimeri	d i m e r i
91649	107802	johanssonsoundsymbolic-Mailu	mail1248		cloud	1489	CLOUD		nogara	n o g a r a
92160	108313	transnewguineaorg-bauwaki	bauw1240		cloud	1489	CLOUD		kosu	k o s u
95231	111384	johanssonsoundsymbolic-Mailu	mail1248		cold	1287	COLD		memea	m e m e a
95959	112112	transnewguineaorg-bauwaki	bauw1240		cold	1287	COLD		iu	i u
98896	115049	johanssonsoundsymbolic-Mailu	mail1248		come	1446	COME		aboiso	a b o i s o
99614	115767	transnewguineaorg-bauwaki	bauw1240		come	1446	COME		ai	a i
127117	143272	johanssonsoundsymbolic-Mailu	mail1248		die	1494	DIE		emasingaia	e m a s i n g a i a
135669	151824	johanssonsoundsymbolic-Mailu	mail1248		dog	2009	DOG		veai	v e a i
