	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3932	20083	johanssonsoundsymbolic-Mairasi	nucl1594		back	1291	BACK		natot	n a t o t
5050	21201	johanssonsoundsymbolic-Mairasi	nucl1594		bad	1292	BAD		aŋgun	a ŋ g u n
13028	29179	johanssonsoundsymbolic-Mairasi	nucl1594		bealive	1422	BE ALIVE		dʒom	dʒ o m
15774	31925	johanssonsoundsymbolic-Mairasi	nucl1594		beautiful	1427	BEAUTIFUL		namoria	n a m o r i a
16343	32494	johanssonsoundsymbolic-Mairasi	nucl1594		because	1157	BECAUSE		a_faru	a + f a r u
19274	35425	johanssonsoundsymbolic-Mairasi	nucl1594		before	1882	BEFORE		taʔnaidʒar	t a ʔ n a i dʒ a r
20510	36661	johanssonsoundsymbolic-Mairasi	nucl1594		behind	1686	BEHIND		ototos	o t o t o s
22926	39077	johanssonsoundsymbolic-Mairasi	nucl1594		belly	1251	BELLY		nava	n a v a
24566	40717	johanssonsoundsymbolic-Mairasi	nucl1594		beloworunder	1485	BELOW OR UNDER		avetargwar	a v e t a r g w a r
25780	41931	johanssonsoundsymbolic-Mairasi	nucl1594		beside	1816	BESIDE		oifiris	o i f i r i s
26494	42645	johanssonsoundsymbolic-Mairasi	nucl1594		between	689	BETWEEN		amaŋgirar	a m a ŋ g i r a r
27969	44120	johanssonsoundsymbolic-Mairasi	nucl1594		big	1202	BIG		avwer	a v w e r
32703	48854	johanssonsoundsymbolic-Mairasi	nucl1594		bite	1403	BITE		magwer_anasiar	m a g w e r + a n a s i a r
38729	54880	johanssonsoundsymbolic-Mairasi	nucl1594		blood	946	BLOOD		isere	i s e r e
40944	57095	johanssonsoundsymbolic-Mairasi	nucl1594		blowofwind	175	BLOW (OF WIND)		fuenai	f u e n a i
42106	58257	johanssonsoundsymbolic-Mairasi	nucl1594		blue	837	BLUE		asaser	a s a s e r
43123	59274	johanssonsoundsymbolic-Mairasi	nucl1594		blunt	379	BLUNT		tuvu	t u v u
44615	60766	johanssonsoundsymbolic-Mairasi	nucl1594		body	1480	BODY		nalambi	n a l a m b i
46958	63109	johanssonsoundsymbolic-Mairasi	nucl1594		bone	1394	BONE		natura	n a t u r a
51539	67690	johanssonsoundsymbolic-Mairasi	nucl1594		boy	1366	BOY		tat_tatatov	t a t + t a t a t o v
52932	69083	johanssonsoundsymbolic-Mairasi	nucl1594		brain	1583	BRAIN		namaŋga	n a m a ŋ g a
57041	73194	johanssonsoundsymbolic-Mairasi	nucl1594		breast	1402	BREAST		dʒoug_sas	dʒ o u g + s a s
58962	75115	johanssonsoundsymbolic-Mairasi	nucl1594		breathe	1407	BREATHE		onen	o n e n
64512	80665	johanssonsoundsymbolic-Mairasi	nucl1594		burn	2102	BURN		ivorar_waviom	i v o r a r + w a v i o m
67818	83971	johanssonsoundsymbolic-Mairasi	nucl1594		buttocks	834	BUTTOCKS		naswav	n a s w a v
73016	89169	johanssonsoundsymbolic-Mairasi	nucl1594		carry	700	CARRY		nomaʔl	n o m a ʔ l
87968	104121	johanssonsoundsymbolic-Mairasi	nucl1594		clean	704	CLEAN		oroug	o r o u g
