	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
22926	39077	johanssonsoundsymbolic-Mairasi	nucl1594		belly	1251	BELLY		nava	n a v a
27969	44120	johanssonsoundsymbolic-Mairasi	nucl1594		big	1202	BIG		avwer	a v w e r
32703	48854	johanssonsoundsymbolic-Mairasi	nucl1594		bite	1403	BITE		magwer_anasiar	m a g w e r + a n a s i a r
38729	54880	johanssonsoundsymbolic-Mairasi	nucl1594		blood	946	BLOOD		isere	i s e r e
46958	63109	johanssonsoundsymbolic-Mairasi	nucl1594		bone	1394	BONE		natura	n a t u r a
57041	73194	johanssonsoundsymbolic-Mairasi	nucl1594		breast	1402	BREAST		dʒoug_sas	dʒ o u g + s a s
64512	80665	johanssonsoundsymbolic-Mairasi	nucl1594		burn	2102	BURN		ivorar_waviom	i v o r a r + w a v i o m
91650	107803	johanssonsoundsymbolic-Mairasi	nucl1594		cloud	1489	CLOUD		werei_sieri	w e r e i + s i e r i
95232	111385	johanssonsoundsymbolic-Mairasi	nucl1594		cold	1287	COLD		ardʒeri	a r dʒ e r i
127118	143273	johanssonsoundsymbolic-Mairasi	nucl1594		die	1494	DIE		dʒeot	dʒ e o t
142135	158290	johanssonsoundsymbolic-Mairasi	nucl1594		drink	1401	DRINK		oro_omuar	o r o + o m u a r
145772	161927	johanssonsoundsymbolic-Mairasi	nucl1594		dry	1398	DRY		fo	f o
151213	167368	johanssonsoundsymbolic-Mairasi	nucl1594		ear	1247	EAR		navir_anda	n a v i r + a n d a
154133	170288	johanssonsoundsymbolic-Mairasi	nucl1594		earthsoil	1228	EARTH (SOIL)		wasasi	w a s a s i
156736	172891	johanssonsoundsymbolic-Mairasi	nucl1594		eat	1336	EAT		oro_oom	o r o + oː m
159045	175203	johanssonsoundsymbolic-Mairasi	nucl1594		egg	744	EGG		eete	eː t e
169616	185774	johanssonsoundsymbolic-Mairasi	nucl1594		eye	1248	EYE		nambutu	n a m b u t u
182097	198257	johanssonsoundsymbolic-Mairasi	nucl1594		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		natom	n a t o m
192894	225547	johanssonsoundsymbolic-Mairasi	nucl1594		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		matambura	m a t a m b u r a
196213	228866	johanssonsoundsymbolic-Mairasi	nucl1594		foot	1301	FOOT		naoro	n a o r o
209309	241962	johanssonsoundsymbolic-Mairasi	nucl1594		full	1429	FULL		suvui	s u v u i
220773	253429	johanssonsoundsymbolic-Mairasi	nucl1594		good	1035	GOOD		amori	a m o r i
228564	261220	johanssonsoundsymbolic-Mairasi	nucl1594		green	1425	GREEN		wer_aer_asnser	w e r + a e r + a s n s e r
234575	267231	johanssonsoundsymbolic-Mairasi	nucl1594		hair	1040	HAIR		nalamb_nasa	n a l a m b + n a s a
238416	271072	johanssonsoundsymbolic-Mairasi	nucl1594		hand	1277	HAND		nargwaŋga	n a r g w a ŋ g a
248498	281155	johanssonsoundsymbolic-Mairasi	nucl1594		heart	1223	HEART		natu	n a t u
274722	307382	johanssonsoundsymbolic-Mairasi	nucl1594		i	1209	I		omo	o m o
290243	322903	johanssonsoundsymbolic-Mairasi	nucl1594		knee	1371	KNEE		nawaembora	n a w a e m b o r a
302202	334862	johanssonsoundsymbolic-Mairasi	nucl1594		leaf	628	LEAF		aere	a e r e
316967	349627	johanssonsoundsymbolic-Mairasi	nucl1594		liver	1224	LIVER		nandutu	n a n d u t u
368815	401482	johanssonsoundsymbolic-Mairasi	nucl1594		new	1231	NEW		ao	a o
371595	404262	johanssonsoundsymbolic-Mairasi	nucl1594		night	1233	NIGHT		aravuruar	a r a v u r u a r
379005	411672	johanssonsoundsymbolic-Mairasi	nucl1594		not	1240	NOT		indamb	i n d a m b
389710	422377	johanssonsoundsymbolic-Mairasi	nucl1594		one	1493	ONE		taŋgaug	t a ŋ g a u g
432499	465167	johanssonsoundsymbolic-Mairasi	nucl1594		red	156	RED		sus	s u s
448841	481510	johanssonsoundsymbolic-Mairasi	nucl1594		round	1395	ROUND		tuvui	t u v u i
494669	527341	johanssonsoundsymbolic-Mairasi	nucl1594		skin	763	SKIN		nalere	n a l e r e
502894	535568	johanssonsoundsymbolic-Mairasi	nucl1594		small	1246	SMALL		naiwo	n a i w o
507216	539892	johanssonsoundsymbolic-Mairasi	nucl1594		smokeexhaust	778	SMOKE (EXHAUST)		anene	a n e n e
538893	571570	johanssonsoundsymbolic-Mairasi	nucl1594		stone	857	STONE		foro	f o r o
548279	580956	johanssonsoundsymbolic-Mairasi	nucl1594		sun	1343	SUN		tend	t e n d
567154	599833	johanssonsoundsymbolic-Mairasi	nucl1594		that	78	THAT		ne	n e
578243	610922	johanssonsoundsymbolic-Mairasi	nucl1594		this	1214	THIS		eva	e v a
580436	613119	johanssonsoundsymbolic-Mairasi	nucl1594		thou	1215	THOU		neme	n e m e
611418	644105	johanssonsoundsymbolic-Mairasi	nucl1594		two	1498	TWO		amoi	a m o i
