	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
2345	18496	polyglottaafricana-Bambara	bamb1269		axe	677	AXE		tégẹ̄ṛan·	t e g e˞ː ɽ a n
2348	18499	polyglottaafricana-Bandi	band1352		axe	677	AXE		kū́no	k uː n o
2355	18506	polyglottaafricana-Boko	boko1266		axe	677	AXE		gbásā	gb a s aː
2400	18551	polyglottaafricana-Jalonke	yalu1240		axe	677	AXE		tégeṛan·	t e g e ɽ a n
2415	18566	polyglottaafricana-Kono	kono1268		axe	677	AXE		yḗnde	j eː n d e
2419	18570	polyglottaafricana-KpelleGuinea	guin1254		axe	677	AXE		yṓẹ	j oː e˞
2425	18576	polyglottaafricana-Loko	loko1255		axe	677	AXE		kōn·	k oː n
2426	18577	polyglottaafricana-Loma	loma1260		axe	677	AXE		zẹ́fa	z e˞ f a
2428	18579	polyglottaafricana-Mandinka	mand1436		axe	677	AXE		tégēran·	t e g eː r a n
2429	18580	polyglottaafricana-Mandinka	mand1436		axe	677	AXE		tégēran·	t e g eː r a n
2430	18581	polyglottaafricana-Mandinka	mand1436		axe	677	AXE		tẹ́ṛẹ̄ya	t e˞ ɽ e˞ː j a
2432	18583	polyglottaafricana-ManinkaKankan	east2426		axe	677	AXE		tégēran·	t e g eː r a n
2435	18586	polyglottaafricana-ManoMann	mann1248		axe	677	AXE		bọ̄	b o˞ː
2442	18593	polyglottaafricana-Mende	mend1266		axe	677	AXE		kṓnu	k oː n u
2474	18625	polyglottaafricana-Soninke	soni1259		axe	677	AXE		yī́de	j iː d e
2478	18629	polyglottaafricana-Susu	susu1250		axe	677	AXE		búmbīna	b u m b iː n a
2479	18630	polyglottaafricana-Susu	susu1250		axe	677	AXE		bḗrai	b eː r a i
2480	18631	polyglottaafricana-Susu	susu1250		axe	677	AXE		wúri-sẹ́gẹ̄si	w u r i + s e˞ g e˞ː s i
2493	18644	polyglottaafricana-Vai	vaii1241		axe	677	AXE		tíẹ̄le	t i e˞ː l e
4872	21023	hantganbangime-Jenaama	jena1242		bad	1292	BAD		ɲɔ̄ŋɔ̄	ɲ ɔ ŋ ɔ
5377	21528	polyglottaafricana-Bambara	bamb1269		bad	1292	BAD		a mábẹ	a + m a b e˞
5380	21531	polyglottaafricana-Bandi	band1352		bad	1292	BAD		árawāni	a r a w aː n i
5388	21539	polyglottaafricana-Boko	boko1266		bad	1292	BAD		márā·-ro·	m a r aː + r o
5433	21584	polyglottaafricana-Jalonke	yalu1240		bad	1292	BAD		dṣúṛu	ɖʐ u ɽ u
5447	21598	polyglottaafricana-Kono	kono1268		bad	1292	BAD		á mā nyi	a + m aː + n j i
5452	21603	polyglottaafricana-KpelleGuinea	guin1254		bad	1292	BAD		nyóṛo	n j o ɽ o
5458	21609	polyglottaafricana-Loko	loko1255		bad	1292	BAD		gbégbwēni	gb e gb w eː n i
5459	21610	polyglottaafricana-Loma	loma1260		bad	1292	BAD		nyún·wẹ	n j u n w e˞
5461	21612	polyglottaafricana-Mandinka	mand1436		bad	1292	BAD		kúrō·	k u r oː
5462	21613	polyglottaafricana-Mandinka	mand1436		bad	1292	BAD		kúrō·	k u r oː
5463	21614	polyglottaafricana-Mandinka	mand1436		bad	1292	BAD		dṣū́ṛu	ɖʐ uː ɽ u
5465	21616	polyglottaafricana-ManinkaKankan	east2426		bad	1292	BAD		ā dṣúṛu	aː + ɖʐ u ɽ u
