	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8728	24879	hantganbangime-Jenaama	jena1242		bark	1204	BARK		jùgù_wógō	dʒ u g u + w o g o
22681	38832	hantganbangime-Jenaama	jena1242		belly	1251	BELLY		nù	n u
23247	39398	polyglottaafricana-Bambara	bamb1269		belly	1251	BELLY		kóno	k o n o
23250	39401	polyglottaafricana-Bandi	band1352		belly	1251	BELLY		kō	k oː
23257	39408	polyglottaafricana-Boko	boko1266		belly	1251	BELLY		nọ́sẹ̄	n o˞ s e˞ː
23301	39452	polyglottaafricana-Jalonke	yalu1240		belly	1251	BELLY		kóno	k o n o
23317	39468	polyglottaafricana-Kono	kono1268		belly	1251	BELLY		bū	b uː
23321	39472	polyglottaafricana-KpelleGuinea	guin1254		belly	1251	BELLY		kui	k u i
23327	39478	polyglottaafricana-Loko	loko1255		belly	1251	BELLY		kō	k oː
23328	39479	polyglottaafricana-Loma	loma1260		belly	1251	BELLY		kō	k oː
23330	39481	polyglottaafricana-Mandinka	mand1436		belly	1251	BELLY		kónō	k o n oː
23331	39482	polyglottaafricana-Mandinka	mand1436		belly	1251	BELLY		kónō	k o n oː
23332	39483	polyglottaafricana-Mandinka	mand1436		belly	1251	BELLY		kónyo	k o n j o
23334	39485	polyglottaafricana-ManinkaKankan	east2426		belly	1251	BELLY		kóno	k o n o
23337	39488	polyglottaafricana-ManoMann	mann1248		belly	1251	BELLY		ge	g e
23345	39496	polyglottaafricana-Mende	mend1266		belly	1251	BELLY		kō	k oː
23375	39526	polyglottaafricana-Soninke	soni1259		belly	1251	BELLY		nọ́ṛọ	n o˞ ɽ o˞
23379	39530	polyglottaafricana-Susu	susu1250		belly	1251	BELLY		fū́di	f uː d i
23380	39531	polyglottaafricana-Susu	susu1250		belly	1251	BELLY		fū́ri	f uː r i
23381	39532	polyglottaafricana-Susu	susu1250		belly	1251	BELLY		dẹ̄́wẹ	d e˞ː w e˞
23394	39545	polyglottaafricana-Vai	vaii1241		belly	1251	BELLY		bu	b u
27786	43937	hantganbangime-Jenaama	jena1242		big	1202	BIG		būrōŋ	b u r o ŋ
28401	44552	polyglottaafricana-Bambara	bamb1269		big	1202	BIG		a búmba	a + b u m b a
28404	44555	polyglottaafricana-Bandi	band1352		big	1202	BIG		ẹwọ̄́rọ	e˞ w o˞ː r o˞
28412	44563	polyglottaafricana-Boko	boko1266		big	1202	BIG		ā gmẹ́·tẹ·	aː + g m e˞ t e˞
28458	44609	polyglottaafricana-Jalonke	yalu1240		big	1202	BIG		a bu	a + b u
28459	44610	polyglottaafricana-Jalonke	yalu1240		big	1202	BIG		ba	b a
28475	44626	polyglottaafricana-Kono	kono1268		big	1202	BIG		ákōlo	a k oː l o
