	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3863	20014	johanssonsoundsymbolic-Alawa	alaw1244		back	1291	BACK		mabaɭa	m a b a ɭ a
4971	21122	johanssonsoundsymbolic-Alawa	alaw1244		bad	1292	BAD		we̞ɳe̞jɯ̞	w e̞ ɳ e̞ j ɯ̞
8815	24966	johanssonsoundsymbolic-Alawa	alaw1244		bark	1204	BARK		laɭgan	l a ɭ g a n
12953	29104	johanssonsoundsymbolic-Alawa	alaw1244		bealive	1422	BE ALIVE		wanjma	w a n j m a
16292	32443	johanssonsoundsymbolic-Alawa	alaw1244		because	1157	BECAUSE		mal	m a l
19210	35361	johanssonsoundsymbolic-Alawa	alaw1244		before	1882	BEFORE		baŋa	b a ŋ a
20445	36596	johanssonsoundsymbolic-Alawa	alaw1244		behind	1686	BEHIND		ŋɯ̞le̞jɯ̞nɯ̞	ŋ ɯ̞ l e̞ j ɯ̞ n ɯ̞
22845	38996	johanssonsoundsymbolic-Alawa	alaw1244		belly	1251	BELLY		ŋgɯ̞nɟal	ŋ g ɯ̞ n ɟ a l
27886	44037	johanssonsoundsymbolic-Alawa	alaw1244		big	1202	BIG		jamɪɳɪ	j a m ɪ ɳ ɪ
30279	46430	johanssonsoundsymbolic-Alawa	alaw1244		bird	937	BIRD		jɯ̞le̞gɪ	j ɯ̞ l e̞ g ɪ
32628	48779	johanssonsoundsymbolic-Alawa	alaw1244		bite	1403	BITE		galne̞nɪ	g a l n e̞ n ɪ
33774	49925	johanssonsoundsymbolic-Alawa	alaw1244		bitter	887	BITTER		mbalgɪn	m b a l g ɪ n
35236	51387	johanssonsoundsymbolic-Alawa	alaw1244		black	163	BLACK		gɯ̞bɯ̞ɹdmajɪn	g ɯ̞ b ɯ̞ ɹ d m a j ɪ n
38649	54800	johanssonsoundsymbolic-Alawa	alaw1244		blood	946	BLOOD		ŋɯ̞lɪjɪ	ŋ ɯ̞ l ɪ j ɪ
40875	57026	johanssonsoundsymbolic-Alawa	alaw1244		blowofwind	175	BLOW (OF WIND)		bɯ̞b_bɯ̞bnajɪnɪ	b ɯ̞ b + b ɯ̞ b n a j ɪ n ɪ
42046	58197	johanssonsoundsymbolic-Alawa	alaw1244		blue	837	BLUE		gabɯ̞dmajɪn	g a b ɯ̞ d m a j ɪ n
43077	59228	johanssonsoundsymbolic-Alawa	alaw1244		blunt	379	BLUNT		nɯ̞ɹdnɯ̞ɹd	n ɯ̞ ɹ d n ɯ̞ ɹ d
44541	60692	johanssonsoundsymbolic-Alawa	alaw1244		body	1480	BODY		njalal	n j a l a l
46877	63028	johanssonsoundsymbolic-Alawa	alaw1244		bone	1394	BONE		galawa	g a l a w a
51464	67615	johanssonsoundsymbolic-Alawa	alaw1244		boy	1366	BOY		jajaja	j a j a j a
52870	69021	johanssonsoundsymbolic-Alawa	alaw1244		brain	1583	BRAIN		galŋɯ̞ɹgŋɯ̞ɹg	g a l ŋ ɯ̞ ɹ g ŋ ɯ̞ ɹ g
56964	73117	johanssonsoundsymbolic-Alawa	alaw1244		breast	1402	BREAST		ŋabɯ̞lɯ̞	ŋ a b ɯ̞ l ɯ̞
58906	75059	johanssonsoundsymbolic-Alawa	alaw1244		breathe	1407	BREATHE		ŋalalanaɭa	ŋ a l a l a n a ɭ a
64443	80596	johanssonsoundsymbolic-Alawa	alaw1244		burn	2102	BURN		ŋɯ̞mne̞mbe̞ɭɪ	ŋ ɯ̞ m n e̞ m b e̞ ɭ ɪ
67757	83910	johanssonsoundsymbolic-Alawa	alaw1244		buttocks	834	BUTTOCKS		mbɯ̞dabɯ̞da	m b ɯ̞ d a b ɯ̞ d a
72936	89089	johanssonsoundsymbolic-Alawa	alaw1244		carry	700	CARRY		dɪbage̞nɯ̞	d ɪ b a g e̞ n ɯ̞
87918	104071	johanssonsoundsymbolic-Alawa	alaw1244		clean	704	CLEAN		gɯ̞lɯ̞ŋga	g ɯ̞ l ɯ̞ ŋ g a
91581	107734	johanssonsoundsymbolic-Alawa	alaw1244		cloud	1489	CLOUD		maɭŋa	m a ɭ ŋ a
95154	111307	johanssonsoundsymbolic-Alawa	alaw1244		cold	1287	COLD		maɹdɯ̞n	m a ɹ d ɯ̞ n
98818	114971	johanssonsoundsymbolic-Alawa	alaw1244		come	1446	COME		najɪnɪgɯ̞nɯ̞	n a j ɪ n ɪ g ɯ̞ n ɯ̞
105953	122106	johanssonsoundsymbolic-Alawa	alaw1244		cough	879	COUGH		gɯ̞ɹgɯ̞ɹne̞mbe̞ɭɪ	g ɯ̞ ɹ g ɯ̞ ɹ n e̞ m b e̞ ɭ ɪ
110435	126588	johanssonsoundsymbolic-Alawa	alaw1244		crooked	297	CROOKED		gɯ̞ndɯ̞jmajɪn	g ɯ̞ n d ɯ̞ j m a j ɪ n
112001	128154	johanssonsoundsymbolic-Alawa	alaw1244		crush	1520	CRUSH		bɯ̞jɪdne̞nɪ	b ɯ̞ j ɪ d n e̞ n ɪ
112923	129076	johanssonsoundsymbolic-Alawa	alaw1244		cry	1839	CRY		ŋɭane̞mbe̞ɭɪ	ŋ ɭ a n e̞ m b e̞ ɭ ɪ
118645	134798	johanssonsoundsymbolic-Alawa	alaw1244		dark	706	DARK		wɪd	w ɪ d
124214	140369	johanssonsoundsymbolic-Alawa	alaw1244		deep	1593	DEEP		lalɪba	l a l ɪ b a
127037	143192	johanssonsoundsymbolic-Alawa	alaw1244		die	1494	DIE		jaŋaɭnaɭa	j a ŋ a ɭ n a ɭ a
131696	147851	johanssonsoundsymbolic-Alawa	alaw1244		dirty	1230	DIRTY		gɯ̞lɯ̞ŋga	g ɯ̞ l ɯ̞ ŋ g a
134152	150307	johanssonsoundsymbolic-Alawa	alaw1244		do	813	DO		ne̞mbe̞ɭɪ	n e̞ m b e̞ ɭ ɪ
135587	151742	johanssonsoundsymbolic-Alawa	alaw1244		dog	2009	DOG		ajɯ̞	a j ɯ̞
142056	158211	johanssonsoundsymbolic-Alawa	alaw1244		drink	1401	DRINK		gɯ̞ɭne̞nɪ	g ɯ̞ ɭ n e̞ n ɪ
145703	161858	johanssonsoundsymbolic-Alawa	alaw1244		dry	1398	DRY		bɯ̞jbɯ̞jbɯ̞j	b ɯ̞ j b ɯ̞ j b ɯ̞ j
148689	164844	johanssonsoundsymbolic-Alawa	alaw1244		dust	2	DUST		nɟɯ̞ndɯ̞ra	n ɟ ɯ̞ n d ɯ̞ r a
151130	167285	johanssonsoundsymbolic-Alawa	alaw1244		ear	1247	EAR		gɯ̞waɹda	g ɯ̞ w a ɹ d a
154053	170208	johanssonsoundsymbolic-Alawa	alaw1244		earthsoil	1228	EARTH (SOIL)		mbalga	m b a l g a
156654	172809	johanssonsoundsymbolic-Alawa	alaw1244		eat	1336	EAT		e̞ɭɯ̞ɳɯ̞	e̞ ɭ ɯ̞ ɳ ɯ̞
158967	175125	johanssonsoundsymbolic-Alawa	alaw1244		egg	744	EGG		abɯ̞ŋgɯ̞	a b ɯ̞ ŋ g ɯ̞
169535	185693	johanssonsoundsymbolic-Alawa	alaw1244		eye	1248	EYE		ŋgɯ̞lɯ̞r	ŋ g ɯ̞ l ɯ̞ r
173540	189699	johanssonsoundsymbolic-Alawa	alaw1244		fall	1280	FALL		waɹabɯ̞rnaɭa	w a ɹ a b ɯ̞ r n a ɭ a
175810	191969	johanssonsoundsymbolic-Alawa	alaw1244		far	1406	FAR		ŋalbɪ	ŋ a l b ɪ
177402	193561	johanssonsoundsymbolic-Alawa	alaw1244		fast	1631	FAST		nɟɯ̞rga	n ɟ ɯ̞ r g a
182033	198193	johanssonsoundsymbolic-Alawa	alaw1244		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		nɟɯ̞ba	n ɟ ɯ̞ b a
184868	201028	johanssonsoundsymbolic-Alawa	alaw1244		feather	1201	FEATHER		maraɹda	m a r a ɹ d a
189897	222550	johanssonsoundsymbolic-Alawa	alaw1244		flower	239	FLOWER		aldɪn	a l d ɪ n
191221	223874	johanssonsoundsymbolic-Alawa	alaw1244		flyinsect	1504	FLY (INSECT)		dɪwɯ̞naɭa	d ɪ w ɯ̞ n a ɭ a
192828	225481	johanssonsoundsymbolic-Alawa	alaw1244		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		wɯ̞ndɪl	w ɯ̞ n d ɪ l
196137	228790	johanssonsoundsymbolic-Alawa	alaw1244		foot	1301	FOOT		ndɪjaŋa	n d ɪ j a ŋ a
202469	235122	johanssonsoundsymbolic-Alawa	alaw1244		four	1500	FOUR		jɪlŋgɯ̞la	j ɪ l ŋ g ɯ̞ l a
209247	241900	johanssonsoundsymbolic-Alawa	alaw1244		full	1429	FULL		bɪbne̞nɪ	b ɪ b n e̞ n ɪ
213249	245902	johanssonsoundsymbolic-Alawa	alaw1244		girl	1646	GIRL		anjajaja	a n j a j a j a
214564	247217	johanssonsoundsymbolic-Alawa	alaw1244		give	1447	GIVE		amɯ̞dɪnjɯ̞nɯ̞	a m ɯ̞ d ɪ n j ɯ̞ n ɯ̞
216919	249572	johanssonsoundsymbolic-Alawa	alaw1244		go	695	GO		naɭa	n a ɭ a
220691	253347	johanssonsoundsymbolic-Alawa	alaw1244		good	1035	GOOD		jɯ̞marɪ	j ɯ̞ m a r ɪ
226143	258799	johanssonsoundsymbolic-Alawa	alaw1244		grass	606	GRASS		wɪjɪ	w ɪ j ɪ
