	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8902	25053	johanssonsoundsymbolic-Nakara	naka1260		bark	1204	BARK		nbaɖabaɖa	n b a ɖ a b a ɖ a
22943	39094	johanssonsoundsymbolic-Nakara	naka1260		belly	1251	BELLY		kunaɽa	k u n a ɽ a
27986	44137	johanssonsoundsymbolic-Nakara	naka1260		big	1202	BIG		wunamiɭa	w u n a m i ɭ a
30367	46518	johanssonsoundsymbolic-Nakara	naka1260		bird	937	BIRD		nadjola	n a d j o l a
32719	48870	johanssonsoundsymbolic-Nakara	naka1260		bite	1403	BITE		baɽa	b a ɽ a
35333	51484	johanssonsoundsymbolic-Nakara	naka1260		black	163	BLACK		narara	n a r a r a
38746	54897	johanssonsoundsymbolic-Nakara	naka1260		blood	946	BLOOD		nakumbala	n a k u m b a l a
57057	73210	johanssonsoundsymbolic-Nakara	naka1260		breast	1402	BREAST		nakeja	n a k e j a
64527	80680	johanssonsoundsymbolic-Nakara	naka1260		burn	2102	BURN		rakabija	r a k a b i j a
91666	107819	johanssonsoundsymbolic-Nakara	naka1260		cloud	1489	CLOUD		kendjara	k e n d j a r a
95248	111401	johanssonsoundsymbolic-Nakara	naka1260		cold	1287	COLD		njiŋa	n j i ŋ a
98911	115064	johanssonsoundsymbolic-Nakara	naka1260		come	1446	COME		nijeka	n i j e k a
127134	143289	johanssonsoundsymbolic-Nakara	naka1260		die	1494	DIE		ɖewaja	ɖ e w a j a
135684	151839	johanssonsoundsymbolic-Nakara	naka1260		dog	2009	DOG		nakamana	n a k a m a n a
142152	158307	johanssonsoundsymbolic-Nakara	naka1260		drink	1401	DRINK		wunadjara	w u n a d j a r a
145789	161944	johanssonsoundsymbolic-Nakara	naka1260		dry	1398	DRY		laralara	l a r a l a r a
151230	167385	johanssonsoundsymbolic-Nakara	naka1260		ear	1247	EAR		kelama	k e l a m a
154148	170303	johanssonsoundsymbolic-Nakara	naka1260		earthsoil	1228	EARTH (SOIL)		nakejala	n a k e j a l a
156751	172906	johanssonsoundsymbolic-Nakara	naka1260		eat	1336	EAT		baɽa	b a ɽ a
159060	175218	johanssonsoundsymbolic-Nakara	naka1260		egg	744	EGG		djarawum	d j a r a w u m
169633	185791	johanssonsoundsymbolic-Nakara	naka1260		eye	1248	EYE		kuɽbara	k u ɽ b a r a
182111	198271	johanssonsoundsymbolic-Nakara	naka1260		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		nbaɭa	n b a ɭ a
184955	201115	johanssonsoundsymbolic-Nakara	naka1260		feather	1201	FEATHER		muɽaka	m u ɽ a k a
192906	225559	johanssonsoundsymbolic-Nakara	naka1260		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		namunja	n a m u n j a
196230	228883	johanssonsoundsymbolic-Nakara	naka1260		foot	1301	FOOT		kaɖdja	k a ɖ d j a
209323	241976	johanssonsoundsymbolic-Nakara	naka1260		full	1429	FULL		wura	w u r a
214659	247312	johanssonsoundsymbolic-Nakara	naka1260		give	1447	GIVE		wu	w u
220790	253446	johanssonsoundsymbolic-Nakara	naka1260		good	1035	GOOD		kinjawa	k i n j a w a
228577	261233	johanssonsoundsymbolic-Nakara	naka1260		green	1425	GREEN		kona	k o n a
