	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
906	17057	transnewguineaorg-doromu-bareika	doro1266		atop	57	ATOP		ˈyava_ˈtebou	j a v a + t e b o u
910	17061	transnewguineaorg-maria-maranomu	mari1438		atop	57	ATOP		yava_hoboro	j a v a + h o b o r o
8064	24215	transnewguineaorg-doromu-bareika	doro1266		banana	868	BANANA		ˈnamo	n a m o
8146	24297	transnewguineaorg-maria-maranomu	mari1438		banana	868	BANANA		aˈhaʔa	a h a ʔ a
9330	25481	transnewguineaorg-doromu-bareika	doro1266		bark	1204	BARK		ˈyabo_ˈro	j a b o + r o
9366	25517	transnewguineaorg-maria-maranomu	mari1438		bark	1204	BARK		ˈyabo_ˈroo	j a b o + r oː
21241	37392	transnewguineaorg-doromu-bareika	doro1266		behungry	1533	BE HUNGRY		ˈraunare-	r a u n a r e
21272	37423	transnewguineaorg-maria-maranomu	mari1438		behungry	1533	BE HUNGRY		na_ˈrauˈnare-	n a + r a u n a r e
23590	39741	transnewguineaorg-doromu-bareika	doro1266		belly	1251	BELLY		ˈuka	u k a
23673	39824	transnewguineaorg-maria-maranomu	mari1438		belly	1251	BELLY		rivo	r i v o
25841	41992	transnewguineaorg-doromu-bareika	doro1266		beside	1816	BESIDE		ˈyava_eˈtoka	j a v a + e t o k a
25844	41995	transnewguineaorg-maria-maranomu	mari1438		beside	1816	BESIDE		yava_egodoʔo	j a v a + e g o d o ʔ o
26036	42187	transnewguineaorg-doromu-bareika	doro1266		betelnut	217	BETELNUT		ˈima	i m a
26069	42220	transnewguineaorg-maria-maranomu	mari1438		betelnut	217	BETELNUT		ˈʔoiʔani	ʔ o i ʔ a n i
28770	44921	transnewguineaorg-doromu-bareika	doro1266		big	1202	BIG		ˈtora	t o r a
28870	45021	transnewguineaorg-maria-maranomu	mari1438		big	1202	BIG		ˈhora	h o r a
31110	47261	transnewguineaorg-doromu-bareika	doro1266		bird	937	BIRD		eˈrena	e r e n a
31221	47372	transnewguineaorg-maria-maranomu	mari1438		bird	937	BIRD		eˈrena	e r e n a
33246	49397	transnewguineaorg-doromu-bareika	doro1266		bite	1403	BITE		akire-	a k i r e
33334	49485	transnewguineaorg-maria-maranomu	mari1438		bite	1403	BITE		aʔire-	a ʔ i r e
37404	53555	transnewguineaorg-doromu-bareika	doro1266		blind	1653	BLIND		ˈyo	j o
37411	53562	transnewguineaorg-maria-maranomu	mari1438		blind	1653	BLIND		iˈrita	i r i t a
39484	55635	transnewguineaorg-doromu-bareika	doro1266		blood	946	BLOOD		ˈtava	t a v a
39586	55737	transnewguineaorg-maria-maranomu	mari1438		blood	946	BLOOD		ˈtæʔæ	t æ ʔ æ
41356	57507	transnewguineaorg-doromu-bareika	doro1266		blowofwind	175	BLOW (OF WIND)		yahara_badi	j a h a r a + b a d i
41407	57558	transnewguineaorg-maria-maranomu	mari1438		blowofwind	175	BLOW (OF WIND)		ˈuʔa_oˈʔeyo	u ʔ a + o ʔ e j o
41884	58035	transnewguineaorg-doromu-bareika	doro1266		blowwithmouth	176	BLOW (WITH MOUTH)		fure-	f u r e
41892	58043	transnewguineaorg-maria-maranomu	mari1438		blowwithmouth	176	BLOW (WITH MOUTH)		hure-	h u r e
43406	59557	transnewguineaorg-doromu-bareika	doro1266		blunt	379	BLUNT		ˈtu	t u
43410	59561	transnewguineaorg-maria-maranomu	mari1438		blunt	379	BLUNT		ariʔa_dæipo	a r i ʔ a + d æ i p o
47709	63860	transnewguineaorg-doromu-bareika	doro1266		bone	1394	BONE		ˈnena	n e n a
47817	63968	transnewguineaorg-maria-maranomu	mari1438		bone	1394	BONE		ˈnena	n e n a
54234	70386	transnewguineaorg-doromu-bareika	doro1266		branch	1531	BRANCH		ˈyabo_ˈteteka	j a b o + t e t e k a
54253	70405	transnewguineaorg-maria-maranomu	mari1438		branch	1531	BRANCH		ˈyabo_ˈʔeʔo	j a b o + ʔ e ʔ o
55611	71764	transnewguineaorg-doromu-bareika	doro1266		breakdestroyorgetdestroyed	680	BREAK (DESTROY OR GET DESTROYED)		moirokire-	m o i r o k i r e
