	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
9330	25481	transnewguineaorg-doromu-bareika	doro1266		bark	1204	BARK		ˈyabo_ˈro	j a b o + r o
9366	25517	transnewguineaorg-maria-maranomu	mari1438		bark	1204	BARK		ˈyabo_ˈroo	j a b o + r oː
23590	39741	transnewguineaorg-doromu-bareika	doro1266		belly	1251	BELLY		ˈuka	u k a
23673	39824	transnewguineaorg-maria-maranomu	mari1438		belly	1251	BELLY		rivo	r i v o
28770	44921	transnewguineaorg-doromu-bareika	doro1266		big	1202	BIG		ˈtora	t o r a
28870	45021	transnewguineaorg-maria-maranomu	mari1438		big	1202	BIG		ˈhora	h o r a
31110	47261	transnewguineaorg-doromu-bareika	doro1266		bird	937	BIRD		eˈrena	e r e n a
31221	47372	transnewguineaorg-maria-maranomu	mari1438		bird	937	BIRD		eˈrena	e r e n a
33246	49397	transnewguineaorg-doromu-bareika	doro1266		bite	1403	BITE		akire-	a k i r e
33334	49485	transnewguineaorg-maria-maranomu	mari1438		bite	1403	BITE		aʔire-	a ʔ i r e
39484	55635	transnewguineaorg-doromu-bareika	doro1266		blood	946	BLOOD		ˈtava	t a v a
39586	55737	transnewguineaorg-maria-maranomu	mari1438		blood	946	BLOOD		ˈtæʔæ	t æ ʔ æ
47709	63860	transnewguineaorg-doromu-bareika	doro1266		bone	1394	BONE		ˈnena	n e n a
47817	63968	transnewguineaorg-maria-maranomu	mari1438		bone	1394	BONE		ˈnena	n e n a
57757	73910	transnewguineaorg-doromu-bareika	doro1266		breast	1402	BREAST		ˈsusu	s u s u
57865	74018	transnewguineaorg-maria-maranomu	mari1438		breast	1402	BREAST		ˈhisu	h i s u
92196	108349	transnewguineaorg-doromu-bareika	doro1266		cloud	1489	CLOUD		ˈseuya	s e u j a
92302	108455	transnewguineaorg-maria-maranomu	mari1438		cloud	1489	CLOUD		ˈhouya	h o u j a
95994	112147	transnewguineaorg-doromu-bareika	doro1266		cold	1287	COLD		ˈitu	i t u
96084	112237	transnewguineaorg-maria-maranomu	mari1438		cold	1287	COLD		ˈihu	i h u
99648	115801	transnewguineaorg-doromu-bareika	doro1266		come	1446	COME		bae-	b a e
99757	115910	transnewguineaorg-maria-maranomu	mari1438		come	1446	COME		oʔe-	o ʔ e
136436	152591	transnewguineaorg-doromu-bareika	doro1266		dog	2009	DOG		ˈauna	a u n a
136549	152704	transnewguineaorg-maria-maranomu	mari1438		dog	2009	DOG		ˈauna	a u n a
142651	158806	transnewguineaorg-doromu-bareika	doro1266		drink	1401	DRINK		iri-	i r i
142696	158851	transnewguineaorg-maria-maranomu	mari1438		drink	1401	DRINK		iri-	i r i
151971	168126	transnewguineaorg-doromu-bareika	doro1266		ear	1247	EAR		aneˈmaye	a n e m a j e
152074	168229	transnewguineaorg-maria-maranomu	mari1438		ear	1247	EAR		aˈnema	a n e m a
157338	173495	transnewguineaorg-doromu-bareika	doro1266		eat	1336	EAT		iri-	i r i
157445	173602	transnewguineaorg-maria-maranomu	mari1438		eat	1336	EAT		iri-	i r i
159785	175943	transnewguineaorg-doromu-bareika	doro1266		egg	744	EGG		eˈrena_uˈnema	e r e n a + u n e m a
159883	176041	transnewguineaorg-maria-maranomu	mari1438		egg	744	EGG		eˈrena_uˈnema	e r e n a + u n e m a
170378	186536	transnewguineaorg-doromu-bareika	doro1266		eye	1248	EYE		ˈne	n e
170488	186646	transnewguineaorg-maria-maranomu	mari1438		eye	1248	EYE		ˈnouŋa	n o u ŋ a
182470	198630	transnewguineaorg-doromu-bareika	doro1266		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		buˈneka	b u n e k a
182556	198716	transnewguineaorg-maria-maranomu	mari1438		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ˈbuniʔa	b u n i ʔ a
185353	201513	transnewguineaorg-doromu-bareika	doro1266		feather	1201	FEATHER		eˈrena_uˈeta	e r e n a + u e t a
185392	201552	transnewguineaorg-maria-maranomu	mari1438		feather	1201	FEATHER		eˈrena_uˈeʔa	e r e n a + u e ʔ a
193318	225971	transnewguineaorg-doromu-bareika	doro1266		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		_ovare-	o v a r e
193390	226043	transnewguineaorg-maria-maranomu	mari1438		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		_bunihidi	b u n i h i d i
209761	242414	transnewguineaorg-doromu-bareika	doro1266		full	1429	FULL		ˈwatoˈbadi	w a t o b a d i
209836	242489	transnewguineaorg-maria-maranomu	mari1438		full	1429	FULL		vaˈhaoni	v a h a o n i
221537	254193	transnewguineaorg-doromu-bareika	doro1266		good	1035	GOOD		ˈbuni	b u n i
221648	254304	transnewguineaorg-maria-maranomu	mari1438		good	1035	GOOD		ˈbuni	b u n i
229060	261716	transnewguineaorg-doromu-bareika	doro1266		green	1425	GREEN		ˈyeguˈyegu	j e g u j e g u
229128	261784	transnewguineaorg-maria-maranomu	mari1438		green	1425	GREEN		ˈyoguˈyogu	j o g u j o g u
244751	277408	transnewguineaorg-doromu-bareika	doro1266		head	1256	HEAD		aˈda	a d a
244871	277528	transnewguineaorg-maria-maranomu	mari1438		head	1256	HEAD		aˈda	a d a
247631	280288	transnewguineaorg-doromu-bareika	doro1266		hear	1408	HEAR		neide-	n e i d e
247719	280376	transnewguineaorg-maria-maranomu	mari1438		hear	1408	HEAR		nede-	n e d e
249040	281697	transnewguineaorg-doromu-bareika	doro1266		heart	1223	HEART		ˈukaˈmeko	u k a m e k o
249103	281760	transnewguineaorg-maria-maranomu	mari1438		heart	1223	HEART		oˈhaʔa	o h a ʔ a
275217	307877	transnewguineaorg-doromu-bareika	doro1266		i	1209	I		na	n a
275306	307966	transnewguineaorg-maria-maranomu	mari1438		i	1209	I		na	n a
288114	320774	transnewguineaorg-doromu-bareika	doro1266		kill	1417	KILL		u-	u
288176	320836	transnewguineaorg-maria-maranomu	mari1438		kill	1417	KILL		ime-	i m e
290953	323613	transnewguineaorg-doromu-bareika	doro1266		knee	1371	KNEE		ˈyuka_keˈfoka	j u k a + k e f o k a
291043	323703	transnewguineaorg-maria-maranomu	mari1438		knee	1371	KNEE		eˈho	e h o
302939	335599	transnewguineaorg-doromu-bareika	doro1266		leaf	628	LEAF		ˈyabo_ˈie	j a b o + i e
303024	335684	transnewguineaorg-maria-maranomu	mari1438		leaf	628	LEAF		ˈyabo_ˈye	j a b o + j e
310685	343345	transnewguineaorg-doromu-bareika	doro1266		lierest	1411	LIE (REST)		waa-	w aː
310688	343348	transnewguineaorg-maria-maranomu	mari1438		lierest	1411	LIE (REST)		om-dau-	o m + d a u
317465	350125	transnewguineaorg-doromu-bareika	doro1266		liver	1224	LIVER		ˈkeva	k e v a
317523	350183	transnewguineaorg-maria-maranomu	mari1438		liver	1224	LIVER		ˈʔeva	ʔ e v a
320428	353088	transnewguineaorg-doromu-bareika	doro1266		long	1203	LONG		ˈdoba	d o b a
320531	353191	transnewguineaorg-maria-maranomu	mari1438		long	1203	LONG		ˈgege	g e g e
324039	356699	transnewguineaorg-doromu-bareika	doro1266		louse	1392	LOUSE		ˈgue	g u e
324140	356800	transnewguineaorg-maria-maranomu	mari1438		louse	1392	LOUSE		ˈgue	g u e
331167	363828	transnewguineaorg-doromu-bareika	doro1266		man	1554	MAN		ˈamie	a m i e
331270	363931	transnewguineaorg-maria-maranomu	mari1438		man	1554	MAN		ˈame	a m e
332690	365351	transnewguineaorg-doromu-bareika	doro1266		many	1198	MANY		tau_tora	t a u + t o r a
332767	365428	transnewguineaorg-maria-maranomu	mari1438		many	1198	MANY		roʔabodo	r o ʔ a b o d o
345205	377866	transnewguineaorg-doromu-bareika	doro1266		moon	1313	MOON		ˈeyo	e j o
345306	377967	transnewguineaorg-maria-maranomu	mari1438		moon	1313	MOON		ˈɛyo	ɛ j o
351483	384147	transnewguineaorg-doromu-bareika	doro1266		mountain	639	MOUNTAIN		soˈfire	s o f i r e
351573	384237	transnewguineaorg-maria-maranomu	mari1438		mountain	639	MOUNTAIN		ˈbaʔahu	b a ʔ a h u
351574	384238	transnewguineaorg-maria-maranomu	mari1438		mountain	639	MOUNTAIN		baʔaba	b a ʔ a b a
354208	386872	transnewguineaorg-doromu-bareika	doro1266		mouth	674	MOUTH		ˈvena	v e n a
354311	386975	transnewguineaorg-maria-maranomu	mari1438		mouth	674	MOUTH		uˈena	u e n a
359026	391692	transnewguineaorg-doromu-bareika	doro1266		name	1405	NAME		ˈroka-	r o k a
359129	391795	transnewguineaorg-maria-maranomu	mari1438		name	1405	NAME		ˈroʔa	r o ʔ a
369358	402025	transnewguineaorg-doromu-bareika	doro1266		new	1231	NEW		ˈrua	r u a
369466	402133	transnewguineaorg-maria-maranomu	mari1438		new	1231	NEW		ˈruʔa	r u ʔ a
372317	404984	transnewguineaorg-doromu-bareika	doro1266		night	1233	NIGHT		ˈurusa	u r u s a
372318	404985	transnewguineaorg-doromu-bareika	doro1266		night	1233	NIGHT		ˈuruˈnio	u r u n i o
372425	405092	transnewguineaorg-maria-maranomu	mari1438		night	1233	NIGHT		ˈuruha	u r u h a
372426	405093	transnewguineaorg-maria-maranomu	mari1438		night	1233	NIGHT		ˈuruni	u r u n i
378176	410843	transnewguineaorg-doromu-bareika	doro1266		nose	1221	NOSE		uˈruma	u r u m a
378282	410949	transnewguineaorg-maria-maranomu	mari1438		nose	1221	NOSE		ˈuruma	u r u m a
390450	423117	transnewguineaorg-doromu-bareika	doro1266		one	1493	ONE		nokoi_maka	n o k o i + m a k a
390555	423222	transnewguineaorg-maria-maranomu	mari1438		one	1493	ONE		yoʔohi	j o ʔ o h i
